,0
0,1168043.972784405
1,1172547.7300526258
2,1174508.0416900849
3,1173951.7533137933
4,1173951.7533137933
5,1173951.7533137933
6,1173951.7533137933
7,1173951.7533137933
8,1173951.7533137933
9,1173951.7533137933
10,1173951.7533137933
11,1173951.7533137933
12,1173951.7533137933
13,1173951.7533137933
14,1173951.7533137933
15,1173951.7533137933
16,1173951.7533137933
17,1173951.7533137933
18,1173951.7533137933
19,1173951.7533137933
20,1173951.7533137933
21,1173951.7533137933
22,1173951.7533137933
23,1173951.7533137933
24,1173951.7533137933
25,1173951.7533137933
26,1173951.7533137933
27,1173951.7533137933
28,1173951.7533137933
29,1173951.7533137933
30,1173951.7533137933
31,1173951.7533137933
32,1173951.7533137933
33,1173951.7533137933
34,1173951.7533137933
35,1173951.7533137933
36,1173951.7533137933
37,1173951.7533137933
38,1173951.7533137933
39,1173951.7533137933
40,1173951.7533137933
41,1173951.7533137933
42,1173951.7533137933
43,1173951.7533137933
44,1173951.7533137933
45,1173951.7533137933
46,1173951.7533137933
47,1173951.7533137933
48,1173951.7533137933
49,1173951.7533137933
50,1173951.7533137933
51,1173796.8780337938
52,1173973.592003794
53,1173836.605683794
54,1172421.4890337938
55,1171499.3664437935
56,1173418.7201337935
57,1172133.7506337939
58,1172359.5118237936
59,1173268.7398437934
60,1171267.8753037937
61,1172722.4838137939
62,1173551.0580337932
63,1175271.6018537933
