,0
0,1383668.134254319
1,1364416.3746177054
2,1365694.4688208138
3,1385534.2180606194
4,1375216.0731518306
5,1384179.7744604964
6,1381869.8091324507
7,1396196.8781764028
8,1409940.0699577208
9,1406739.9114159036
10,1400391.3872394655
11,1398991.0697022963
12,1398991.0697022963
13,1398991.0697022963
14,1398991.0697022963
15,1398991.0697022963
16,1398991.0697022963
17,1398991.0697022963
18,1398991.0697022963
19,1398991.0697022963
20,1398991.0697022963
21,1398991.0697022963
22,1398991.0697022963
23,1398991.0697022963
24,1398991.0697022963
25,1398991.0697022963
26,1398991.0697022963
27,1398991.0697022963
28,1398991.0697022963
29,1399216.514386476
30,1399110.3798765666
31,1398783.8746338047
32,1401878.1555960623
33,1399565.8147902896
34,1400394.9347981727
35,1398135.8667232345
36,1396706.1098910074
37,1384558.1232170137
38,1394593.060647488
39,1384993.3688523457
40,1396863.3172936332
41,1406256.0259241473
42,1406155.089924981
43,1427231.1604343408
44,1424517.2269975885
45,1428720.7939783358
46,1428406.097609917
47,1428894.787801518
48,1416872.4135148881
49,1413794.4955919047
50,1406959.8878768203
51,1403094.7028846415
52,1381437.341255405
53,1383439.414665151
54,1370611.1913386541
55,1378585.7770902815
56,1356989.6071481784
57,1361806.137804536
58,1353321.2277077434
59,1363005.712292627
60,1366599.6765331393
61,1365233.0850824092
62,1365233.0850824092
