,0
0,1000000.0
1,999950.4132328806
2,999875.1372516388
3,996363.7547984894
4,996539.4795302066
5,992415.9197386099
6,988555.5552831251
7,988113.830315438
8,979430.1468708282
9,980152.9029550292
10,983655.9590964307
11,968826.5869047781
12,979027.0016242254
13,973359.0639946288
14,968965.5121192499
15,969984.7370525996
16,977734.2567528253
17,989466.875827844
18,977651.184742158
19,964693.7263439076
20,954372.6365193785
21,966273.0980083203
22,956980.2352261669
23,967842.1715447062
24,983870.3549358619
25,983521.5586691576
26,949450.1495858793
27,956822.8931462766
28,957819.0970964164
29,947796.5404755112
30,922211.5818473592
31,924315.1002686978
32,921341.6719745798
33,909665.1521118102
34,881333.7417174762
35,910206.3094943559
36,890223.4108442235
37,870489.9203910616
38,856228.0135788834
39,823381.8636300657
40,817780.7618584074
41,839714.7060492923
42,804817.6257792019
43,811650.6437267648
44,800146.5955826341
45,843054.9072838362
46,842642.0402413957
47,872291.8327945583
48,885232.3261660127
49,881388.1544789548
50,905532.2889786093
51,915244.2966196664
52,897436.6234038123
53,883792.545497527
54,939972.2029384552
55,927901.2867833171
56,940875.8859837991
57,957193.7410212953
58,943927.0847741057
59,915560.9326867537
60,927998.3917214194
61,945159.2354778918
62,967541.6115598199
63,970608.6835851093
64,968393.7492617421
65,950454.3401103866
66,957693.0412541154
67,976306.510246731
68,972202.3066216125
69,953621.636567564
70,972072.5650892147
71,979560.9492628477
72,977963.5999753323
73,947944.7052200836
74,958665.5849172641
75,939900.6715129166
76,949263.0984333137
77,962855.767286533
78,963019.1183249676
79,963688.8570352452
80,989007.6615055186
81,980839.8472412116
82,983904.8746165686
83,1001474.8835093597
84,991198.7856381664
85,1000566.8995700296
86,995682.7344226427
87,1018716.8306258743
88,995652.9948008657
89,1006631.5113040291
90,990122.4719572101
91,996974.3919202794
92,984189.2745001285
93,1007539.7919512956
94,1003226.0588566529
95,1000060.4159921687
96,989643.092712044
97,988562.3201735184
98,1009720.689454303
99,986662.1322334748
100,1000127.1821123358
101,1012830.920599357
102,1042250.0202669357
103,1047890.2694407004
104,1040241.408207475
105,1050446.1372768853
106,1050890.589514869
107,1052417.8386072284
108,1052649.5910147792
109,1049090.235434007
110,1052265.3942795855
111,1057984.109032018
112,1033086.0052119577
113,1017790.4372498879
114,1014221.7063304057
115,1022912.1109710436
116,1019394.536121984
117,992054.8525059748
118,988718.5955076523
119,985720.9217160618
120,1007922.9595288758
121,1002975.392694741
122,1016088.7015543223
123,1008480.0784686717
124,1014243.9013436628
125,989466.5892562907
126,997445.2820151732
127,978555.6915613253
128,983132.2286391455
129,980695.1631502017
130,971379.7736280647
131,988161.8421419673
132,994014.1874333972
133,1021787.8586789682
134,1032138.4049126152
135,1030911.1323435585
136,1042013.0857050405
137,1054270.5887208672
138,1049732.1215124077
139,1081169.445464658
140,1088590.101215972
141,1089008.8312654318
142,1081582.4964367612
143,1072282.4285718487
144,1081946.4759166965
145,1093692.906366363
146,1106897.675822256
147,1106739.7242639195
148,1103444.137806635
149,1102626.3780534156
150,1113909.5142498214
151,1106943.9360006005
152,1095816.574393916
153,1109230.9338444464
154,1112035.304909037
155,1107065.5277392282
156,1084177.0825996161
157,1091191.193498757
158,1104561.0046573947
159,1112460.390783227
160,1132116.4395776123
161,1138409.694850218
162,1139716.4689215883
163,1139478.2832104145
164,1141496.075032361
165,1137830.0915446032
166,1131447.8441637587
167,1106700.3675257321
168,1102380.4762915773
169,1107726.854904526
170,1117688.958839116
171,1132421.4116000768
172,1139168.2063771554
173,1152119.3122302266
174,1146570.1549507023
175,1150622.5578954967
176,1156538.3166005025
177,1168199.196166438
