,0
0,-3005.565552802058
1,1836.239758517826
2,-546.1831791985314
3,-211.35538540990092
4,4008.9940374080325
5,-9233.616394467652
6,1182.9603851874126
7,-1532.1131201320095
8,1245.6725161568029
9,-1399.5990387547063
10,7869.005117977387
11,1746.2317517374177
12,-3150.187204017653
13,-114.95669271505903
14,4242.060314032482
15,-3752.899190099095
16,-2022.7472459767014
17,-1776.3921393037308
18,-1614.0737810983555
19,-33.70075105014257
20,-6076.980258238618
21,-2593.1882330123335
22,-2011.9400996220065
23,-2692.1469252052484
24,16240.58521598822
25,3838.3740264598746
26,7539.553591017029
27,5451.422535163583
28,2552.974678589613
29,472.55472691892646
30,2620.655492925551
31,-522.4280686472775
32,50.77312438329682
33,-2453.4183743441245
34,3887.918208280811
35,3199.8467248515226
36,2306.3094281575177
37,3056.9702962709125
38,-2827.9374017340597
39,4047.6240532668307
40,-2114.1920801582746
41,2734.008979030419
42,3.979567377595231
43,-816.3858408939559
44,1219.8839715211652
45,12789.214866975555
46,1729.6955294120125
47,8291.896484596888
48,1943.5526691926643
49,4870.648298952961
50,-6028.273019126849
51,2528.892194617307
52,1898.8305390907917
53,2225.4412438406143
54,2691.2705298771616
55,-1388.725737218745
56,-1442.7083452777006
57,1443.3954429253936
58,962.4567551964428
59,-5782.079964461271
60,-438.5462031955831
61,-3917.267232835293
62,5942.599469523178
