date,trade,sell,buy
20190107,13,0,13
20190108,13,0,13
20190109,13,0,13
20190110,13,0,13
20190111,13,0,13
20190114,13,0,13
20190115,13,0,13
20190116,13,0,13
20190117,13,0,13
20190118,13,0,13
20190122,13,0,13
20190123,13,0,13
20190124,13,0,13
20190125,13,0,13
20190128,13,0,13
20190129,13,0,13
20190130,13,0,13
20190131,13,0,13
20190201,13,0,13
20190204,13,0,13
20190205,13,0,13
20190206,13,0,13
20190207,13,0,13
20190208,13,0,13
20190211,13,0,13
20190212,13,0,13
20190213,13,0,13
20190214,13,0,13
20190215,13,0,13
20190219,13,0,13
20190220,13,0,13
20190221,13,0,13
20190222,13,0,13
20190225,13,0,13
20190226,13,0,13
20190227,13,0,13
20190228,13,0,13
20190301,13,0,13
20190304,13,0,13
20190305,13,0,13
20190306,13,0,13
20190307,13,0,13
20190308,13,0,13
20190311,13,0,13
20190312,13,0,13
20190313,13,0,13
20190314,13,0,13
20190315,13,0,13
20190318,13,0,13
20190319,13,0,13
20190320,13,0,13
20190321,13,0,13
20190322,13,0,13
20190325,13,0,13
20190326,13,0,13
20190327,13,0,13
20190328,13,0,13
20190329,13,0,13
20190401,13,0,13
20190402,13,0,13
20190403,13,13,0
20190404,0,0,0
20190405,0,0,0
