,0
0,1397968.0235612206
1,1392667.496426327
2,1393441.739253119
3,1397625.5194877726
4,1395733.3463914033
5,1398239.420074692
6,1397276.9424447492
7,1399442.0686914034
8,1402350.8406849527
9,1400340.4395136952
10,1397243.5151057148
11,1396927.1882463773
12,1396927.1882463773
13,1396927.1882463773
14,1396927.1882463773
15,1396927.1882463773
16,1396927.1882463773
17,1396927.1882463773
18,1396927.1882463773
19,1396927.1882463773
20,1396927.1882463773
21,1396927.1882463773
22,1396927.1882463773
23,1396927.1882463773
24,1396927.1882463773
25,1396927.1882463773
26,1396927.1882463773
27,1396927.1882463773
28,1396927.1882463773
29,1396925.7915463778
30,1396906.476946378
31,1396948.9687463779
32,1397544.5987463775
33,1396922.8212463777
34,1397222.944446378
35,1397103.8877463776
36,1396931.3509463777
37,1394865.0396463778
38,1396795.4207463772
39,1394840.058146377
40,1396516.8106463768
41,1398043.993546377
42,1398089.2358463767
43,1402033.3727463773
44,1403664.1047463769
45,1404458.618846377
46,1404427.378646377
47,1404658.9391463771
48,1401496.0848463767
49,1400125.3051463768
50,1398927.496546377
51,1397177.346846377
52,1389862.4795463772
53,1389008.2438463771
54,1384932.944446377
55,1386498.814046377
56,1379670.2202463772
57,1381093.0883463772
58,1377050.503046377
59,1381422.2614463773
60,1384124.2684463772
61,1383551.7574463773
62,1383551.7574463773
63,1383650.299246377
