,0
0,1000000.0
1,999971.8781593717
2,1000024.6441833888
3,999739.9220695467
4,999686.8386472835
5,999425.286712706
6,999046.6952918214
7,999059.1087951397
8,998293.0866082361
9,998358.5760718291
10,998600.2569452833
11,996765.6551502957
12,998209.5010592476
13,997665.2583740477
14,997495.3453121682
15,997491.3268979964
16,998037.9618245075
17,999388.1380999046
18,997211.8069213349
19,996469.833813254
20,996089.0293696059
21,996856.7736431056
22,996081.1836776963
23,997047.6086535972
24,998581.1772570154
25,998278.0006759872
26,995131.9042428329
27,995510.2592056679
28,995352.9117129983
29,994345.747967116
30,990858.9672472078
31,990717.4298022232
32,990303.8653288046
33,988802.2138078038
34,986196.3877195839
35,989280.9102012807
36,987520.9181789898
37,986532.9495893819
38,984610.7368798526
39,981271.4063156876
40,980752.7092124065
41,982213.9880083621
42,977907.1795030198
43,979675.1120425981
44,978485.7283595838
45,983513.1113270281
46,982844.4980920713
47,986565.8625926533
48,987366.609147989
49,987227.1266732272
50,990618.6358966272
51,993103.8076949626
52,991769.2209855844
53,989080.5919812911
54,997212.8281923733
55,995326.0103178819
56,997426.3392144614
57,1000010.3922309508
58,997307.9519829091
59,993037.182668417
60,994736.9786080844
61,997614.169555825
62,1001828.4506408873
63,1003404.8414374745
64,1002275.1818462488
65,998749.5924055851
66,999770.2598427783
67,1005103.8822073214
68,1004784.4853544012
69,1000480.7552911025
70,1003138.1998719196
71,1004367.9399373338
72,1006107.0712484247
73,999536.6809863955
74,1003460.4808378948
75,1001116.314736298
76,1003792.6668646878
77,1007005.241237485
78,1004635.0690519626
79,1005633.1558650641
80,1009340.6771415684
81,1010922.9133219843
82,1010449.4959901362
83,1014649.8773487677
84,1013509.5233288954
85,1014529.9283729838
86,1013568.2736591495
87,1021372.6833251755
88,1016279.5000349581
89,1017213.3439667178
90,1012064.3241954546
91,1014572.1757222472
92,1012237.5473019471
93,1018646.0307509482
94,1016359.1905672557
95,1015214.0024611698
96,1011808.9099302404
97,1012800.8762642908
98,1017503.3694471102
99,1012552.3837965799
100,1015056.7201896808
101,1019767.3278441117
102,1025199.4684347042
103,1028787.0517765866
104,1025199.7223599121
105,1028301.7611130301
106,1027101.6191077533
107,1026377.1166144966
108,1028511.8702814302
109,1027084.8385914017
110,1027901.4520761317
111,1028796.96930056
112,1023164.1568333125
113,1019040.8451670489
114,1018551.2348500679
115,1019783.3569006724
116,1019409.2765990954
117,1010594.453692216
118,1009837.6920630804
119,1008616.4961271319
120,1014500.0799553633
121,1013177.0267577483
122,1015815.3649122361
123,1014085.0937974558
124,1015421.7099802871
125,1006117.2260837142
126,1008182.5941811267
127,1002004.9857651789
128,1002951.3943899897
129,1003301.0665095206
130,1000891.5029447717
131,1008143.2379133765
132,1009843.3743740402
133,1019250.692000139
134,1020918.7196153788
135,1022847.6998449911
136,1027364.9776246663
137,1028866.0669807105
138,1029008.0063692643
139,1034465.7527431368
140,1035753.3614903386
141,1035506.261702467
142,1035154.3403271758
143,1033744.7410239435
144,1038590.3160846487
145,1040363.1976014923
146,1047272.2949762538
147,1048893.53261816
148,1049821.13692295
149,1049071.7451400596
150,1051959.9501645367
151,1050553.00894721
152,1045985.281311725
153,1051029.660372082
154,1051860.4617521786
155,1048635.9694616296
156,1038068.5387773309
157,1042807.2189745896
158,1045818.9252100561
159,1049223.5697670483
160,1057260.2266771402
161,1056783.6415969892
162,1056428.6503155446
163,1058145.6296858585
164,1058407.2441283765
165,1058225.9672074446
166,1055300.5163461035
167,1046043.3925202575
168,1044312.5211897991
169,1047554.3631636209
170,1054174.677180677
171,1058780.4822845494
172,1061866.92679438
173,1065712.354566897
174,1064164.0321583669
175,1069568.0498371336
176,1072828.8842929462
177,1078938.9315591094
178,1079253.3331676377
179,1082642.0667394474
180,1077603.8384239818
181,1081573.0384012542
182,1074808.654242688
183,1071918.177624571
184,1069809.421031625
185,1078715.2138615153
186,1075679.2887553342
187,1073293.0474453208
188,1060361.306906728
189,1056662.6673489348
190,1064864.9052012425
191,1071360.920707555
192,1071435.3693381348
193,1077341.6886077444
194,1082107.2918793273
195,1083606.5853704154
196,1083677.9251375776
197,1093230.1118762048
198,1097201.2280716826
199,1095466.2917719926
200,1101847.799039666
201,1097115.870056921
202,1089780.9705535022
203,1100654.7058561249
204,1091801.8275424347
205,1085926.5496283008
206,1087335.63523378
207,1078438.4185850262
208,1092135.9896825529
209,1073801.1338250828
210,1079047.5325035662
211,1079265.8342955306
212,1080066.0167050632
213,1094324.050247965
214,1095870.4144900523
215,1108227.6000377529
216,1110369.2744860786
217,1115646.527213643
218,1116558.5747246062
219,1121866.6641454448
220,1129367.4776719445
221,1130411.3146007918
222,1128380.3501101923
223,1119465.5216876096
224,1118353.5458481768
225,1126632.6955564164
226,1126905.6581949184
227,1130781.8213025297
228,1118304.306664946
229,1119699.7012758905
230,1126651.7891175211
231,1126821.8178518491
232,1116536.8966422472
233,1117955.4102071389
234,1121269.8404752624
235,1111706.0535016528
236,1111325.4999437723
237,1113399.023558395
238,1118295.734083938
239,1123412.4923811383
240,1119985.8538979539
241,1122773.4671484285
242,1111519.8288438201
243,1110807.2912427238
244,1116892.3856880283
245,1119590.3568147924
246,1122007.6815798492
247,1126606.8764795784
248,1129400.8999327489
249,1128612.9181579952
250,1127666.4138820097
251,1119357.1961118013
252,1134950.1892900467
253,1137635.3595881008
254,1138285.024907413
255,1140267.4202281525
256,1140129.6265616012
257,1143647.66367882
258,1143166.775939505
259,1144092.070168214
260,1144617.5917659735
261,1137690.2591747893
262,1146227.2052695178
263,1137128.436710946
264,1119042.9614377643
265,1102859.7429446268
266,1104272.9071473614
267,1103476.7143485781
268,1104516.0794516923
269,1095203.1665171604
270,1091628.0412957766
271,1106006.690091961
272,1109165.1147857427
273,1104952.1110511706
274,1085784.9588209635
275,1085155.0915017263
276,1076707.894723996
277,1093378.755140748
278,1090208.080794155
279,1097644.9438369903
280,1093411.490316306
281,1108862.8327831011
282,1113381.5023847835
283,1123732.3540495827
284,1123174.5394709148
285,1120836.1468649874
286,1113327.6218831814
287,1119919.208739998
288,1112477.2329073471
289,1111789.9451834206
290,1118773.5006699166
291,1121597.0973335297
292,1124243.513852956
293,1126754.8610109824
294,1137722.2196416545
295,1137835.3473126763
296,1136001.6667163104
297,1133503.2164840377
298,1137657.3813144914
299,1138981.8290368498
300,1141243.6204635487
301,1145792.2615625854
302,1148647.6418650572
303,1148595.6754889877
304,1145053.7196014205
305,1147730.6208062042
306,1154201.7270953294
307,1150824.5359880405
308,1149637.4463595317
309,1153532.3094578127
310,1154566.9833968466
311,1155646.46585816
312,1153834.5398182226
313,1163672.380464084
314,1172102.4763504611
315,1171826.206525612
316,1165673.616544817
317,1168801.8161417241
318,1177592.7481078135
319,1180400.0319142498
320,1182526.7786112009
321,1193285.0421036466
322,1197776.0074292766
323,1185386.675655731
324,1193653.1967958303
325,1194867.8373222328
326,1197401.2431034988
327,1197457.6894571183
328,1209271.3168417187
329,1206190.9897352532
330,1178633.373559341
331,1191849.3331366505
332,1205598.1678384035
333,1188644.328586456
334,1205824.415019892
335,1175874.2336765057
336,1168371.4683363368
337,1131290.66043502
