,0
0,1000000000.0
1,1000518349.3086686
2,995839630.8406515
3,998068094.3051312
4,990425653.8914943
5,984817913.4451528
6,1002699077.5034533
7,989584277.204678
8,985239827.6171386
9,980255496.3383298
10,973793376.5578249
11,967976582.6499238
12,949760907.0905782
13,965156447.4851145
14,973197351.2790412
15,961186362.5340823
16,982596743.0860366
17,1014204373.3931731
18,998954383.2692965
19,1009379174.7787341
20,983892496.8740854
21,979980505.9865748
22,998908049.3357855
23,997098785.761561
24,973747227.8394234
25,974747918.6686151
26,970855349.7825296
27,980189036.594038
28,979525453.2021465
29,996108405.0653229
30,980773150.7679842
31,984280827.6968603
32,976726747.7143906
33,992558449.5076932
34,983936464.2887015
35,975485017.0045047
36,964138164.3371621
37,977354023.6408701
38,983133043.1865072
39,973757211.3632231
40,982683320.6170721
41,975779517.8912382
42,977803985.0166025
43,982835419.4075785
44,977299046.5170755
45,975868518.9711504
46,966440448.5682497
47,970581163.7795324
48,975767635.4947901
49,972925440.3940134
50,979979072.6534158
51,992219728.9016305
52,985564077.8255445
53,973807591.8061239
54,969307790.9658376
55,969175150.7131501
56,976397200.9928514
57,978560965.7447215
58,976006506.5459396
59,953628798.9476501
60,938955698.6704665
61,935958245.8744632
62,941429760.5186111
