,0
0,-4265746.556293964
1,10645079.382213831
2,-2610649.573433399
3,2833226.383231163
4,21828993.7538836
5,698127.5729856491
6,-5349825.454788446
7,10823087.203435898
8,106162.93574476242
9,-2019797.3356471062
10,-3456665.474200964
11,18235813.195154905
12,16650831.940304518
13,22919993.992594004
14,-6849251.979508162
15,26282523.40163207
16,-12623143.573609829
17,-6348935.94648242
18,5655157.946266651
19,46309.73475146294
20,-291817.9975543022
21,14756206.643024921
22,10265115.670514345
23,9601645.143985748
24,3008788.1122791767
25,1934627.7405817509
26,5891923.184804916
27,5400880.900827885
28,-6867587.005783796
29,-5264339.220211744
30,-270063.46498298645
31,3917332.8963565826
32,-7023424.070906639
33,-7775676.721684694
34,6835119.013061523
35,20873512.542933464
36,-21507153.234945536
37,7003941.274988413
38,-260840.013931036
39,-10191428.092477322
40,16725264.79169321
41,9336031.336894989
42,-7789649.112183571
43,-2238805.200163603
44,19308827.80542946
45,6998121.112810612
46,18815823.932483435
47,-8274019.464802265
48,-20237648.945711136
49,-3129939.4118556976
50,-316657.2526552677
51,4809274.506928444
52,-13483243.827417374
53,7011386.776048183
54,-11805918.102082253
55,-3654422.4723768234
56,-8429597.649816513
57,22540641.427756786
58,-7764476.557374954
59,19615053.20264721
60,13856891.803469896
61,8002393.77694869
