,0
0,1000000000.0
1,1001761684.5641328
2,1002951064.9260185
3,1006782464.600167
4,1001875383.1527444
5,998311255.8721225
6,996288823.8506131
7,997593622.061183
8,1006504693.7779493
9,988829001.5190637
10,999072116.3678936
11,1002218668.2118144
12,992905894.5705185
13,986568753.5013933
14,982854984.1921428
15,975618592.7014697
16,1013099541.336412
17,1027847185.4515331
18,1018808480.0618887
19,1009791435.9313837
20,1019875611.7300202
21,1041323680.7517622
22,1036904786.9841347
23,1045193041.8631033
24,1027459540.69201
25,1027563784.1174119
26,1021062874.0828575
27,1017544385.9008756
28,1037215053.5833226
29,1026647082.9965247
30,995804975.7671064
31,998298123.6604546
32,990998093.3464341
33,964828240.3144304
34,990778703.67687
35,972589205.2372859
36,979501965.2101439
37,959966318.8402905
38,959466567.168305
39,915437616.0924153
40,928370769.9364359
41,950604766.5504624
42,960730740.8824157
43,965712374.8793598
44,983673592.8136834
45,993853992.4293295
46,1017461228.075701
47,1021962248.1598835
48,1014647178.8595617
49,1020786449.1139252
50,1029639292.8453513
51,1043246379.5101076
52,1032778558.6276482
53,1052975944.1413542
54,1077678866.2759447
55,1089716853.9550571
56,1068759804.8456637
57,1072592498.0197716
58,1067715514.9433224
59,1039346092.7616271
60,1045453179.1650275
61,1075951707.7610245
62,1101309044.459526
63,1089360378.4887657
64,1106722596.307949
65,1119933218.4598541
66,1108352415.890705
67,1175157376.530777
68,1186691517.409626
69,1221324488.462429
70,1208194826.8622742
71,1221814194.2139933
72,1215704588.1436436
73,1219735582.9997072
74,1216161035.21391
75,1219029397.8818293
76,1221519776.136693
77,1242399339.5293486
78,1255501376.419291
79,1250919545.3536499
80,1221823180.9955456
81,1240243552.4278514
82,1264500890.3786614
83,1282983929.340858
84,1269418635.309401
85,1273478901.3222299
86,1319303047.9515762
87,1317348707.067436
88,1376724315.0791872
89,1391761699.550676
90,1380413525.5072339
91,1378921316.8045385
92,1389633022.3802168
93,1413017977.3971167
94,1437139384.693306
95,1418652133.899518
96,1389304700.4468784
97,1401071782.8014946
98,1392749732.1061606
99,1380097321.0837538
100,1418807035.3556986
101,1455814629.0773172
102,1448091619.7019472
103,1420257277.4695063
104,1419679498.5968168
105,1387875143.984967
106,1387965733.5915227
107,1374584703.9259
108,1349844742.4038754
109,1397943840.413811
110,1383742778.703869
111,1404244086.2070086
112,1373587539.6366694
113,1388371230.404812
114,1366704918.4624255
115,1367833651.8302615
116,1412895445.3411753
117,1415708471.302006
118,1387059386.6618083
119,1383260231.7676308
120,1412595329.5691354
121,1443235517.3672693
122,1448678820.6652696
123,1449868624.468866
124,1455929884.2242563
125,1461039633.8146722
126,1451346360.0730035
127,1470443082.0407007
128,1467099003.9556177
129,1466265547.8068902
130,1430413298.5798814
131,1414234194.7411973
132,1350457438.400534
133,1347932398.08303
134,1388137999.1665719
135,1374327293.6819947
136,1382746978.3662028
137,1408376423.6787877
138,1423605784.2474332
139,1423103904.4577298
140,1421744696.6183171
141,1427737919.263123
142,1448191912.726544
143,1433425377.522834
144,1405560968.4947824
145,1433767845.787053
146,1470096814.1990285
147,1517019042.5433927
148,1517890140.8063703
149,1496815400.5778508
150,1520698985.4835896
151,1504296497.0972092
152,1490577654.1985419
153,1477013390.736894
154,1478526580.9676235
155,1471165517.937978
156,1464290131.4521306
157,1418072122.325002
158,1437919162.6448643
159,1441309163.6126912
160,1509704946.240617
161,1542738498.0446293
162,1558983212.0251038
163,1518577669.1671956
164,1568426326.1701882
165,1557231637.104665
166,1590726160.3279507
167,1515174034.076524
168,1554170074.3270962
169,1557898543.7734644
170,1568858274.5425236
171,1553918611.2350872
172,1574315905.1031518
173,1599507483.646872
174,1580912643.741753
175,1600283842.3684049
176,1605141897.0850534
177,1616910792.597342
178,1654453203.8000112
179,1713223085.0829988
180,1710287663.3142858
181,1703702218.2600884
182,1693651762.4385743
183,1772716296.4787679
184,1772332534.229632
185,1784929454.666634
186,1807281367.4362378
187,1774193512.7114873
188,1788722427.2051911
189,1775096827.9838758
190,1747842016.8800263
191,1693051627.7138143
192,1673437766.8032935
193,1680656915.550391
194,1683014046.415774
195,1700368592.978448
196,1666856078.6785116
197,1622651497.5562544
198,1654280329.8600054
199,1661716055.6632528
200,1648168665.6756124
201,1647048567.3642626
202,1653597399.089176
203,1666061998.5890005
204,1608627624.3940523
205,1624376327.6839674
206,1654049959.0929084
207,1682321794.243875
208,1643475202.990562
209,1638153918.887123
210,1599514746.4900632
211,1572349273.831706
212,1540240312.3343158
213,1590393339.6229048
214,1539804089.7584982
215,1589925951.9323626
216,1612997163.5598536
217,1596262724.12527
218,1622414575.848725
219,1569064546.4974084
220,1582237353.0271566
221,1602710415.0882852
222,1546950097.790241
223,1581215806.4053724
224,1633064906.0459614
225,1641347897.7938175
226,1626034272.9255962
227,1605215544.928465
228,1629972311.8830485
229,1620103349.743339
