,0
0,8377755.860999942
1,17335331.467000008
2,13086434.519000053
3,-187142.80800008774
4,-4344992.6319999695
5,-5915373.777999997
6,12433351.560000062
7,-9756642.340000033
8,10930637.967999935
9,-2197784.959999919
10,-7878024.840000033
11,-6458399.652999997
12,3429108.07099998
13,-21688378.825999975
14,4263596.399000049
15,-13954151.65500009
16,272395.76700007915
17,-15819323.766000032
18,-838803.993999958
19,-2938394.5980000496
20,8823399.399999976
21,2694196.315000057
22,6649685.671999931
23,-5647106.32099998
24,-353141.42999994755
25,5636646.899999976
26,3410214.2339999676
27,-172365.189999938
28,-4292332.230000019
29,26398130.046000004
30,-7425466.508000016
31,-6224273.105000019
32,-16339187.853999972
33,-57888677.164000034
34,9571661.925000072
35,9484095.245000005
36,14745225.031000018
37,-1144012.5930000544
38,568738.0420000553
39,12174616.497999907
40,7131468.378000021
41,4007669.417999983
42,-3258488.7350000143
43,15843773.586000085
44,-4242151.340000033
45,11904059.583999991
46,-1263250.1339999437
47,2531837.113999963
48,8978903.646999955
49,-8135396.677999973
50,7933708.34800005
51,-766207.2300000191
52,-12334965.277999997
53,-3184079.91200006
54,-963302.5499999523
55,89778.47000002861
56,-8833979.407000065
57,-1563196.3799999952
58,-3640402.2799999714
59,-9479230.81400001
60,-1935301.3500000238
61,-1733986.4099999666
