date,trade,sell,buy
20171025,24,10,14
20171026,22,13,9
20171027,22,13,9
20171030,22,9,13
20171031,22,12,10
20171101,22,14,8
20171102,21,9,12
20171103,19,8,11
20171106,21,11,10
20171107,23,9,14
20171108,18,6,12
20171109,22,12,10
20171110,23,8,15
20171113,24,12,12
20171114,20,10,10
20171115,18,7,11
20171116,24,14,10
20171117,23,10,13
20171120,24,12,12
20171121,20,10,10
20171122,20,10,10
20171123,20,8,12
20171124,20,8,12
20171127,23,8,15
20171128,19,10,9
20171129,21,6,15
20171130,21,9,12
20171201,20,8,12
20171204,23,8,15
20171205,23,9,14
20171206,20,8,12
20171207,23,10,13
20171208,22,12,10
20171211,22,12,10
20171212,20,11,9
20171213,20,10,10
20171214,21,10,11
20171215,21,11,10
20171218,21,11,10
20171219,21,8,13
20171220,23,10,13
20171221,21,9,12
20171222,23,10,13
20171226,17,6,11
20171227,21,8,13
20171228,20,8,12
20180102,17,6,11
20180103,20,6,14
20180104,19,8,11
20180105,18,7,11
20180108,21,9,12
20180109,22,22,0
20180110,15,0,15
20180111,18,4,14
20180112,17,3,14
20180115,17,17,0
20180116,0,0,0
20180117,16,0,16
20180118,19,5,14
20180119,16,1,15
20180122,20,8,12
20180123,19,7,12
