,0
0,1019326737.7769988
1,1025575701.8869988
2,1019857312.0269989
3,1025059656.299999
4,1037514356.482999
5,1027404364.829999
6,1030345931.8409989
7,1029257814.326999
8,1020557201.1979989
9,1030634816.8379989
10,1026141928.0379989
11,1034212233.763999
12,1026664138.693999
13,1028101931.251999
14,1016070203.0719991
15,1018414897.760999
16,1023344813.5779991
17,1028294718.075999
18,1029780454.3089991
19,1034078077.7989991
20,1039503859.218999
21,1028975302.332999
22,1032605639.036999
23,1032762201.734999
24,1036500470.164999
25,1034934539.834999
26,1023352160.464999
27,1014374035.5949991
28,1010872152.8169991
29,1008803403.238999
30,999082302.9289991
31,1021963854.374999
32,1011403515.557999
33,1022349422.146999
34,1030057707.830999
35,1040233029.8779991
36,1030866800.3479991
37,1042300026.345999
38,1041605054.9239991
39,1052900859.462999
40,1062242303.8859991
41,1057956312.998999
42,1040228484.022999
43,1022642465.9369991
44,1025270065.7149991
45,1012520081.767999
46,1013079272.137999
47,1001930440.8069991
48,1014954925.2609991
49,1024641952.5569991
50,1031233558.9169991
51,1036410962.537999
52,1015048037.4779991
53,1018665316.437999
54,1024820665.5469991
55,1041120484.476999
56,1049896063.228999
57,1058375560.2609991
58,1078065200.8109992
59,1077003064.360999
60,1074345647.970999
61,1087933135.918999
62,1058518483.8049991
