,0
0,1000000000.0
1,999900033.538
2,1000053436.0609999
3,1000356523.8869998
4,999740849.1369998
5,999611762.2399998
6,998896031.0079998
7,998578271.43
8,999528450.9379998
9,996915132.3739998
10,998337464.6769998
11,998344799.0069999
12,997153879.9859997
13,996557943.2729996
14,996499096.8169996
15,995828172.0049995
16,999732659.7209995
17,1001175853.6679994
18,1000153631.9179994
19,999992345.9829994
20,1000039634.2509995
21,1002950593.3039994
22,1003976817.8379996
23,1005494222.7199993
24,1004529947.1469994
25,1005089762.7659993
26,1004617372.9109994
27,1004144831.8139994
28,1006773881.0909994
29,1008215205.7019994
30,1004539315.8719996
31,1004520332.9169996
32,1000683100.0369996
33,996487475.6859994
34,1000278801.2619995
35,997602461.4459995
36,998391776.1199994
37,994887355.8479993
38,994221324.9969991
39,986748143.9759992
40,988681544.9539992
41,994613417.0189992
42,994230270.9809991
43,996110667.2439992
44,1001187910.2959992
45,1003359976.6199992
46,1008385844.2259991
47,1008094525.097999
48,1007771178.6209991
49,1005886268.8769991
50,1009853473.7299992
51,1010616703.9299991
52,1012390439.269999
53,1019952017.6349988
54,1027185912.5409989
55,1028612190.180999
56,1027193414.5699991
57,1029626400.973999
58,1027588186.970999
59,1024440300.908999
60,1026665397.2169989
61,1035094817.7119989
62,1042280179.0889989
63,1040080204.2089989
64,1040126759.638999
65,1045034500.263999
66,1042032481.6839991
67,1063978904.470999
68,1067632930.0079991
69,1078613864.023999
70,1079323122.702999
71,1081965319.108999
72,1075236410.388999
73,1069876337.424999
74,1069799429.9089991
75,1073925630.5269992
76,1076087793.7749994
77,1084968052.6529994
78,1088943721.6019995
79,1083571538.7619996
80,1074823770.7709994
81,1082537522.7429996
82,1091759492.5479994
83,1097162869.4649992
84,1098688489.2569995
85,1102552071.1669993
86,1112550756.7159994
87,1109898066.7069993
88,1129134498.6649995
89,1134272852.3849993
90,1126925571.6989992
91,1124845145.8129992
92,1123144230.4619994
93,1130488185.7019992
94,1147241997.7529993
95,1146119428.2729993
96,1134110016.2529993
97,1138763718.8249993
98,1134855202.3159995
99,1127220155.3319993
100,1138663304.6279993
101,1153892965.3309991
102,1168508459.7009993
103,1160665023.4369996
104,1162228932.9449997
105,1134730514.1409993
106,1139323710.8419995
107,1138160641.4519997
108,1119789684.7939997
109,1139533088.3219998
110,1135425644.3459997
111,1141645559.3509998
112,1129522583.8199997
113,1131880376.4809997
114,1117495383.8589997
115,1114229817.3089998
116,1135221070.439
117,1130736846.905
118,1106061353.885
119,1108450606.971
120,1131816723.699
121,1146535577.4129999
122,1142235912.895
123,1144700317.509
124,1138453273.777
125,1135516383.2159998
126,1134521943.8849998
127,1152493820.5549998
128,1151843828.5969996
129,1146668284.3569999
130,1120997258.1619997
131,1115862493.4039998
132,1077464149.166
133,1076804531.402
134,1095606980.5789998
135,1096402255.0369997
136,1105156570.8869998
137,1122427576.1709998
138,1128842978.79
139,1128889255.2059999
140,1121965552.2329998
141,1123213142.393
142,1140969876.5149999
143,1128559021.547
144,1110380782.0709999
145,1132653216.9109998
146,1140897121.3179998
