,0
0,-3300662.1054514647
1,5982134.483997345
2,-9372764.186090589
3,-4619579.278964281
4,-420657.4573184252
5,-2010373.0114562511
6,-6071565.961454034
7,-6058040.663720131
8,185156.14107322693
9,-1035338.6807351112
10,-951668.3804084063
11,-6068448.35280025
12,9684292.97393775
13,2603633.641958952
14,10297899.126112223
15,-4992692.246377587
16,-5674724.348816872
17,2803846.771596074
18,17665160.667776823
19,10259126.63797474
20,-8256147.871522188
21,-3354330.706044197
22,-4940488.757668853
23,-2119045.8818609715
24,524987.5992177725
25,11976228.380662918
26,3386610.4277859926
27,-3338028.318317294
28,6166081.3716516495
29,-1674360.095856905
30,7592991.071835279
31,2481896.839738846
32,-3878829.320009351
33,-3779541.342872143
34,3534468.7018824816
35,-9939264.613063097
36,7102242.88282752
37,-5720067.810618877
38,-13359876.408088446
39,-5931614.834072232
40,6404032.503000736
41,10682877.85181737
42,-376662.49732363224
43,3771526.4563450813
44,1765624.0261689425
45,-1943490.0629321337
46,-148.49277567863464
47,16516785.150401115
48,-338658.1739717722
49,4676565.589480877
50,670896.4012424946
51,22825398.237085342
52,13868272.329050899
53,-17570980.239023805
54,7019035.972410083
55,-13053505.97905922
56,567404.4493311644
57,-4945441.373216987
58,-13670239.695329785
59,-21084533.889454603
60,2160116.9274607897
61,8821565.10746944
