,0
0,1000000000.0
1,1000816010.0538405
2,1002205991.542312
3,1008754313.1329716
4,999167190.8944311
5,990011265.0033687
6,979606924.054134
7,978382930.2004683
8,985544370.8579042
9,970096420.0989356
10,973940472.0427237
11,973504697.8674332
12,969045766.135242
13,966083412.3158041
14,968166860.3176835
15,971875230.9639696
16,986578122.2672124
17,990497766.7307504
18,984273810.7275059
19,979482780.8227462
20,980794624.3914828
21,987744358.6513736
22,984160776.3463849
23,991589874.3145534
24,988198370.7137883
25,984997123.5688382
26,975669763.0539439
27,980870598.9474696
28,989110885.5543842
29,988418406.8916017
30,978453001.6591666
31,978598553.8349639
32,968859052.1364824
33,960758509.4019301
34,971361302.0520134
35,968886414.0960841
36,971817135.6790227
37,968318777.9273171
38,963796751.3086288
39,951887376.9083557
40,948696722.8640208
41,967415882.1813514
42,971251061.9040012
43,979283893.8843966
44,988177979.1471015
45,1003942040.8367031
46,1021227526.933302
47,1023705327.2201719
48,1018977691.4728906
49,1013954229.8790842
50,1022296849.1608471
51,1018025109.7636085
52,1024172946.8862629
53,1042763768.2919958
54,1053614084.1430514
55,1070946662.9146676
56,1055196988.3293378
57,1075042844.2153
58,1079527601.4635785
59,1056143624.1927084
60,1073298245.0180225
61,1096405462.3508334
62,1123970743.362526
63,1109652182.3569853
64,1121710637.9633558
65,1133269100.8769524
66,1136250492.184355
67,1203409971.0237236
68,1223486755.2834857
69,1263846303.4152174
70,1248555262.3029256
71,1271591755.995407
72,1260603122.6362848
73,1237151362.4730432
74,1240914480.778404
75,1242739982.2145538
76,1262351628.3189626
77,1308930505.1466172
78,1329625868.240898
79,1308035727.901009
80,1264774828.4368184
81,1288616107.432269
82,1316541216.7376168
83,1303215779.2806103
84,1291463527.5647528
85,1308059670.7863493
86,1346900976.1377265
87,1347343862.5972316
88,1419259235.1073546
89,1417995265.8589315
90,1386334377.874822
91,1386912627.0700154
92,1389298649.7650626
93,1413872244.1186235
94,1455314666.4570682
95,1433573929.1814666
96,1437108185.267819
97,1435414916.7745795
98,1425524883.3743134
99,1391579777.3378613
100,1415600788.8721774
101,1469221499.463291
102,1488988714.3490734
103,1471170731.1914923
104,1458208275.7925568
105,1404074731.6471446
106,1422520294.95764
107,1426087119.1171
108,1389035741.168961
109,1423173503.266161
110,1421815277.758313
111,1442433987.287535
112,1419852367.4652262
113,1435866409.8174222
114,1419282154.9544628
115,1411053800.9615335
116,1437660571.6723611
117,1430133924.9875562
118,1386240802.3807528
119,1397979152.1896372
120,1442657173.637812
121,1457937964.4396563
122,1464191604.4867463
123,1477831332.7144778
124,1472714626.8769057
125,1472448425.378117
126,1478400749.425905
127,1502419155.2201521
128,1505345078.0204575
129,1491715600.507768
130,1426519985.329482
131,1428454994.6025364
132,1350599112.9837477
133,1340905063.2211473
134,1393834973.3256314
135,1369475962.6078246
136,1382887665.2180429
137,1403997450.752172
138,1408892155.2481759
139,1398899890.9692085
140,1387640620.1337483
141,1371464155.6671557
142,1413071087.0985518
143,1411773958.8422709
144,1391585437.2988336
145,1413825558.3226166
146,1409818909.1213093
147,1438289335.5463102
148,1439112828.66524
149,1424912527.2393963
150,1452654134.782973
151,1444541693.7477624
152,1438971683.3915293
153,1444918659.8968081
154,1442612664.3985558
155,1437438000.437705
156,1437520884.0762732
157,1397930065.7904444
158,1417698023.3698256
159,1429137273.0747287
160,1461267443.9093544
161,1471425193.5732918
162,1500525584.2534182
163,1500225780.3813934
164,1509010222.6354508
165,1491835059.0318003
166,1513873990.2841706
167,1509305975.0466273
168,1556907224.844325
169,1562496260.5813105
170,1552144820.5086884
171,1537572368.4782257
172,1561313550.1768475
173,1565596039.1029413
174,1548793648.8077922
175,1575063884.1696167
176,1572034016.4106174
177,1569352963.44969
178,1597298992.3863716
179,1623500558.3316627
180,1624764195.8242195
181,1614975534.620101
182,1618092384.4910362
183,1656147309.9975784
184,1664489858.1527505
185,1655817272.5787365
186,1658950668.3638268
187,1641689623.6392822
188,1650930559.554776
189,1644935141.1162329
190,1591409510.653034
191,1567119272.2850955
192,1560086748.9113185
193,1538168685.235713
194,1560642095.1368964
195,1587734573.2260492
196,1591458901.9940522
197,1593931760.005002
198,1617135258.6884584
199,1620095504.3428838
200,1591422307.4175572
201,1596574087.6438236
202,1594727602.9908457
203,1590040435.2857118
204,1558344540.2236576
205,1575710785.4780464
206,1598832315.5176854
207,1601139884.6741903
208,1570431574.9785063
209,1563500424.8119164
210,1550907269.9753325
211,1522235534.4673781
212,1504142141.9124258
213,1538105630.5068333
214,1512935416.726182
215,1534609103.4605706
216,1541484629.4299936
217,1547084620.0121536
218,1560902050.6580424
219,1530404424.2573962
220,1519411160.7243748
221,1534958330.2807992
222,1516933361.0004075
223,1535577176.2037556
224,1555552540.0917485
225,1559168483.070087
226,1560574520.6620219
227,1548210162.785744
228,1542483532.9416432
229,1545230124.3848531
230,1489827723.8998609
231,1508942901.5779517
232,1515748344.734349
233,1546372862.958535
234,1568362128.8834436
235,1594085283.9806385
236,1591478373.8816514
237,1598181570.3919487
238,1610893267.4291453
239,1630980651.1312559
240,1620640369.1901662
241,1618077672.7963052
242,1616076569.1602325
243,1605710690.1672435
244,1595213506.8998454
245,1592320384.3048646
246,1588154409.0003097
247,1593000880.5331903
248,1606609240.3974273
249,1623569848.757415
250,1617054140.8689203
251,1603445463.041048
252,1613458911.49062
253,1622311862.7641122
254,1619113321.0051017
255,1622290867.9732332
256,1591116208.22625
257,1580172648.0152845
258,1575825590.3713899
259,1594053584.5741146
260,1577960561.2531033
261,1594195541.1946962
262,1605961484.4022803
263,1639158215.9329329
264,1647978726.4707766
265,1652447332.2046595
266,1644591967.5578284
267,1612336219.5230145
268,1604822310.6700923
269,1570302319.8927865
270,1568514660.9801722
271,1579411856.3406734
272,1551869185.0588288
273,1556872533.289655
274,1546435649.3678956
275,1547176093.0431457
276,1558556869.193167
277,1524619243.2172627
278,1531884076.972265
279,1534123614.3248289
280,1534361540.2144794
281,1558030133.7057326
282,1564192966.47698
283,1565807993.8135226
284,1584976899.8996336
285,1572849776.6634681
286,1540280091.0919504
287,1556776588.753267
288,1561596084.2408686
289,1559046928.3999739
290,1545731827.8436294
291,1551232464.8501575
292,1576700614.3411229
293,1573815456.5779123
294,1574939035.3233128
295,1589610569.3210657
296,1605273588.0009677
297,1607797707.1567929
298,1613172301.813713
299,1625677487.0516202
300,1630565822.5379438
301,1616752895.0402944
302,1622219381.1371193
303,1650762006.1826336
304,1638725546.6001666
305,1654841121.9674492
306,1635459375.008342
307,1641879023.7597253
308,1641673768.6885865
309,1663964517.6517863
310,1673497704.312633
311,1667539601.793926
312,1665618284.8523228
313,1652347794.1280117
314,1687705630.2696483
315,1685877079.2448764
316,1686353617.8817282
317,1690604746.9119987
318,1703357552.1115844
319,1713563187.2252495
320,1701934919.5450716
321,1681874053.3105364
322,1684945015.4221046
323,1701241635.6582732
324,1692115802.7722833
325,1665108840.8286753
326,1629768163.5216212
327,1639850555.1968768
328,1680105402.862921
329,1670006856.8047197
330,1675724215.5727103
331,1694843621.1141903
332,1701013105.0510285
333,1711864691.5173416
334,1705696176.9105196
335,1700838738.0605664
336,1684064785.795868
337,1671882738.8470244
338,1650842276.8088212
339,1622947206.913646
340,1656549666.992943
341,1673042679.7282627
342,1693898002.4027512
343,1712591975.796099
344,1695252769.376155
345,1668291869.0084596
346,1637891438.4285955
347,1625240515.1384318
348,1620496018.693351
349,1609518924.4972785
350,1572023604.1615012
351,1605850116.9244657
352,1599136347.5292614
353,1607701686.6221173
354,1626700400.7471104
355,1630235603.9176025
356,1662488685.7293963
357,1686042105.0760448
358,1654169210.1515768
359,1669992783.573725
360,1662391052.82893
361,1662326345.4218085
362,1695592289.2228627
363,1711295456.7043326
364,1712164474.887282
365,1720526697.839185
366,1725007682.1188488
367,1725542045.6807055
368,1751002574.7220116
369,1740560457.3346038
370,1741188973.1890879
371,1741515710.1630578
372,1720479056.7346244
373,1722711218.5179293
374,1705791194.0405138
375,1702685393.615431
376,1704946771.471155
377,1675791313.1516373
378,1683667871.9584808
379,1716490814.9844577
380,1681278113.1378386
381,1693419608.981128
382,1724487327.898227
383,1753289304.5669293
384,1764022163.591151
385,1774670578.9759395
386,1764005898.3850284
387,1770251874.5281718
388,1756485845.4120524
389,1755933369.2943573
390,1785692994.7670674
391,1761074386.4501023
392,1791834360.1846845
393,1799094447.9724064
394,1779080308.576949
395,1774931641.9004698
396,1787821752.5315976
397,1778303211.1172118
398,1810349937.3672855
399,1802797934.9880996
400,1810235473.733185
401,1791852512.7354748
402,1791339717.4800303
403,1789951289.1351702
404,1786490094.2641802
405,1753641056.3425207
406,1731266571.1592824
407,1761831965.953221
408,1761807229.0345664
409,1789641179.9088392
410,1805242029.0488925
411,1809139158.8909445
412,1813909335.2785165
413,1804632025.7776232
414,1791814578.8327787
415,1769904711.7749
416,1782912742.148802
417,1780442636.1017313
418,1797094848.1527588
419,1795126912.2269304
420,1810389029.7245471
421,1832150074.9355834
422,1827891426.120382
423,1823828419.6184223
424,1810332107.1251116
425,1807771955.0002723
426,1807324824.5920208
427,1827305747.7607777
428,1834720204.0173633
429,1807929503.9021852
430,1812955185.5616937
431,1778696864.5359724
432,1804400042.0676138
433,1811204303.6469772
434,1823190128.2232552
435,1863473605.1156073
436,1855145282.4737313
437,1855776682.6836972
438,1846366747.3050458
439,1846002620.4127076
440,1863114690.6927025
441,1868177991.3655732
442,1891275804.6774824
443,1881094089.5021303
444,1873456024.0939524
445,1854809098.8131685
446,1828924698.0571938
447,1826842583.5856376
448,1848869523.8454971
449,1862431917.680544
450,1839871153.6686306
451,1841394888.5225434
452,1868170668.6131084
453,1871470327.7754571
454,1880208151.2405105
455,1884732632.5238848
456,1891992624.4062395
457,1865204633.7820735
