,0
0,764544612.239417
1,759474093.1799614
2,754563118.659202
3,766562581.4806601
4,773865830.1132137
5,769713023.149968
6,765803633.537498
7,768596843.0951741
8,783328805.3128357
9,789970718.3524224
10,806763467.7718356
11,813089226.2709863
12,819848074.4383391
13,822546018.8631309
14,813914965.8340935
15,821312741.8673583
16,807149035.4503019
17,790286470.398612
18,746801579.4830623
19,790070703.3101345
20,792397000.8933026
21,784152848.0207363
22,787279526.7614514
23,780748721.0401913
24,786253838.6815332
25,807959504.7977365
26,784686004.0189523
27,794143145.5179597
28,771656358.5213912
29,783955459.810119
30,778597014.2914156
31,786800980.2347575
32,788236340.8588743
33,802288633.474526
34,790107762.7300895
35,792177934.128855
36,794255618.4511282
37,785886030.4215415
38,799261122.7210104
39,792996106.3968918
40,815044077.2659799
41,807393805.8223276
42,831307274.1625801
43,834801042.6354173
44,852189363.5179306
45,861014307.1541953
46,871550828.1578116
47,856161592.2150741
48,861761996.4205543
49,880038947.2944728
50,884527333.6062505
51,889021741.0305078
52,882438828.5891521
53,883488895.7049377
54,899279690.8310297
55,936401511.0137022
56,956485985.8780744
57,975252417.937887
58,1014269030.5233457
59,1026128240.499191
60,1013319325.6311357
61,1007067635.7912605
62,993346171.0763357
