,0
0,7734997.264999986
1,-10731777.0
2,6908623.657999992
3,13908885.561999917
4,-7044056.475999951
5,2888132.0439999104
6,-324082.41899991035
7,-12654094.825000048
8,13878123.220999956
9,-1261393.5019999743
10,6599025.514000058
11,-6431869.701000094
12,5929968.515000105
13,-14787015.35500002
14,35106.90699994564
15,7178795.194000125
16,1868358.297999978
17,5937053.777999997
18,3407748.9190000296
19,4995149.0500000715
20,-11462632.271999955
21,3842627.7199999094
22,-2586806.101999998
23,5870966.231000066
24,-3594568.475000143
25,-12823198.554999948
26,-8093031.393000007
27,-3934107.480000019
28,-1627953.419999957
29,-11210501.840000033
30,23170261.715000033
31,-14386816.638000011
32,7995166.396000028
33,9197458.066999912
34,8287284.6210000515
35,-6121370.139999986
36,12777132.679999948
37,-5556195.894999981
38,7904235.315999985
39,13572634.42200005
40,-1792532.7820000648
41,-19492923.549999952
42,-22015474.43900001
43,-367494.18700003624
44,-7846686.929999948
45,556422.9520000219
46,-6306463.22300005
47,10838076.42900002
48,8864801.929999948
49,2625785.273000002
50,3955402.0
51,-20046202.91199994
52,-1019836.8259999752
53,9517888.281999946
54,19167218.450000048
55,8662853.71999991
56,7591903.644000053
57,12606512.299999952
58,-2058706.2960000038
59,-3990286.5039999485
60,9322131.118999958
61,-31491110.51999998
