,0
0,1425459212.9300008
1,1393540567.2720008
2,1381192377.8800008
3,1383026961.263001
4,1405743351.7200007
5,1393250437.217001
6,1411713450.310001
7,1397195932.3450007
8,1435910001.7820008
9,1432704435.797001
10,1429367695.8120008
11,1426267961.9510007
12,1419285703.6000006
13,1424567912.0620008
14,1420296693.7130005
15,1421333920.0850005
16,1401696051.8540006
17,1404986237.9260006
18,1405321072.0110006
19,1399103594.0140007
20,1401662913.5130005
21,1405449367.4200006
22,1425946123.6520004
23,1431419170.2120006
24,1446236159.6530006
25,1461474264.3470006
26,1464547980.7780006
27,1471060292.9790006
28,1472463476.2890005
29,1478758789.2080007
30,1466782236.8770006
31,1479792099.1950006
32,1474584609.1240005
33,1479608688.7510006
34,1487707069.7470007
35,1493863995.9200006
36,1489440899.0610006
37,1499622665.1670005
38,1503765501.1660006
39,1506903637.7290006
40,1504941865.9200006
41,1517390590.1010005
42,1516254084.7320006
43,1529071652.0780005
44,1521920858.7750006
45,1513794187.7570004
46,1522907393.7480006
47,1517692827.6460004
48,1504756804.4660006
49,1501203633.1080005
50,1508784230.9080005
51,1515404359.3430004
52,1511802424.2990005
53,1501334256.1970005
54,1489242621.4290004
55,1513688424.9310005
56,1523227887.3390005
57,1512553768.3830004
58,1505842768.5490005
59,1484828625.5500004
60,1478529287.0410004
61,1426506138.6090004
62,1440707405.2910006
