date,trade,sell,buy
20180801,26,12,14
20180802,23,9,14
20180803,22,7,15
20180806,23,9,14
20180807,23,7,16
20180808,21,9,12
20180809,19,7,12
20180810,24,7,17
20180813,20,11,9
20180814,21,9,12
20180816,22,7,15
20180817,23,10,13
20180820,22,11,11
20180821,22,8,14
20180822,20,6,14
20180823,16,0,16
20180824,17,0,17
20180827,19,1,18
20180828,17,2,15
20180829,18,4,14
20180830,18,3,15
20180831,18,5,13
20180903,16,5,11
20180904,18,2,16
20180905,17,1,16
20180906,18,4,14
20180907,22,3,19
20180910,21,3,18
20180911,21,3,18
20180912,22,8,14
20180913,21,8,13
20180914,22,8,14
20180917,22,7,15
20180918,23,7,16
20180919,18,5,13
20180920,19,6,13
20180921,18,4,14
20180927,20,5,15
20180928,17,6,11
20181001,19,6,13
20181002,19,9,10
20181004,18,7,11
20181005,19,8,11
20181008,18,7,11
20181010,19,9,10
20181011,22,7,15
20181012,21,10,11
20181015,19,8,11
20181016,18,5,13
20181017,21,6,15
20181018,22,8,14
20181019,20,7,13
20181022,18,5,13
20181023,19,5,14
20181024,18,5,13
20181025,19,6,13
20181026,18,5,13
20181029,18,5,13
20181030,17,4,13
20181031,18,6,12
20181101,18,6,12
20181102,17,6,11
