,0
0,1446004819.7925785
1,1462206602.5183394
2,1453978223.502277
3,1457969867.5821147
4,1447326425.2205105
5,1466484318.365283
6,1488011065.2594404
7,1481858309.1272974
8,1480098111.5400624
9,1466526337.1267097
10,1458442430.2972863
11,1459410939.8452709
12,1481136054.5091126
13,1471610670.2031283
14,1489415826.474503
15,1511515284.5832198
16,1509554516.1875336
17,1511852789.8803997
18,1500918918.579325
19,1518833314.4545414
20,1520459610.4228795
21,1524117526.4505339
22,1528323516.3719757
23,1502715828.9058795
24,1495460876.3350027
25,1499426440.8386421
26,1493645977.4968598
27,1491029468.452153
28,1501490168.6693928
29,1515462611.7138107
30,1499580385.8541403
31,1501361786.648144
32,1488054606.85085
33,1490744287.640694
34,1490793468.4163237
35,1455757846.0577645
36,1439820063.224238
37,1449735064.090785
38,1469749944.5199826
39,1464542763.2830534
40,1460101448.99612
41,1458999864.248036
42,1459658661.1888928
43,1446815322.9206414
44,1452494978.5780892
45,1450574899.4610476
46,1468997821.842528
47,1462657334.740427
48,1456946530.8348918
49,1471467901.519858
50,1449318038.9756057
51,1433322466.607737
52,1439016614.7714238
53,1444253967.7813387
54,1442848839.506981
55,1480351991.4780977
56,1485415464.0723863
57,1507618461.206005
58,1489091150.7727356
59,1498030563.0860078
60,1482573249.8364637
61,1471064620.5562494
62,1493251625.01628
