,0
0,10534429.151762486
1,-16036912.417632818
2,17817818.898019075
3,-10672155.029708385
4,-188682.7889728546
5,-8166000.93106842
6,11780257.17198968
7,-17225092.991723537
8,-14386594.455955505
9,18287156.952159643
10,-8931326.797393799
11,-1379031.6407928467
12,-3318318.9650497437
13,3918153.941711426
14,-11863310.045257568
15,17996113.82143402
16,16311514.630760193
17,5310066.494466543
18,-9697028.22132039
19,7147362.811443567
20,-10360126.370399475
21,-2354284.1669540405
22,-533336.8460464478
23,13027865.611907959
24,-16493657.827560425
25,4942420.087104797
26,11528486.678352356
27,-13930028.26160431
28,-5972107.8615112305
29,-2303298.9247436523
30,10849333.036270142
31,16127257.499565125
32,-9083715.450874329
33,7141408.822036743
34,-2598844.936515808
35,384167.35721588135
36,5419850.544509888
37,6891744.643882751
38,2752835.9132614136
39,3951049.3021698
40,-35926518.160736084
41,-44520728.496902466
42,-13502653.054969788
43,-8023653.455787659
44,-14451038.184875488
45,-45252692.738975644
46,22858548.527107358
47,-7289782.684661984
48,1430528.3293457031
49,17286561.71787274
50,-19277706.93684399
51,13478747.980560422
52,15786311.472496033
53,-30339139.145866513
54,967144.1686096191
55,-886250.6842956543
56,-27530093.578163147
57,-8530629.539619446
58,15085635.750862122
59,9344158.076309204
60,3937649.024871826
61,31019909.534683347
