,0
0,1000000000.0
1,999214174.8757166
2,1001740579.2424258
3,1005445031.0734683
4,1001418363.5489368
5,998022540.6238033
6,990503243.5690619
7,990250017.2267534
8,1000392351.7529545
9,961720784.9555228
10,983608592.0868773
11,990771556.887691
12,970821133.4199202
13,953297279.2490655
14,955409858.3522635
15,941986220.2902071
16,985625287.4919336
17,999308369.2072847
18,985563120.4710832
19,975226444.8765736
20,976958695.953488
21,997328039.5982555
22,995037285.0758922
23,1008193675.2575091
24,1000014565.4496039
25,1005995966.968525
26,998844551.4499704
27,989966834.8263513
28,1000479547.5068704
29,1000744213.7906152
30,970087607.994793
31,963797137.4528161
32,949155010.7350885
33,923603799.5096704
34,946424675.0538571
35,922186501.8334973
36,927625323.5035641
37,903012920.1931393
38,898073991.5532696
39,861312800.8481915
40,870667902.9974964
41,889029310.0366783
42,892562934.8689022
43,899200659.655056
44,916242685.2140846
45,923727501.9097334
46,954257326.8657252
47,956353491.4885422
48,950833191.0364139
49,939844493.2997508
50,965460489.9100871
51,966843378.3255382
52,967749814.3806529
53,983391973.1025271
54,1008965349.0956874
55,1016000721.0576606
56,1031079484.1411185
57,1040102536.6726222
58,1031822698.0671496
59,1008116266.7506518
60,1005645040.9017444
61,1038364472.163343
62,1061569645.7667804
63,1060381354.6185966
64,1058787986.8239226
65,1069370371.4977336
66,1046125558.6553893
67,1084861985.9932685
68,1089767858.7142463
69,1083056577.2526202
70,1092310111.8390765
71,1087288207.5438552
72,1079192529.8053565
73,1064563690.2690539
74,1079880028.7390437
75,1090597466.6829867
76,1095163476.3262362
77,1108198532.066749
78,1099796327.818296
79,1078373513.9612193
80,1063365185.1857791
81,1096221023.1854377
82,1106637130.3827662
83,1124315216.7450454
84,1129143201.7249174
85,1132095713.9032545
86,1136515894.4702883
87,1139008593.052743
88,1135337126.3863802
89,1152548382.0965319
90,1122355783.548173
91,1134377665.7767234
92,1118332227.966325
93,1138903298.3325508
94,1161055476.031407
95,1155373869.4449413
96,1144132846.9563606
97,1137938473.829932
98,1112643978.7033947
99,1127086260.636583
100,1143435312.8435228
101,1160352083.0156953
102,1189698363.9444826
103,1174510930.940935
104,1175277729.3312852
105,1131189910.7641466
106,1136424131.0030153
107,1142016236.001764
108,1121180412.1273897
109,1159117249.0010164
110,1159418586.4092271
111,1163610881.9575365
112,1154304665.4788682
113,1149710541.5431077
114,1133744502.9122636
115,1117343021.4171922
116,1127723291.7975557
117,1127641127.7132204
118,1090036953.6096437
119,1101209407.044893
120,1136003714.7318056
121,1151227276.7429292
122,1144684801.930292
123,1141369441.6457841
124,1141620805.3861024
125,1137869070.3586748
126,1145418903.8944414
127,1155644549.0083635
128,1154111500.2791307
129,1151891075.5749757
130,1140518587.8027284
131,1137304449.9424913
132,1103169416.0952775
133,1107089620.0303895
134,1122481584.4415529
135,1132669291.756563
136,1143302086.0092714
137,1176203937.8593843
138,1174119021.1897142
139,1182280470.3743532
140,1199626597.341562
141,1197323179.974756
142,1211059305.002031
143,1203861332.9881601
144,1190572937.8835187
145,1193751293.7987258
146,1202057812.7074475
147,1218680810.1570168
148,1223402662.3788488
149,1214434592.2086818
150,1225261055.612076
151,1219620420.7554083
152,1243208796.6253455
153,1260364435.5322387
154,1264017895.4396484
155,1261953548.0548818
156,1272820435.4047022
157,1264329304.8954523
158,1266690987.7296178
159,1254379892.1999617
160,1277495352.2032804
161,1283481099.5262072
162,1316526312.5473049
163,1315346290.2277782
164,1306419158.0590808
165,1301890348.24602
166,1320297635.3909767
167,1309083106.8301036
168,1344078282.6752498
169,1358036452.5657203
170,1336339291.1985805
171,1337036303.0661874
172,1348557735.5397553
173,1378547030.5243733
174,1381510181.2165196
175,1394060618.6031697
176,1378354694.1559498
177,1375839015.0458653
178,1394149409.2200825
179,1432455398.1687672
180,1433747669.7877858
181,1440203489.7198842
182,1428002719.572863
183,1460251713.925184
184,1463678644.024097
185,1449690744.4072602
186,1455166875.2407587
187,1443726749.0528808
188,1433228140.541317
189,1406331186.9071398
190,1373830011.5546548
191,1361618865.3504856
192,1358150231.2070913
193,1356841890.9613302
194,1379209513.3958285
195,1398047481.3376565
196,1405387887.6295543
197,1390158228.7020059
198,1416767187.048244
199,1420237173.118944
200,1403111411.2398043
201,1417433785.0990913
202,1417452986.0509756
203,1406697697.5764444
204,1376869722.106544
205,1389264326.0534651
206,1408990804.7991796
207,1413366904.0447574
208,1366226979.2884665
209,1342912214.9831214
210,1333944195.0177453
211,1324248473.7721324
212,1310365093.3154845
213,1340340889.8983874
214,1331891205.3837461
215,1350660791.852959
216,1345402404.5585225
217,1357854488.647823
218,1369278553.7976356
219,1338696995.8781214
220,1331543643.64116
221,1337188645.4600072
222,1321571487.2902708
223,1336480216.2954595
224,1349935705.0368202
225,1353397406.7176988
226,1355448864.3380053
227,1352572879.7325253
228,1353395055.534082
229,1348778713.809487
230,1294196896.507613
231,1302849813.1875663
232,1319820143.9873855
233,1349218350.2553105
234,1372149634.9166749
235,1392703284.378988
236,1380483605.1938407
237,1391138501.1297767
238,1398327688.4187686
239,1436905063.8674223
240,1403485616.324776
241,1409639905.9696848
242,1395675776.6430895
243,1388141682.6242259
244,1378352362.8565552
245,1379523233.1729035
246,1364730644.7411284
247,1372642212.3268151
248,1394045350.743856
249,1412745400.6500669
250,1411711400.6846194
251,1400647004.592568
252,1400711037.3862624
253,1405121877.8730187
254,1395939554.2659345
255,1389788411.2081323
256,1373913711.837376
257,1358698905.3357034
258,1342109302.8056054
259,1361565362.6372552
260,1343194438.8664637
261,1346604469.6099443
262,1349417146.0596075
263,1385015498.9911327
264,1380680254.9804869
265,1385514074.6800506
266,1380719509.645952
267,1351508372.06167
268,1363387917.1478631
269,1354558420.3174436
270,1368352680.7872465
271,1375967768.7980707
272,1349362832.7421567
273,1343950718.6167314
274,1318012196.3959625
275,1326908944.1704872
276,1347181490.852124
277,1313559790.366143
278,1308724550.8615243
279,1310710755.2155855
280,1307702502.0505226
281,1334433434.5042818
282,1334525993.1631029
283,1340514075.6859734
284,1355783885.0334764
285,1346568311.7485006
286,1327806530.123005
287,1349207936.0053282
288,1360048765.6024604
289,1356070636.1228967
290,1333954511.5710669
291,1341207500.5203538
292,1361433929.9684567
293,1365398109.000458
294,1360668774.7418017
295,1383217678.2896397
296,1396116137.8599236
297,1394705965.925707
298,1392895964.627875
299,1387780421.3173604
300,1394444960.2346978
301,1383801636.7639382
302,1378999768.0910172
303,1416746316.0550163
304,1412187898.8149393
305,1421092829.060002
306,1411464229.4874847
307,1428056968.1556509
308,1433111064.4463294
309,1448891757.8536959
310,1451260160.6918557
311,1439420363.1066084
312,1437399622.7927248
313,1438197326.728133
314,1476213606.3484414
315,1476524833.2005641
316,1470658025.4568691
317,1463548657.935708
318,1479929445.497597
319,1495100585.1503234
320,1486631527.5744896
321,1454813296.5578296
322,1456030316.4313314
323,1469949764.2496855
324,1457275795.0940428
325,1433901274.2780128
326,1412908558.3921652
327,1437251371.3866944
328,1466030859.4027596
329,1455514433.1311514
330,1446342355.8534615
331,1476490490.328684
332,1472242332.5543525
333,1454122544.2649019
334,1453312664.4834142
335,1463879632.0210202
336,1457928563.9152255
337,1457964592.6538148
338,1422488894.5134149
339,1381611619.4176078
340,1428419120.7859604
341,1449458916.13238
342,1480888767.1736503
343,1499219986.1181653
344,1515925684.999632
