,0
0,-10124365.464999914
1,3627630.791999817
2,9343565.49000001
3,2718168.600000143
4,1967836.867999792
5,-2339433.7709999084
6,2397548.5069999695
7,-9721284.29099989
8,-35205.47699999809
9,7287780.5
10,4003873.0499999523
11,-9406961.32400012
12,12012786.385000229
13,-569534.9200000763
14,-8960260.686000109
15,-8259494.344000101
16,2425486.6760001183
17,-14548502.123000145
18,12129502.542000055
19,-1323713.151000023
20,2096393.3800001144
21,-3353433.1530001163
22,6433058.177000046
23,5511395.144000053
24,-1919224.6629998684
25,7875233.880999804
26,1671003.2150001526
27,-67094.28200006485
28,-248596.2690000534
29,12082547.126000166
30,-6066037.6130001545
31,-3712710.032000065
32,-12490701.013999939
33,-15310587.302000046
34,-5494904.791999817
35,7372930.023999929
36,-7941896.717999935
37,12931991.103999853
38,-2966805.9859998226
39,-1630116.6870000362
40,4771558.065000057
41,558066.2569999695
42,8090126.648000002
43,8708827.05799985
44,-1906684.648000002
45,-4170241.725999832
46,-15081906.404999971
47,1634978.273000002
48,5722301.821999788
49,1040811.1880002022
50,2205892.419999838
51,17723893.91900015
52,25843016.91899991
53,1020014.3550000191
54,4939772.329999924
55,8940661.18200016
56,-4361306.128000021
57,-2633316.995000124
58,2043315.995000124
59,3097784.109999895
60,369268.8550000191
61,3746654.4440000057
