,0
0,1101981953.6180007
1,1079148643.2950008
2,1087946767.2890007
3,1072168641.5010008
4,1069263800.1170008
5,1071680321.1370008
6,1065939386.8670008
7,1069080111.1260008
8,1067557076.5050008
9,1067799971.7990007
10,1073048887.2830008
11,1065539957.8150008
12,1061037723.3100008
13,1072524156.8340008
14,1071942461.1660007
15,1086553128.6740007
16,1082091370.0480008
17,1079061848.9790008
18,1079480610.7770007
19,1099595521.8510008
20,1104579313.9230008
21,1099430804.5950007
22,1100007778.7350008
23,1098306381.8260007
24,1097934782.7020009
25,1095774207.2520008
26,1105788033.0420008
27,1116165601.7520008
28,1114043410.2720008
29,1113306063.922001
30,1117646307.7820008
31,1115821597.132001
32,1125651587.5420008
33,1126784260.5720007
34,1122759895.6120007
35,1108886089.2720008
36,1109510223.672001
37,1119435354.9790008
38,1122631477.8910007
39,1102924847.3500009
40,1093820653.1300008
41,1096898735.4500008
42,1104193361.570001
43,1115472285.8400009
44,1117250535.241001
45,1126530222.2910008
46,1119592813.5410008
47,1119155480.3740008
48,1133468528.0740008
49,1125330414.4820008
50,1131601343.9860008
51,1120747267.836001
52,1118062074.066001
53,1117391806.8610008
54,1103878214.8310008
55,1107714856.3670008
56,1105976576.6070008
57,1112917905.247001
58,1120858064.6970007
59,1096027325.997001
60,1074267478.3970008
61,1074786482.359001
62,1082335160.109001
