,0
0,1000000000.0
1,1000082869.4690002
2,1000081555.1050001
3,1000537013.054
4,999668696.8160002
5,999170814.3100001
6,998120557.0849998
7,998466710.731
8,1000110746.5739998
9,996428358.8199996
10,998851512.3259997
11,998489349.6979997
12,996399331.5569996
13,994871281.4989996
14,995312612.1159997
15,993057397.0879998
16,998860505.3719999
17,1000509340.1809999
18,999149177.6239997
19,999491404.2709997
20,1000046379.8219997
21,1003148286.2589998
22,1002605490.555
23,1005114135.825
24,1004162953.4280001
25,1003260824.9160001
26,1002955403.9870002
27,1001415232.4340004
28,1006930061.8450003
29,1007485197.4610001
30,1000683471.216
31,1000624070.1430001
32,998831027.3760004
33,994875859.8590003
34,1001258643.7730001
35,998586894.452
36,999915552.9909999
37,997193562.3559998
38,997517440.8599997
39,985492681.0859997
40,986112583.1699996
41,993756437.1519996
42,994212447.7779995
43,995985631.4429998
44,1001433244.0219998
45,1006463848.3129998
46,1014619309.5869999
47,1014619021.3079997
48,1012138798.2809995
49,1011837782.5369993
50,1016929748.9259994
51,1018407839.0509994
52,1016140121.1389993
53,1025275027.6159995
54,1035968890.2599996
55,1042048862.6199996
56,1043800934.1659997
57,1044626773.6039997
58,1045564435.1969997
59,1034391174.9999996
60,1037567188.1769997
61,1048260633.0819997
62,1058864027.2769996
63,1057038482.7289995
64,1063787913.6079996
65,1063907360.2549996
66,1055006463.2049996
67,1080727237.1679995
68,1087417266.1719995
69,1099359517.7469997
70,1103561064.2129996
71,1107575783.9739995
72,1104687733.1399999
73,1097671033.052
74,1099758486.46
75,1102975098.718
76,1102640559.495
77,1112658385.9689999
78,1115568308.7489998
79,1108537311.7589998
80,1092258078.106
81,1105533596.004
82,1124677925.0509999
83,1135101651.119
84,1132504794.8119998
85,1131469754.1469998
86,1150833060.1669998
87,1150918553.537
88,1167113191.465
89,1169004307.1
90,1151730809.952
91,1157726450.086
92,1148702834.453
93,1165330184.71
94,1177170888.27
95,1172065980.332
96,1171730635.066
97,1172091247.838
98,1164673926.076
99,1150549922.583
100,1162098102.743
101,1186921451.407
102,1214665908.533
103,1210966494.313
104,1208600281.85
105,1177514626.3769999
106,1182978732.7689998
107,1183304889.8279998
108,1160076941.0359998
109,1190202017.886
110,1186991084.234
111,1199891562.37
112,1184200756.008
113,1185985846.5019999
114,1163899070.0949998
115,1153132053.024
116,1176798784.9899998
117,1175888628.836
118,1141353420.8219998
119,1142459572.4739997
120,1166041207.6909997
121,1177933278.916
122,1172413943.8849998
123,1182640297.2609997
124,1189453146.9199998
125,1188184397.6829998
126,1186057598.7349997
127,1202313501.4659998
128,1202829933.0279996
129,1191186229.0019999
130,1159440951.5439997
131,1156966148.1059997
132,1110232802.2109997
133,1103331685.1739998
134,1131137076.2819998
135,1138453272.5799997
136,1150654680.8959997
137,1166683318.0099998
138,1180537882.0199997
139,1176030466.8399997
140,1165944521.1949997
141,1175522017.4489996
142,1195847052.2089996
143,1187001689.9589996
144,1161555435.8289998
145,1179070679.5549998
146,1202589829.8789997
147,1229554150.9789999
148,1241921327.1869998
149,1241658549.7369998
150,1255901778.9649997
151,1239288091.9669998
152,1234851156.5789998
153,1241796703.9219997
154,1236206988.1419997
155,1233949432.4119997
156,1232297125.8159997
157,1186348718.2889998
158,1203351646.0099998
159,1199291742.3729997
160,1240430829.2989998
161,1261017018.7049997
162,1285403535.7619998
163,1265371957.1519997
164,1297379510.3879998
165,1282347506.9979997
166,1293260799.5039997
167,1267825146.8359997
168,1290111295.5039997
169,1291106670.2749996
170,1304799910.8229997
171,1300011835.4809997
172,1321667334.7289999
173,1353237501.4079998
174,1355530580.1839998
175,1369303610.0429997
176,1370157749.3189998
177,1366252721.9539998
178,1392764784.2539997
179,1433723451.4239998
180,1436146169.6639998
181,1427685310.7439997
182,1419129136.6089997
183,1468980514.5299997
184,1468151741.7299998
185,1467604918.0519998
186,1482891942.5419998
187,1454943997.1589997
188,1474548151.7189996
189,1456430384.8789997
190,1427509520.9949996
191,1375490809.5809999
192,1375110907.6189997
193,1416341885.0079997
194,1423542229.6059997
195,1450544119.5009997
196,1441058167.7979999
197,1401763884.0909998
198,1423301398.9639997
199,1422971991.7799997
200,1423939272.3829997
201,1436533769.2669997
202,1437180547.6139998
203,1450068978.3389997
204,1403306506.4709997
205,1419804568.3559997
206,1438990169.6769998
207,1450802114.6319997
208,1402528693.7289999
209,1371857644.2899997
210,1349177562.6459997
211,1342621105.2329998
212,1320288852.7149997
213,1351099531.1669998
214,1326353267.8069997
215,1352470743.8309999
216,1366944282.1829998
217,1386583658.1409998
218,1396019619.8879998
219,1360312144.2549996
220,1377848684.6719997
221,1390141733.0099998
222,1380731589.9889998
223,1389897631.1729999
224,1424454645.6079998
225,1433767478.1189997
226,1430849162.8929996
227,1421684243.5169997
228,1427411549.8109996
229,1414082610.5539997
230,1349745773.8099997
231,1382708084.4349997
232,1394400362.0379999
233,1410933745.3909998
234,1437498128.0999997
235,1443457997.5089998
236,1422684052.6569998
237,1431253657.7659998
238,1432805252.5279996
239,1430057712.0419998
