date,trade,sell,buy
20180801,24,11,13
20180802,22,9,13
20180803,21,10,11
20180806,20,9,11
20180807,23,16,7
20180808,22,9,13
20180809,22,11,11
20180810,22,10,12
20180813,20,13,7
20180814,23,8,15
20180816,20,6,14
20180817,21,8,13
20180820,23,12,11
20180821,22,9,13
20180822,20,9,11
20180823,18,8,10
20180824,21,10,11
20180827,22,9,13
20180828,17,5,12
20180829,20,9,11
20180830,19,9,10
20180831,18,6,12
20180903,16,7,9
20180904,17,3,14
20180905,16,3,13
20180906,18,8,10
20180907,19,10,9
20180910,19,10,9
20180911,20,4,16
20180912,17,7,10
20180913,16,7,9
20180914,22,12,10
20180917,21,7,14
20180918,17,9,8
20180919,20,6,14
20180920,20,10,10
20180921,15,7,8
20180927,16,2,14
20180928,17,7,10
20181001,19,8,11
20181002,21,4,17
20181004,19,8,11
20181005,22,7,15
20181008,17,6,11
20181010,15,5,10
20181011,21,7,14
20181012,19,8,11
20181015,20,10,10
20181016,17,8,9
20181017,25,9,16
20181018,22,6,16
20181019,21,11,10
20181022,23,8,15
20181023,22,14,8
20181024,17,9,8
20181025,22,8,14
20181026,19,8,11
20181029,16,3,13
20181030,15,8,7
20181031,19,6,13
20181101,22,4,18
20181102,19,12,7
