,0
0,1758362580.8248858
1,1759225140.5586452
2,1757422305.1175754
3,1761554817.3934932
4,1752764318.6785617
5,1751623491.3754137
6,1748160448.5722399
7,1737441854.7863216
8,1719187867.488459
9,1708577620.503356
10,1672590678.1366262
11,1680113797.7033687
12,1655643583.2555037
13,1679855295.9994097
14,1658454390.462768
15,1685963144.2833328
16,1709516088.7932577
17,1686351196.2318323
18,1696605762.0245922
19,1694252352.009762
20,1726662915.6544054
21,1743357530.44377
22,1771998359.2725425
23,1740021978.2238646
24,1732908283.4438915
25,1719253063.615086
26,1730307800.2554195
27,1682860671.8895714
28,1725427233.1022797
29,1713148400.762899
30,1727161835.3081982
31,1714054275.2493813
32,1701427520.9128842
33,1719424231.1195943
34,1725601514.2330234
35,1707533541.511345
36,1719778955.5771062
37,1720772235.2376668
38,1713812376.4508848
39,1658135215.1236236
40,1671914952.7232215
41,1702236063.3543262
42,1683104776.2296536
43,1705719807.7962115
44,1672854438.7448192
45,1675492525.9336185
46,1671027997.615356
47,1666549202.1013396
48,1672308697.9927263
49,1664390699.6072054
50,1671478357.2322288
51,1680861391.7472117
52,1669251043.0977495
53,1656148978.5030682
54,1648840614.2814622
55,1642836404.2746174
56,1646219178.9571445
57,1664638072.4515235
58,1643951613.2653742
59,1640919468.0866368
60,1619545890.1507719
61,1623521201.0096514
62,1629490545.7299917
