,0
0,-16379790.544044852
1,-11423107.443891406
2,13628756.52969122
3,-3528987.7845413685
4,7453620.006076336
5,5253068.617451191
6,-2167452.6413948536
7,-10812943.578096986
8,1851429.2719175816
9,-10226769.290012479
10,2645318.297159791
11,9633063.370207906
12,-3005135.189127445
13,18302402.481148243
14,2430421.0062873363
15,-3543249.148795247
16,4529784.020116091
17,-4499508.233337045
18,5844797.971273422
19,1457455.2588444948
20,2611494.700975418
21,1767953.9960467815
22,123220.28909623623
23,-4414608.797145367
24,-1565584.8451155424
25,574549.1293139458
26,6000996.651468158
27,3054845.1918570995
28,5323240.30439055
29,-16952913.404521227
30,2241180.635628104
31,-11948395.015244484
32,4569234.658635259
33,-1021132.3008066416
34,-19352582.876249313
35,-5825102.229225159
36,2944419.4209136963
37,13298735.332119346
38,-5416316.3897084
39,4664342.437454939
40,4225236.323905587
41,-8240012.646865845
42,-2640059.7233641148
43,3847730.3357492685
44,278886.4981261492
45,4248209.557919979
46,5724527.037613511
47,-5626045.399100065
48,8827077.946049452
49,-6784604.60160923
50,-1493735.6061447859
51,-2062481.7399994135
52,-1684145.5462185144
53,-4645062.205404758
54,13107621.68723023
55,8210950.451049328
56,11745269.876025796
57,-10477485.511527061
58,841457.3132499456
59,4688092.826460838
60,-7977943.236022592
61,8262684.444278717
