,0
0,1000000000.0
1,999255076.9895868
2,1000734085.5687727
3,1002675099.597031
4,997240554.307546
5,990873015.9672455
6,982629788.6132915
7,983980459.7006681
8,991623230.9336038
9,970842781.7768823
10,977596901.4377896
11,982427015.6096342
12,971334646.6956311
13,962177657.7602589
14,970485316.8359871
15,961960559.0622907
16,999535346.3512471
17,1008031854.1265504
18,996207010.6688597
19,994317540.563382
20,998717243.0999488
21,1018693997.8537301
22,1016346182.663625
23,1041078292.7780393
24,1029686303.7769051
25,1023553340.3451989
26,1007249451.6821346
27,996057239.4234518
28,1018601569.2107067
29,1002675399.2380863
30,971157788.905733
31,965309434.8171333
32,961537366.9900143
33,943562570.7965449
34,965306099.0063624
35,952074088.2537653
36,954497851.4856554
37,950172059.6730889
38,942632934.0692503
39,908352684.4086914
40,913825474.7740831
41,927710233.614564
42,938589173.2194414
43,947887594.0145422
44,958602545.5916983
45,968268166.4580106
46,985739660.9236301
47,993066995.5057551
48,989686014.4222972
49,996105210.3445601
50,997480858.7839066
51,986722135.2134182
52,985250599.3013581
53,1002211819.2103856
54,1028751693.0084366
55,1035105745.168464
56,1050081648.951645
57,1045468557.3371351
58,1043343401.1210089
59,1015337107.8089757
60,1023629484.7522688
61,1044434216.2498242
62,1056434728.0606303
63,1055654940.073598
64,1068547009.7961043
65,1062914606.0620686
66,1034702238.4734895
67,1060683377.7984979
68,1078021570.717942
69,1083222945.3458214
70,1106070910.8042405
71,1114560413.3718972
72,1115040216.0554125
73,1102256291.9970386
74,1106669119.798151
75,1110779432.437193
76,1118311969.0359325
77,1142392894.3365211
78,1141589270.8572168
79,1126593692.2694695
80,1112268275.3516634
81,1130413324.3855257
82,1170154959.8967798
83,1196977904.2170336
84,1188287725.2851782
85,1177351520.551594
86,1196652680.3134842
87,1203154404.5912807
88,1197150339.0338025
89,1207619996.7021348
90,1176656058.461661
91,1187735284.03775
92,1176211761.3622327
93,1206625391.2750592
94,1203592362.5512629
95,1194274885.9611351
96,1189595569.2173102
97,1180901887.0324674
98,1165837666.1566513
99,1157646517.522938
100,1180002917.137841
101,1208115698.527835
102,1263743808.5206652
103,1270100149.6080809
104,1278903121.169881
105,1241548723.333194
106,1239342697.1375225
107,1264156426.2287006
108,1241774639.8597806
