date,trade,sell,buy
20190211,26,14,12
20190212,25,10,15
20190213,27,13,14
20190214,27,15,12
20190215,29,11,18
20190218,26,10,16
20190219,27,12,15
20190220,28,14,14
20190221,28,14,14
20190222,26,15,11
20190225,28,12,16
20190226,22,7,15
20190227,28,15,13
20190228,27,16,11
20190304,27,12,15
20190305,26,13,13
20190306,28,13,15
20190307,27,8,19
20190308,26,11,15
20190311,25,11,14
20190312,25,7,18
20190313,23,11,12
20190314,25,9,16
20190315,22,10,12
20190318,27,14,13
20190319,23,10,13
20190320,22,9,13
20190321,25,10,15
20190322,26,12,14
20190325,25,10,15
20190326,22,9,13
20190327,19,9,10
20190328,22,5,17
20190329,22,5,17
20190401,20,7,13
20190402,22,8,14
20190403,21,7,14
20190404,23,9,14
20190405,24,9,15
20190408,21,9,12
20190409,23,10,13
20190410,22,8,14
20190411,20,6,14
20190412,20,6,14
20190415,22,9,13
20190416,22,7,15
20190417,24,9,15
20190418,21,7,14
20190419,23,6,17
20190422,24,6,18
20190423,22,7,15
20190424,23,8,15
20190425,23,8,15
20190426,23,6,17
20190429,23,7,16
20190430,26,8,18
20190502,22,8,14
20190503,21,6,15
20190507,22,7,15
20190508,22,9,13
20190509,23,8,15
20190510,22,8,14
