,0
0,1000000000.0
1,1000007177.2040001
2,1000245849.403
3,1000412530.885
4,1000160667.196
5,1000134494.7449999
6,999706408.2910001
7,999557437.2450001
8,1000193516.8540001
9,998526724.0780001
10,999276698.1480001
11,999228597.6350002
12,998453279.3620001
13,998140301.5150002
14,998322003.2500002
15,997998662.7330004
16,1000273447.2170004
17,1001263280.1010002
18,1000427317.4210004
19,999854895.1380002
20,999706479.049
21,1001393035.5250001
22,1002092435.3710004
23,1002580599.0370004
24,1001675149.7820003
25,1002326793.2990003
26,1001363379.1960005
27,1000462885.6060005
28,1001455167.3010006
29,1002013990.0750008
30,999368624.2510008
31,999013637.0550008
32,995743733.8120008
33,992117035.7410007
34,994056744.1800008
35,990709340.5960007
36,991045180.0710007
37,987899679.2560006
38,987725229.5030006
39,982554975.6320007
40,983397817.2470007
41,987375881.6790006
42,986098118.5070004
43,986522821.5440003
44,989515817.6720005
45,991361654.9380007
46,995189222.7940005
47,996636172.1720006
48,997001225.3800005
49,993489593.9010004
50,997838628.7610005
51,998466872.1440003
52,1001576204.1110001
53,1005685151.0729998
54,1009537813.9939998
55,1008575478.0839996
56,1010057916.3029996
57,1011237311.776
58,1009722288.4439999
59,1007897045.4779999
60,1006810285.7259998
61,1011987200.1829997
62,1016844924.7279998
63,1017126139.4619999
64,1016072303.086
65,1019172554.9029998
66,1014688087.8049998
67,1027626622.904
68,1030527744.0420002
69,1032598624.057
70,1032848624.7360002
71,1033429128.6990002
72,1030628158.3270003
73,1022793089.6530001
74,1026530244.1230003
75,1029470908.1330003
76,1029159070.0180002
77,1033920504.8200002
78,1034687783.5690001
79,1029257395.9820002
80,1024843638.1050004
81,1029250999.7460004
82,1032636346.2380003
83,1036769206.6870003
84,1043595691.1140002
85,1049888233.2860004
86,1056131353.5030005
87,1053536892.8050005
88,1058830504.0220004
89,1063356363.3440003
90,1052090936.9660004
91,1051855533.8840004
92,1045740707.1870003
93,1050706292.5440001
94,1056774577.7660002
95,1056437663.056
96,1049585679.5819999
97,1046054417.338
98,1038235022.4450002
99,1035199582.8590002
100,1040350351.7280002
101,1048865226.3490001
102,1063626805.6550001
103,1064283999.1380002
104,1068392943.671
105,1047296472.768
106,1051588844.7060001
107,1051658102.9220002
108,1040589822.5970002
109,1055143622.8890002
110,1054124102.0300003
111,1051061212.896
112,1045978280.49
113,1043966878.504
114,1035405172.0019997
115,1031348621.1429996
116,1037528801.0949993
117,1034112896.9029993
118,1015615169.1989993
119,1018461699.0499992
120,1032376541.9399993
121,1041256989.9379995
122,1038984635.0499995
123,1041383179.7489994
124,1041737612.5039996
125,1034929223.8199997
126,1032966144.6509997
127,1040649467.5979996
128,1037428459.8209995
129,1033327877.4189997
130,1017817401.9179996
131,1019949176.9459995
132,999863746.5339996
133,996753279.0429994
134,1006631851.4369994
135,1010429973.2869995
136,1015680175.3549994
137,1025549480.5589993
138,1027841363.6689992
139,1029215567.5849991
140,1033344488.2819989
141,1031939700.9059987
142,1039384797.0439985
143,1034323149.0019984
144,1026736321.4089985
145,1034341207.4089985
146,1036119536.1669985
147,1047801742.8659985
148,1048646619.9299986
149,1044013338.3579987
150,1050118278.4959986
151,1041889801.1279986
152,1055081603.5669986
153,1058688609.7369986
154,1058825544.6859987
155,1055931972.8979986
156,1058695066.9959984
157,1052396439.8479985
158,1046512170.9069985
159,1030327165.0419984
160,1046791298.0999985
161,1048597207.9729984
162,1058212599.6159985
163,1049013495.7369986
164,1058758275.3909986
165,1055769666.0989985
166,1054949212.2429986
167,1042317567.8919985
168,1051488365.8839985
169,1056068130.0739985
170,1059520726.5159984
171,1059915483.7139986
172,1060650004.3849984
173,1080027112.7379985
174,1086304301.5049984
175,1092574632.3939984
176,1087796760.0849984
177,1091365195.3369985
178,1086382884.2319984
179,1106171395.6109984
180,1117432881.6839986
181,1119323488.8679986
182,1111085958.7299986
183,1124295992.3699985
184,1122182421.0039988
185,1120692700.4609985
186,1125222677.9869986
187,1121881439.9199986
188,1123712365.2069988
189,1118455267.0579987
190,1115408727.4899988
191,1096906555.4169986
192,1096760035.0199986
193,1114590868.4129987
194,1115059820.3859987
195,1122722040.7599988
196,1127602521.1409986
197,1107696972.0389986
198,1120101491.6769986
199,1120466620.9259987
200,1117066210.3139985
201,1124643878.1069984
202,1128663046.1189985
203,1135689014.6629984
204,1115663706.0009985
205,1118635466.2479985
206,1134509717.1849985
207,1134642051.2169986
208,1099176823.1809986
209,1065907047.1119986
210,1054272517.6819985
211,1050893420.0369984
212,1041420083.5559983
213,1052710847.8089983
214,1048891513.1159983
215,1061277296.8499984
216,1064554720.7009983
217,1076269246.3249981
218,1086516417.0299983
219,1070759448.3369982
220,1082917961.6469984
221,1081278353.9479983
222,1076783379.6759982
223,1084438420.0739985
224,1092359048.6019983
225,1096715425.4419985
