,0
0,3241005.4030001163
1,6493148.922999859
2,-1086406.890999794
3,-1700229.9060001373
4,-12356921.923999786
5,-7697591.96600008
6,10007388.187000036
7,-2462932.5130000114
8,-1837425.5610001087
9,605420.2520000935
10,2988878.885999918
11,3821108.4480001926
12,-2217769.844000101
13,195541.2089998722
14,49958.50500011444
15,-4965043.521000147
16,-907331.4390001297
17,0.0
18,-275805.4200000763
19,-345460.3070001602
20,-33953.92700004578
21,0.0
22,305296.86599993706
23,235524.11400008202
24,-194326.31200003624
25,557968.1390004158
26,27320.25600004196
27,-480003.5940001011
28,488123.3900001049
29,-1914089.142999649
30,-17777.209000110626
31,-106130.09600019455
32,-282827.0230000019
33,159585.23900032043
34,-28283.016999721527
35,0.0
36,0.0
37,0.0
38,-96524.06799960136
39,-316805.3860001564
40,671472.378000021
41,-973756.1500000954
42,-622341.3320000172
43,-475897.7989997864
44,-301518.39900016785
45,714555.9699997902
46,637679.1970000267
47,-123158.95099973679
48,-166746.4620001316
49,118861.47400021553
50,42787.84299993515
51,-166837.2349998951
52,-51843.87299990654
53,-184752.25999999046
54,-522307.2269999981
55,118427.03600025177
56,342204.15799999237
57,904339.879999876
58,-678358.5639998913
59,720432.7400000095
60,-236209.61299991608
61,1215424.4399998188
