,0
0,1286430520.9530003
1,1267866635.5280004
2,1282234506.7150002
3,1298862480.1370003
4,1297735051.3550003
5,1302183301.9250002
6,1321597284.7650003
7,1326645717.7130003
8,1328231409.0170002
9,1322945665.5590003
10,1317728551.0530002
11,1319243461.9880002
12,1330707577.4420002
13,1321936640.1550002
14,1306848797.8020003
15,1302658160.5870001
16,1302929889.4610002
17,1313968260.9440002
18,1312819987.1320002
19,1313445126.9470003
20,1316397761.5200002
21,1327340417.3690002
22,1336098881.4760003
23,1339039678.7950003
24,1331243512.9850004
25,1332677071.9750004
26,1342933535.8840003
27,1338949496.7250004
28,1332238548.7380002
29,1348633650.2440002
30,1340922106.4060004
31,1322788588.4540002
32,1314674600.8080003
33,1313931221.5810003
34,1316865368.6530004
35,1311257386.9930003
36,1326910649.1550002
37,1320262674.8340003
38,1338897171.3190002
39,1333616358.8980002
40,1334901000.4320004
41,1332683489.9220002
42,1312951517.3410003
43,1315809109.4880004
44,1310545005.1990004
45,1325796593.4630003
46,1332753528.9410002
47,1343579618.2530003
48,1349034520.2280004
49,1334352722.8530004
50,1352519824.9680002
51,1365539837.2350004
52,1364174319.5610006
53,1364204427.7660005
54,1364086503.5170004
55,1364342763.1330006
56,1364282015.6730006
57,1364282015.6730006
58,1364224082.3580005
59,1363975697.8990002
60,1363564270.3550005
61,1363038005.9570005
62,1363412519.1570005
