,0
0,-6188976.230000019
1,12068499.970000029
2,-5942293.322000027
3,-23930958.34500003
4,3171998.164999962
5,761462.8259999752
6,5017056.660000086
7,4412799.048000097
8,-12801401.483999968
9,10729085.53699994
10,-9342543.782999992
11,9011798.095000029
12,8141585.6180000305
13,-2873430.291000128
14,22731136.180000067
15,2419320.777999878
16,-10940387.830999851
17,5692758.607999802
18,23452669.5710001
19,285695.2730000019
20,8667833.791000128
21,2133607.6840000153
22,-13859173.684000015
23,3578889.5590000153
24,2232231.484999895
25,16451533.46600008
26,-613016.2829999924
27,-19516942.930999994
28,-6342144.068000078
29,10938533.405999899
30,-6621214.787999868
31,7423026.88499999
32,-2441088.365999937
33,-1350943.123000145
34,-20417137.04799986
35,-6543078.979000092
36,11023636.022000074
37,7036261.149999857
38,-19717544.674999952
39,-13199446.237999916
40,421602.43300008774
41,8953347.944999933
42,3737589.4099998474
43,-1056606.359999895
44,14038799.760999918
45,-10423578.379999876
46,5156027.628000021
47,13014202.579999924
48,-6651943.629999876
49,6970072.024999857
50,-6244862.772000074
51,-10450340.037999868
52,-27956758.704999924
53,-7399743.700000048
54,8663793.180999994
55,-4571328.446000099
56,-7083397.470000029
57,-17051845.549999952
58,-20429378.210999966
59,-17937913.370000124
60,-7665321.299999952
61,8873264.529999971
