,0
0,1260337031.096998
1,1246273283.071998
2,1269668269.251998
3,1270436517.418998
4,1270910455.686998
5,1264296103.196998
6,1255829897.756998
7,1256561984.4769979
8,1264289909.033998
9,1251302630.037998
10,1249830926.3319979
11,1249671901.005998
12,1228019835.825998
13,1228162592.715998
14,1228190916.321998
15,1225489960.1249979
16,1220896952.9769979
17,1249422783.3059978
18,1252580272.135998
19,1258025561.225998
20,1261608206.385998
21,1275136684.7759979
22,1279138888.602998
23,1282711624.432998
24,1287725224.232998
25,1290435900.9309978
26,1287595751.9209979
27,1294219321.718998
28,1291411031.3089979
29,1282325058.810998
30,1281529700.935998
31,1279507741.850998
32,1280799484.059998
33,1270040743.807998
34,1283256152.0789979
35,1285162460.478998
36,1311681832.208998
37,1297019332.518998
38,1297642176.654998
39,1308919776.554998
40,1324745419.794998
41,1333885582.064998
42,1338997126.429998
43,1348323645.859998
44,1345106979.219998
45,1345195472.544998
46,1335079988.344998
47,1358059237.949998
48,1347276031.9899979
49,1314081097.559998
50,1324226232.201998
51,1313220821.1739979
52,1292692500.406998
53,1290209878.415998
54,1316081471.388998
55,1321642056.351998
56,1352737955.246998
57,1347733849.337998
58,1334814784.667998
59,1348993467.827998
60,1359299874.003998
61,1338887865.166998
62,1359553327.4239979
