date,trade,sell,buy
20200218,22,9,13
20200219,20,9,11
20200220,20,7,13
20200221,24,7,17
20200224,17,10,7
20200225,21,14,7
20200226,24,11,13
20200227,25,12,13
20200228,26,14,12
20200302,18,9,9
20200303,22,12,10
20200304,20,9,11
20200305,21,12,9
20200306,18,10,8
20200309,23,10,13
20200310,22,8,14
20200311,23,12,11
20200312,23,12,11
20200313,25,9,16
20200316,23,9,14
20200317,20,7,13
20200318,21,8,13
20200319,20,9,11
20200320,22,13,9
20200323,17,6,11
20200324,21,9,12
20200325,19,11,8
20200326,20,9,11
20200327,18,9,9
20200330,19,9,10
20200331,18,11,7
20200401,21,11,10
20200402,20,10,10
20200403,22,5,17
20200406,20,7,13
20200407,21,12,9
20200408,24,11,13
20200409,23,8,15
20200410,23,12,11
20200413,21,7,14
20200414,17,9,8
20200416,16,8,8
20200417,17,5,12
20200420,20,9,11
20200421,20,12,8
20200422,19,6,13
20200423,18,9,9
20200424,17,6,11
20200427,23,9,14
20200428,20,11,9
20200429,21,11,10
20200504,18,7,11
20200506,20,9,11
20200507,21,10,11
20200508,20,10,10
20200511,18,9,9
20200512,20,9,11
20200513,24,12,12
20200514,22,10,12
20200515,26,13,13
20200518,21,6,15
20200519,18,6,12
