,0
0,1000000000.0
1,999919084.3349999
2,1000022733.7859998
3,1000256337.1709998
4,999965755.9419997
5,999559440.7559996
6,998628511.9059995
7,998664297.4979994
8,999005606.0479995
9,996474738.4659995
10,998241705.7489994
11,998281512.6089994
12,997002129.4479994
13,996202628.3439994
14,996294523.6449994
15,995432405.7819992
16,999182689.5029992
17,999918910.0479991
18,998815755.7309992
19,997390767.3389992
20,997937811.1419989
21,1000113708.3239987
22,1000349814.1329986
23,1001989801.3239986
24,1001143237.8099986
25,1001380525.0649986
26,999857376.0989984
27,997500265.5469985
28,998747826.0299984
29,997900506.3039985
30,994016723.9909983
31,992346105.3999984
32,990134874.0769984
33,984709787.2199982
34,988505615.2329984
35,983160937.2699984
36,984579094.0329983
37,981393646.5509981
38,980476491.902998
39,974305558.310998
40,977047041.397998
41,981350989.138998
42,979244618.1689981
43,979361345.7269981
44,982331270.1749979
45,983879994.5039978
46,989511720.8829978
47,992807951.2649976
48,993645719.1109977
49,990631513.6579977
50,996222249.8429978
51,998459079.4609978
52,997165170.4919975
53,998907844.5719975
54,1003544608.2379975
55,1004179611.3279976
56,1006355840.9139977
57,1007963999.5639976
58,1005407093.5309978
59,1001511378.6289977
60,1000421830.6049976
61,1007852413.1299976
62,1013672619.4419976
63,1014124094.1099979
64,1014576174.6619977
65,1016122512.0099978
66,1010195971.217998
67,1020509051.8679979
68,1020635308.6859978
69,1016686652.8219979
70,1015898657.7029979
71,1014352056.4739981
72,1011975509.370998
73,1008720714.253998
74,1012375216.9689981
75,1015728043.966998
76,1019311043.310998
77,1024595446.5409979
78,1020372849.2839979
79,1015021387.499998
80,1009132560.6839978
81,1020175600.3399976
82,1022309914.7799977
83,1027354849.0039977
84,1030406995.6019977
85,1030608412.4069977
86,1034031476.8659977
87,1034278477.8649977
88,1033052648.8849976
89,1038566382.5609977
90,1030308140.2469977
91,1034723696.1249977
92,1031964147.3629979
93,1040056235.7699978
94,1041228328.8939979
95,1038083934.149998
96,1033672955.980998
97,1030383321.664998
98,1020296502.7619982
99,1025651084.8029982
100,1034851882.2249984
101,1040861858.2959983
102,1047450303.5699983
103,1042743307.0889983
104,1044988142.8569983
105,1028969194.2779982
106,1033534110.0939982
107,1030548679.1429982
108,1023793473.8689982
109,1042680553.6749982
110,1041035706.7139983
111,1037669624.3479985
112,1033043846.1029985
113,1029010235.2299985
114,1025062025.8199986
115,1020588255.8959985
116,1025556801.6899983
117,1027445884.0239981
118,1012221457.127998
119,1018166685.071998
120,1029906296.961998
121,1040075839.463998
122,1039092756.0129979
123,1035804731.0929979
124,1043470105.858998
125,1042070676.570998
126,1043113603.2899978
127,1048223838.1799977
128,1050224383.5459976
129,1053868212.9049977
130,1048010928.2789977
131,1044712533.7499977
132,1023271852.5639977
133,1028755905.8019979
134,1039929065.9239976
135,1039457027.7379977
136,1044613247.8439977
137,1065146654.1789978
138,1065335021.7639977
139,1067318366.8759978
140,1073472684.0459977
141,1073472549.0919976
142,1083627945.8449976
143,1079867053.2599976
144,1077554413.8349977
145,1076709731.5759976
146,1084464432.8419976
147,1099138733.1739976
148,1092441721.1489978
149,1087403478.0719976
150,1088011029.5649977
151,1090635416.8249977
152,1116845713.4369977
153,1128228803.0649977
154,1134335343.1919975
155,1128226370.5639975
156,1139253898.1669977
