,0
0,1233720223.0259988
1,1233153018.695999
2,1226678788.455999
3,1224395493.751999
4,1192718250.323999
5,1186626585.0559988
6,1175110897.938999
7,1186511942.2689989
8,1240202691.1239989
9,1230005781.853999
10,1243743191.632999
11,1232480923.4369988
12,1235126292.0519989
13,1240440738.563999
14,1221958533.7899988
15,1237051976.481999
16,1246303698.401999
17,1264576860.501999
18,1267523270.2429988
19,1264753359.9509988
20,1281108942.9209988
21,1271537214.3449988
22,1270648841.336999
23,1243706410.635999
24,1240526576.389999
25,1250809485.0689988
26,1245688732.978999
27,1260421611.9989989
28,1275595711.6539989
29,1258163170.5489988
30,1243583554.934999
31,1240264113.401999
32,1253912941.4899988
33,1231333159.079999
34,1227421712.869999
35,1222097040.019999
36,1210605318.6279988
37,1224875462.1709988
38,1214235411.080999
39,1190529109.260999
40,1184474843.1049988
41,1197482336.420999
42,1209964162.003999
43,1205163500.6999989
44,1223657690.180999
45,1220734542.958999
46,1233207578.6769989
47,1222128154.256999
48,1237622904.092999
49,1230285260.105999
50,1233144616.744999
51,1250630669.744999
52,1253368753.7029989
53,1247019018.490999
54,1241111662.808999
55,1232038544.782999
56,1253008906.157999
57,1247822748.181999
58,1259811074.555999
59,1275895062.504999
60,1271108794.122999
61,1274280016.082999
62,1269543575.444999
