,0
0,1000000000.0
1,1000037721.585
2,1000161310.366
3,1000452435.3260001
4,1000269875.036
5,1000055908.7409999
6,999915191.915
7,999919885.4259998
8,1000353283.7489998
9,998895054.2939997
10,999896662.9449997
11,1000584827.7109998
12,999914580.5979998
13,999398690.513
14,999059054.959
15,998151905.6520001
16,999951843.4670001
17,1000415153.834
18,999962017.3400002
19,999555108.5860001
20,999997949.031
21,1001302932.1440002
22,1000897091.7230002
23,1002013468.5930002
24,1001396681.7160002
25,1001280439.7220002
26,1001054610.6140002
27,1001312951.0360001
28,1003318407.1980001
29,1003274158.6960002
30,1001796634.2280002
31,1002094656.9960003
32,1001108662.1770003
33,999341250.3760003
34,1001060683.7960002
35,999259919.7640002
36,999952322.3080001
37,998845903.1809999
38,998708720.4
39,995992735.059
40,997100535.8379998
41,999170870.152
42,999458060.56
43,1001525069.838
44,1003604160.2560002
45,1003475772.3219999
46,1006312343.2809999
47,1006966928.3519998
48,1007608578.5779998
49,1006989773.6699997
50,1009295338.7159998
51,1009249245.2989998
52,1006531761.0409997
53,1008075375.5519997
54,1011534727.8369999
55,1014502572.6639999
56,1015758560.5399997
57,1017387192.0289998
58,1016674398.461
59,1014186403.5979999
60,1015445587.534
61,1019576292.0649998
62,1023133379.3749998
63,1022661693.9289997
64,1022912074.9919996
65,1023290380.6229998
66,1022210841.3569998
67,1029240821.7259998
68,1030228156.2099999
69,1030972321.719
70,1032444007.3169999
71,1034158625.7919998
72,1032817676.8229998
73,1032616702.8739997
74,1032297319.0849997
75,1034615110.5499996
76,1038678903.6019996
77,1043472235.5839994
78,1041197501.5609994
79,1037283684.6879995
80,1030910970.2989995
81,1040148082.1399995
82,1044291099.1329994
83,1044662288.7049993
84,1042635043.3929993
85,1039239998.0849993
86,1041438335.8429993
87,1042160140.7389994
88,1046782721.4409995
89,1049224695.5569993
90,1046564337.2349995
91,1050192826.2889998
92,1050237098.9939998
93,1056747184.8939997
94,1063442104.7229997
95,1059669346.0319996
96,1060096638.8119994
97,1060341810.4079995
98,1058893672.9289993
99,1062423200.7259995
100,1069045746.2339995
101,1077318915.0849996
102,1080869432.6119995
103,1074305587.7429996
104,1073005264.4669994
105,1061480511.3569995
106,1063990036.5639995
107,1064995550.7639996
108,1055376696.4589994
109,1065837995.9719994
110,1064643202.4369994
111,1070938848.7159994
112,1066554591.1999996
113,1065653972.7129997
114,1062844736.7669997
115,1058376248.9169998
116,1064816733.3479997
117,1065739073.0579998
118,1055264594.7359998
119,1062072974.0079997
120,1073863702.3339996
121,1078785947.9079995
122,1078391577.2899995
123,1076768909.4859993
124,1075782568.1039994
125,1078673451.7479994
126,1082874350.3799994
127,1089616519.0949993
128,1095245314.2249994
129,1095075781.8419995
130,1084378500.6959996
131,1078313854.4499993
132,1058384435.0919997
133,1064959323.9229999
134,1074487213.052
135,1070638369.0259998
136,1076324034.416
137,1088070952.685
138,1085403444.3969998
139,1081367189.2349997
140,1078087596.5159998
141,1080503474.9779997
142,1090741325.6919994
143,1089153920.4649997
144,1082044192.4249997
145,1085304537.5589995
146,1090765647.4189997
147,1103032787.5429997
148,1103193389.1739998
149,1094797177.9
150,1099951752.9850001
151,1097908824.7159998
152,1101813217.836
153,1112965250.452
154,1122278420.679
155,1123108035.761
156,1124806671.409
157,1119440624.079
158,1129168688.8999999
159,1130907780.7549996
160,1146806920.4849997
161,1156026853.6529994
162,1175851614.0749996
163,1174267466.4339995
164,1167822663.2379994
165,1157495895.3869996
166,1178469254.6419995
167,1176991222.6569996
168,1206658240.6169996
169,1211580382.6529999
170,1193080604.881
171,1190515971.348
172,1211173102.287
173,1225145205.432
174,1206316328.534
175,1206620903.75
176,1199294721.461
177,1190457255.757
178,1213231124.1069999
179,1226885970.953
180,1218887387.6049998
181,1215011302.212
182,1209981737.9889998
183,1240082736.7339997
184,1249585619.472
185,1240551401.6699998
186,1252497048.3429997
187,1240893499.9399996
188,1235638919.8949997
189,1212154989.0269997
190,1180448177.2979996
191,1164963376.8139997
192,1170576262.4919996
193,1154064806.5879998
194,1176660617.768
195,1186871911.281
196,1184588338.0089998
197,1175847824.284
198,1186835133.56
199,1181292972.4299998
200,1159367796.1109998
201,1167518562.475
202,1168045341.758
203,1166845714.3759997
204,1147742802.8559997
205,1162517489.7729998
206,1172734463.0739996
207,1185387796.4179997
208,1155283620.3149998
209,1159786404.2329998
210,1149724876.6969998
211,1134930048.8969998
212,1123371609.3429997
213,1149768351.7059999
214,1131591231.0989997
215,1143877122.146
216,1153731679.921
217,1150467156.651
218,1160321131.0010002
219,1142844247.288
220,1131285538.7910004
221,1140625932.1260004
222,1127212439.0260005
223,1132124990.1020005
224,1152503465.0600004
225,1154806558.9150004
226,1147865165.2680006
227,1140153650.1500006
228,1145867947.0480006
229,1146154630.2170005
