,0
0,-7439608.628000021
1,18140252.160000086
2,-15287741.34800005
3,-8833153.620000124
4,-7147352.824999809
5,-6475181.572000027
6,4162344.556999922
7,-4232263.842000008
8,-2855124.2690000534
9,1084186.3570001125
10,-10728087.840000153
11,-5751996.865999937
12,19016373.71200013
13,5113567.684000015
14,21775312.909999847
15,-1717069.6700000763
16,-10988642.129999876
17,2532818.5
18,24217070.114000082
19,7356404.035999775
20,-6156400.967999935
21,13942585.166000128
22,-8336221.130000114
23,2159200.830000162
24,-5201016.289999962
25,9145633.832000017
26,8380037.74000001
27,-7138124.039999962
28,1065268.1699998379
29,7012824.006000042
30,-3983425.830000162
31,8977077.941999912
32,4974620.1100001335
33,2980828.269999981
34,-13171880.690000057
35,6946128.351999998
36,12347931.732000113
37,-2998251.690000057
38,-25719552.677999973
39,-18861100.71000004
40,3719657.731999874
41,8193325.295000076
42,10304796.71299982
43,6910684.133000135
44,12923132.046000004
45,-3595705.379999876
46,6151871.899999857
47,16534600.14199996
48,-10413252.34800005
49,9256171.305999994
50,-10733526.629999876
51,-19675644.860000134
52,2018631.7800002098
53,-11589882.23000002
54,8309313.679999828
55,4936121.764000177
56,-5815507.060000181
57,-4544668.599999905
58,-42355788.630000114
59,-19991008.73999977
60,5134705.1509997845
61,9782480.950000048
