,0
0,1055075763.6980006
1,1063003605.3080006
2,1099107103.5740006
3,1095718016.5110006
4,1110872552.0610006
5,1125064336.2590005
6,1147459987.6130006
7,1140061747.9900005
8,1131132307.7980006
9,1123812766.8680005
10,1122544267.2820005
11,1118246389.0570006
12,1124518827.7130005
13,1165542907.0630004
14,1209457469.4320006
15,1219551642.4990005
16,1253198802.9320006
17,1220958947.8230007
18,1232069524.8770006
19,1241346260.8770006
20,1248470200.0470006
21,1241336262.2390006
22,1252280668.9550006
23,1250481080.7650006
24,1247374439.8350005
25,1242390506.8650005
26,1245191797.0250006
27,1251048544.6010005
28,1246717844.4790006
29,1237126727.2540007
30,1232936440.7040005
31,1222590044.1720006
32,1233651381.4120007
33,1233145385.9680007
34,1226819535.2660005
35,1221898930.7660005
36,1215328133.7240007
37,1212474335.1640005
38,1208117168.9140005
39,1212972822.7280006
40,1201172654.8720007
41,1209560796.8720007
42,1194950094.0660007
43,1186629376.3160007
44,1179326077.4440005
45,1189127171.9940007
46,1207905439.3140006
47,1190881672.1980007
48,1197918779.2980006
49,1200277846.9100006
50,1191141266.5100007
51,1195328403.2380006
52,1209314768.9860005
53,1197861475.6500006
54,1183279510.6000006
55,1176888658.4270005
56,1158291229.9270005
57,1144274085.7350006
58,1149819987.4110005
59,1154952962.4510007
60,1156969489.8090007
61,1173282146.9580007
62,1174506164.8110006
