,0
0,1000000000.0
1,1000185713.7730001
2,1001694706.9860002
3,1007850418.8090001
4,1002456288.4710001
5,1000419215.9120003
6,997645404.1030002
7,999931571.9769999
8,1006932468.876
9,989797089.4180001
10,997623494.971
11,1001204893.1999998
12,991950472.2789999
13,981109504.7939999
14,984957133.7229999
15,971774576.8179998
16,1004509088.487
17,1011656636.415
18,1001375401.793
19,999136352.108
20,1003371461.2049999
21,1027404832.0510001
22,1022868047.7900001
23,1044909854.2190001
24,1039203784.154
25,1034900063.582
26,1027158448.757
27,1017383406.168
28,1043805581.387
29,1039422509.122
30,1008173747.5120001
31,1002566112.362
32,988661610.054
33,968922507.6110001
34,999969487.419
35,978753210.599
36,982872196.207
37,970838927.436
38,966766219.575
39,928621359.3100001
40,937664614.024
41,966310934.769
42,966448506.974
43,973466772.6800001
44,991748093.2800001
45,1007406145.031
46,1042609374.003
47,1042429775.4020001
48,1033049114.5080001
49,1029274317.118
50,1049014517.817
51,1053597584.2140001
52,1044200885.9070001
53,1064091690.639
54,1089356464.535
55,1116568290.834
56,1110253042.625
57,1126836987.525
58,1127666428.099
59,1094768897.4840002
60,1101993457.862
61,1130586544.604
62,1164156226.528
63,1157746269.4740002
64,1171650887.055
65,1178471258.931
66,1173453212.158
67,1244583910.25
68,1260175060.1560001
69,1293921067.542
70,1285964052.321
71,1294113323.5170002
72,1279070628.0040002
73,1260196679.092
74,1267861789.0960002
75,1269354724.1220002
76,1286663650.308
77,1319666941.9420002
78,1330750707.6920002
79,1307244027.772
80,1263259405.1720002
81,1291176434.4620001
82,1316441055.591
83,1321109814.1890001
84,1314696966.039
85,1318491197.989
86,1365278624.3460002
87,1374978292.058
88,1445156918.1660001
89,1452210869.6460001
90,1437404904.052
91,1438663304.17
92,1447795984.3830001
93,1467146689.8260002
94,1528175321.9160001
95,1505456771.6160002
96,1503566339.7220001
97,1502744375.6520002
98,1482568569.6080003
99,1442883872.88
100,1472537749.5890002
101,1538299613.831
102,1569800324.63
103,1549661221.9350002
104,1539048993.5340002
105,1476973209.2920003
106,1490210585.9010003
107,1487177258.6490002
108,1420004810.4240003
109,1460016894.6190002
110,1461623248.6180003
111,1473041931.4550002
112,1444513805.127
113,1467816743.742
114,1448370394.387
115,1436620548.637
116,1466887885.5180001
117,1464800024.9350002
118,1416223261.8390002
119,1417127826.696
120,1462498457.992
121,1483573289.0090003
122,1485786015.7920003
123,1502409654.5470002
124,1504147663.7570002
125,1508882508.6220002
126,1534272340.89
127,1558540799.209
128,1557779977.6250002
129,1541858058.525
130,1454543464.7540002
131,1451343884.3940003
132,1358401564.3470001
133,1334979524.0950003
134,1403768195.5450003
135,1378921286.2250001
136,1398660053.5550003
137,1419743894.3370001
138,1425533620.0020003
139,1404838104.2520003
140,1380989505.2520003
141,1373856628.1720002
142,1421113751.528
143,1410665485.1580002
144,1388846735.7430003
145,1413868247.6100001
146,1403473490.8050003
147,1450583808.4570003
148,1455108279.1290002
149,1431783784.3370001
150,1460846654.8360002
151,1419831035.9270003
152,1394498202.1270003
153,1402008626.4700003
154,1413951970.9970002
155,1417830031.9520001
156,1395818516.5520003
157,1337137320.6620002
158,1365054809.0620003
159,1385331747.5320003
160,1413572607.2170002
161,1442255169.7490003
162,1460346301.4220002
163,1451523134.2620003
164,1506660205.8030002
165,1487662914.3890002
166,1488169023.3890002
167,1466292607.3890002
168,1519292276.0790002
169,1516465909.5270002
170,1514289040.6790001
171,1495103040.1390002
172,1537283467.6210003
173,1562010494.6210003
174,1536438530.0090003
175,1528338431.2890003
176,1542667947.5290003
177,1529531519.5290003
178,1515564419.4890003
179,1558651326.3450003
180,1585341437.6520002
181,1587791415.1840003
182,1575554363.7840002
183,1639355740.1860003
184,1657203595.9370003
185,1641624841.7570002
186,1684643202.5040002
187,1659489599.1120002
188,1668828482.0920002
189,1671123191.5620003
190,1635261431.4110003
191,1545799462.7460003
192,1551240039.6860003
193,1585613160.4860003
194,1576892813.2540002
195,1591008019.6700003
196,1599328501.9180002
197,1540874357.0030003
198,1580758106.6910002
199,1562369281.2450004
200,1542412260.4650002
201,1528079476.6220002
202,1534893664.2920003
203,1561879597.2920003
204,1508662532.3770003
205,1523476721.5950003
206,1536441496.8340003
207,1558263605.5340002
208,1499442710.1440003
209,1481727802.0220003
210,1474995368.8170002
211,1467441039.6070004
212,1445143135.7890003
213,1488513231.1100004
214,1449201328.1910002
215,1483599082.3550003
216,1517620472.0270002
217,1528904904.7990003
218,1552198401.8590002
219,1535383898.9580002
220,1545222005.6960003
221,1554712752.7610004
222,1519046007.7610004
223,1517252141.1420002
224,1557213327.2920003
225,1569185070.8120003
226,1571465855.8120003
227,1573941048.6020002
228,1598259309.2020004
229,1590947112.2180002
230,1530017191.2180002
231,1574920753.7010002
232,1596273346.7010002
233,1597353864.7010002
234,1629877710.3210003
235,1658897072.3210003
236,1660896649.1910002
237,1655183489.1910002
238,1677993707.3110003
239,1695890500.3110003
240,1673669155.5110004
241,1664071596.0110004
242,1669913669.3210003
243,1682411346.3200002
244,1675260528.0790002
245,1676817398.0790002
246,1678974704.3790002
247,1674030320.0460002
248,1671135413.0410004
249,1667722757.0410004
250,1613193437.3740003
251,1643784858.5400002
252,1663266138.5400002
253,1676314092.5400002
254,1636805293.0490003
255,1606782191.0490003
256,1551164500.0490003
257,1570645808.8490002
258,1564355881.8490002
259,1592641889.8490002
260,1593649612.2990003
261,1604976580.3390002
262,1606245968.3350003
263,1596167018.8530004
264,1592797500.5260003
265,1596200852.9260004
266,1653764014.5260003
267,1623201305.2030003
268,1616657686.3980002
269,1580653336.3980002
270,1571839181.1140003
271,1582548098.3240004
272,1537853155.0840003
273,1538780770.2830002
274,1510014569.1430004
275,1537775732.1430004
276,1554615070.1430004
277,1520499534.1430004
278,1503376982.0330002
279,1512172918.0270002
280,1511046629.0470004
281,1522232759.0840003
282,1547195252.0640004
283,1559029353.6880002
284,1594909154.8580003
285,1582024637.2130003
286,1563462985.4110003
287,1583348660.1860003
288,1591801059.4900002
289,1595911831.0500002
290,1588626747.7720003
291,1597443154.0670004
292,1647859195.8490002
293,1670326499.0390003
294,1661629326.6050003
295,1687819937.2940004
296,1705029261.7740004
297,1690655262.6570003
298,1693876184.2170002
299,1689507806.5290003
300,1689559022.5290003
301,1683931135.5290003
302,1720100811.2890003
303,1739871840.8330004
304,1726366320.3330004
305,1743259007.7980003
306,1744374099.7980003
307,1774876863.2430003
308,1784171687.7630002
309,1786766576.7630002
310,1797615383.7630002
311,1793474571.1580002
312,1754869051.1580002
313,1743398179.3580003
314,1796418471.9000003
315,1772396318.8200004
316,1802538680.1400003
317,1809298625.9940002
318,1792890505.9940002
319,1804675237.9940002
320,1799341203.3200004
321,1774747554.0000002
322,1786989871.1300004
323,1785328444.5300002
324,1786231864.1990004
325,1758875801.5890002
326,1731922339.6890004
327,1773325903.3390002
328,1830437613.0310004
329,1843256349.5670004
330,1865235838.7010002
331,1880460521.7010002
332,1904268168.8800004
333,1936995818.4140003
334,1935413752.7260003
335,1930999428.2170002
336,1931425624.3610003
337,1914505213.1840003
338,1932972721.1790004
339,1906023887.6170003
340,1965876097.6170003
341,1969848212.5130002
342,2023569464.5930004
343,2091385202.3230004
344,2108216287.7270002
345,2148417470.2850003
346,2063757972.0940003
347,2013346277.8740003
348,2008412627.0540004
349,1986252949.0540004
350,1950793990.0540004
351,2033330561.3540003
352,2065455829.7540004
353,2071210858.7540004
354,2080599061.7540004
355,2043037399.7540004
356,2069352261.7540004
357,2088185866.7540004
358,2074457964.7540004
359,2127848598.7540004
360,2119694133.7540004
361,2099633775.7540004
362,2129594015.1120002
363,2145177054.9920003
