,0
0,2318056.7599999905
1,1996261.519999981
2,8011914.099999905
3,7519976.150000095
4,-3362007.2920000553
5,-534351.8180000782
6,-8010052.22699976
7,708176.2999999523
8,1601078.8149998188
9,12154198.882000208
10,3333054.7999999523
11,10603900.326999903
12,10589657.170000076
13,-41678554.05100012
14,10531993.99000001
15,-898942.5299999714
16,1032539.5
17,-3540710.2400000095
18,8879299.380000114
19,9715956.609999895
20,15458826.5
21,11432434.01999998
22,-7569942.840999842
23,3922842.9249999523
24,-9096249.628000021
25,7660756.27699995
26,-370673.0260000229
27,3741490.1579999924
28,16015383.53000021
29,-10001750.094000101
30,1459341.890000105
31,1683400.8699998856
32,-5668318.957999945
33,-6752723.272000074
34,1675406.7999999523
35,3164166.8230001926
36,-10104047.400000095
37,-10534985.0
38,14105261.0
39,28454437.109999895
40,-11828781.497999907
41,-368394.4170000553
42,-22640421.332000017
43,-28289874.437999964
44,8876835.719000101
45,17672556.63800001
46,2191339.4279999733
47,-812105.1589999199
48,8647158.848999977
49,52895.05799984932
50,-5999892.75
51,6896841.784000158
52,-4034315.577000141
53,4232577.098999977
54,-15096574.687999964
55,16803992.0
56,-4486781.756000042
57,619390.3389999866
58,-3424466.9599997997
59,-14076533.759000063
60,-11063654.078000069
61,-1226619.8120000362
