,0
0,1000000000.0
1,1001777543.9492066
2,1002921286.7977477
3,1004610263.5187567
4,1001011202.0652553
5,997972014.4524133
6,996543009.7548757
7,998297345.717052
8,1005020191.0905952
9,993661630.7313079
10,998861207.2928202
11,999021234.6682407
12,991289543.6823558
13,985731340.3127366
14,986562718.9821678
15,981964578.465658
16,1003333043.1485293
17,1009353745.3313187
18,1005232029.6285111
19,1001510692.4902804
20,1004339879.1821533
21,1008760624.9289742
22,1006188381.8720336
23,1014354947.400456
24,1009835332.2936611
25,1007757843.9493532
26,1002883883.6406944
27,1001272331.5937421
28,1009472042.9817492
29,1008139599.4381106
30,984132225.3768382
31,978376802.5428307
32,975034561.1257205
33,961859284.6509166
34,982591834.0243955
35,973444157.7254854
36,979555868.5613635
37,969290016.1717134
38,972026612.7548072
39,932389328.3779854
40,925805369.5887611
41,947998713.896297
42,957175087.8089943
43,964064492.374769
44,977441343.3540827
45,1002178408.4412841
46,1029140654.948055
47,1026066269.6794163
48,1024844843.9565271
49,1026917276.2583263
50,1046578855.1665505
51,1031162989.3862392
52,1019163855.7677687
53,1045542612.8770137
54,1077594093.3247354
55,1102940758.1986282
56,1123047701.7245996
57,1125113715.8497043
58,1126300711.8420188
59,1094919541.9797652
60,1103754401.2466712
61,1136293696.7094164
62,1161802770.3618195
63,1155118161.3584917
64,1159582936.1201773
65,1160455624.384274
66,1135620428.9730196
67,1179052909.85029
68,1188340213.023005
69,1200592256.608394
70,1216389019.0967278
71,1222269230.9891343
72,1218234875.7086756
73,1216459684.1438143
74,1215825676.8423998
75,1217124272.8440156
76,1230211837.4743185
77,1263737956.2659981
78,1261207988.625418
79,1245748920.862685
80,1212926251.6374662
81,1249626820.3082864
82,1276576969.535124
83,1293960929.9087577
84,1278196236.6172378
85,1285135311.3675704
86,1289831420.0498605
87,1290319335.6571755
88,1322697051.0890083
89,1333626232.889598
90,1312874636.119479
91,1314011468.843104
92,1319639266.7475078
93,1351942119.0798032
94,1385531433.1927865
95,1378304841.605669
96,1353526167.862288
97,1364659195.269258
98,1347800600.9531841
99,1361275416.6445973
100,1398816715.8037133
101,1424571767.3050308
102,1418870063.6804888
103,1389826357.457083
104,1379884490.7216718
105,1348133035.2697423
106,1352856648.760218
107,1348645910.4012232
108,1325149729.8696077
109,1365661964.1747892
110,1347161594.3251355
111,1365035215.113476
112,1338449778.8291888
113,1341055685.5167367
114,1316568729.2254436
115,1314866424.6178463
116,1349907192.7028043
117,1355527067.8219802
118,1323902024.846319
119,1323841876.2930808
120,1360603838.0103486
121,1380342889.971343
122,1378766364.2179375
123,1380829574.4879687
124,1366240313.1493413
125,1363434056.977381
126,1360993140.3525789
127,1388021299.48879
128,1397138303.5336967
129,1396828345.5400314
130,1376001506.26367
131,1363076651.7141652
132,1310487942.9502738
133,1315682454.4227476
134,1344669039.6429427
135,1337970634.5610285
136,1349405092.286196
137,1385675573.4458365
138,1398113742.0075183
139,1406235881.256752
140,1399700478.3805578
141,1385420031.6503246
142,1404696513.147222
143,1400230653.114634
144,1376703086.5817184
145,1408118844.5143228
146,1434634269.3756957
147,1471636508.7515447
148,1488608941.2865937
149,1451746506.4435437
150,1485017965.6510084
151,1485176683.9751124
152,1470634876.597637
153,1446121817.807763
154,1440185442.2184112
155,1457634984.163979
156,1444914390.5448053
157,1402749606.2606962
158,1422950940.2737415
159,1428416449.317329
160,1480325877.986203
161,1492661463.333089
162,1523791206.8141856
163,1496150641.752865
164,1519062675.6803946
165,1500439387.0807679
166,1553077152.5375433
167,1471169670.5685034
168,1519772273.301762
169,1547567760.9462829
170,1543136028.383492
171,1511468091.1205554
172,1557484682.6715214
173,1612565945.4427884
174,1589539869.6698391
175,1608222686.7012465
176,1582361609.434907
177,1565928388.5726311
178,1605978542.965034
179,1663421067.390972
180,1668107861.3623374
181,1685259868.3495865
182,1681921156.5851338
183,1772930379.2645175
184,1804798678.3089638
185,1808673673.4940982
186,1861026092.3581996
187,1811518308.1043704
188,1784745285.8401492
189,1754873459.6521683
190,1715134809.7317462
191,1645852018.269716
192,1649774097.1233687
193,1623669444.1136115
194,1657859241.5656369
195,1689513410.9949765
196,1631528900.743813
197,1611459047.3583045
198,1642629053.505346
199,1659042096.0734153
200,1619063635.559367
201,1616433804.8333244
202,1631835118.9878042
203,1630414608.5801642
204,1587263070.4644992
205,1619536827.2998314
206,1659263657.7050226
207,1674577077.2052135
208,1630745672.9324543
209,1628854602.907828
210,1602118748.4660308
211,1558210170.933475
212,1530943656.6757863
213,1589852668.224293
214,1539699847.0508347
215,1592340765.2369206
216,1590834011.190287
217,1592641183.4174123
218,1612033713.4805136
219,1566604691.2182438
220,1562095845.9725838
221,1573139888.3911867
222,1522159100.2667637
223,1558511913.2900085
224,1611072597.3232644
225,1617366394.800684
226,1596005981.6768167
227,1587085496.253016
228,1599032155.8595994
229,1584284046.9612353
230,1514446097.7486424
231,1553217301.5307627
232,1568413560.8309011
233,1586419182.7405999
234,1618573345.4012399
235,1645961650.3076658
236,1650826498.5746183
237,1646238266.8110247
238,1670095432.28534
239,1682796254.1492698
240,1674338096.4832582
241,1668153935.9628022
242,1665111711.1341639
243,1675356688.5239863
244,1653703457.6481192
245,1639673409.2657983
246,1644202109.9162436
247,1652636274.2569714
248,1671283026.4887598
249,1700111473.9084432
250,1687690011.4143784
251,1691178620.419809
252,1715891046.6560783
253,1710813394.9209826
254,1646807647.0358396
255,1632056672.288467
256,1580011280.6712308
257,1586328275.428705
258,1568828831.650215
259,1579019452.797725
260,1582227890.794109
261,1579853233.1391127
262,1579252919.8603158
263,1601988870.8714287
264,1579783149.2451835
265,1562770414.7780292
266,1595583683.4648035
267,1560884391.8549037
268,1545692167.8618953
269,1506220333.8186316
270,1496758724.8931131
271,1519388506.287066
272,1514479989.7756784
273,1523385667.8587754
274,1490850056.6979299
275,1502990374.0561664
276,1525593334.461474
277,1484780918.6825914
278,1483090608.3617733
279,1467781921.5230713
280,1456126018.548462
281,1482492461.8498406
282,1481198424.7092423
283,1483017632.1943524
284,1503287704.9360068
285,1518133348.0930102
286,1505337125.4136412
287,1529450226.4888234
288,1530032126.9859972
289,1530080154.5402536
290,1519990456.0411887
291,1522031931.4111845
292,1541500933.9608567
293,1547692833.301797
294,1538414686.855939
295,1558289019.7370605
296,1560086746.6008859
297,1543414166.7615917
298,1559169209.2614481
299,1549429779.0382912
300,1550894601.3076587
301,1547048268.0386746
302,1550733721.0637639
303,1589470506.911495
304,1577347410.6954238
305,1586742143.4879174
306,1585499456.169919
307,1614783533.5052054
308,1629788292.8428023
309,1641369477.6773248
310,1648813307.76343
311,1625740704.180342
312,1635544647.9928148
313,1610968885.574886
314,1632257591.1611264
315,1651289013.783641
316,1672103510.738146
317,1667168303.172145
318,1691496302.3834126
319,1673878893.463997
320,1663848084.0537717
321,1641463926.7316701
322,1657390593.9088838
323,1675267975.8390698
324,1657785131.7134733
325,1650453671.9656963
326,1650789623.7749486
327,1675413554.434648
328,1726348973.6686943
329,1720704184.2669556
330,1738361528.5440686
331,1754415013.464478
332,1781658503.7336984
333,1829718597.6315053
334,1870143757.7561197
335,1869874513.5927603
336,1840790595.6839433
337,1833810079.5061204
338,1814976963.114631
339,1779140414.8193543
340,1812759852.815315
341,1804029773.8629286
342,1846078718.8942556
343,1896116407.7018552
344,1913937895.374625
345,1923270620.3584752
346,1856732946.9451158
347,1835560288.7662141
348,1812426058.4635432
349,1811523766.0695913
350,1795296966.9964445
351,1855603423.6304083
352,1917023812.1354008
353,1917980832.9330108
354,1931784408.0939798
355,1880142749.8553824
356,1894260083.9955857
357,1898221399.1627064
358,1863780752.932857
359,1883980316.6882362
360,1875713429.3259447
361,1891036948.8184195
362,1928966398.4883635
363,1935736192.9867642
364,1945641540.0217996
365,1977261791.8699276
366,2014920963.7342017
367,2011478395.4180243
368,2030052997.7730987
369,1996921768.320956
370,1976167870.6625156
371,1994321242.6593578
372,1995094115.2551987
373,1986452926.3457897
374,1974520863.634852
375,2003920279.2378278
376,1950979466.9846117
377,1892099461.5036335
378,1873712734.0459323
379,1949146752.0058124
380,1941297362.4127722
381,1947586292.7285163
382,1944543432.2209942
383,1992937001.2570128
384,2009346585.0713553
385,2044351616.573198
386,2040641820.9777095
387,2009704669.2510831
388,1989349381.543739
389,2010671758.1361215
390,2009451206.9023721
391,1978822209.2717187
392,1990730945.7941456
393,2023926872.8897724
394,2054014746.3040173
395,2025897545.1962035
396,2043142718.955483
397,2027792319.9596627
398,2156671909.4051585
399,2188509707.148368
400,2190865670.0179367
401,2200010821.567487
402,2157903629.911888
403,2191595499.2003255
404,2141020801.1591542
405,2126470332.1829348
406,2046853216.2992785
407,2089494299.6546998
408,2109344342.396558
409,2100662505.336497
410,2108548979.4449606
411,2178479774.6220546
412,2182211588.477557
413,2125828473.5954862
414,2142248958.198307
415,2072464723.1863732
416,2094901335.045053
417,2100016140.7013197
418,2150575244.6252675
419,2169706451.0938106
420,2253569557.7032433
421,2243363194.569701
422,2268413231.14862
423,2287353958.3517838
424,2282263836.404433
425,2302289014.353564
426,2309383487.259789
427,2304864276.263095
428,2374602116.517004
429,2365383392.24765
430,2364712283.4289
431,2344344293.3472996
432,2397235221.4458103
433,2390973919.094607
434,2467800914.242581
435,2466162314.471292
436,2474215767.094886
437,2455666416.142955
438,2467621542.5505557
439,2472677440.5480704
440,2485407450.0343323
441,2470783408.8119597
442,2473106259.5981145
443,2447330696.8325825
444,2456537494.2288985
445,2508247681.194193
446,2461922852.6131134
447,2448509010.37865
448,2489929835.296653
449,2458044843.6149807
450,2376352708.4543557
451,2373196298.359549
452,2410527386.951051
453,2441635773.9267726
454,2490507610.091549
455,2591230473.20572
456,2633625396.611498
457,2657918875.3833313
458,2638167523.345342
459,2629050489.6726665
460,2752610026.824082
461,2746698530.4932003
462,2750281431.099869
463,2686318366.789568
464,2695643744.801784
465,2698422302.362217
466,2724116565.2026715
467,2810966366.900597
468,2692074553.1266685
469,2708456776.002718
470,2682988485.6843605
471,2681112168.419174
472,2673635640.974616
473,2775641417.691679
474,2787557397.0867214
475,2703367085.1546936
476,2647699389.46408
477,2647407026.812686
478,2623305065.7149887
479,2595598503.599708
480,2619247175.039236
481,2631468029.2057986
482,2744805838.3516464
483,2739269045.395715
484,2795593077.392415
485,2810404041.163113
486,2832526507.018204
487,2854156629.076431
488,2907260663.730225
489,2826353969.967609
490,2804170870.1901274
491,2853866488.8109217
492,2857888274.108835
493,2808485591.9886136
494,2803760999.497955
495,2796436479.131772
496,2769539270.0026526
497,2803812868.029798
498,2791808134.430712
499,2755712833.8801227
500,2720010350.033997
501,2719024884.5102935
502,2761906702.9896293
503,2740608132.161894
504,2808375731.120678
505,2819629287.240521
506,2848158374.44864
507,2851191161.4365163
508,2871002483.844818
509,2875773788.0188165
510,2888271179.361531
511,2901728266.948556
512,2893027212.689414
513,2934031432.948117
514,2870685313.780348
515,2824431127.2597747
516,2821407671.8325424
517,2791869238.3965364
518,2710552807.5328956
519,2765114898.752767
520,2763742553.937788
521,2830363771.632801
522,2847053944.612408
523,2699653430.4217153
524,2577398855.8109956
525,2587370612.5951905
526,2626124066.2460017
527,2573328143.8359165
528,2515774788.778686
529,2476347759.95018
530,2445821967.623155
531,2539065193.04553
532,2515168676.407244
533,2467334552.064504
534,2478365657.003052
535,2587105531.374611
536,2654529722.2514772
537,2619605911.9286
538,2604595882.974012
539,2559496491.915831
540,2562337317.2618866
541,2528379468.8270187
542,2573517130.312855
543,2655876899.5611854
544,2733539337.5117345
545,2680476528.327408
546,2670363122.7325096
547,2698333707.055916
548,2674948644.763697
549,2614227060.795909
550,2649058513.9143915
551,2592274310.443631
552,2637627640.7013974
553,2660643011.495297
554,2702061143.8347096
555,2738201038.2737217
556,2816754386.5665245
557,2826509957.43076
558,2944282478.405049
