,0
0,8698431.104131937
1,-6434852.262667179
2,3703872.486193061
3,16889414.57898748
4,-5790124.651987314
5,6242261.707965016
6,4403675.216109395
7,-12508610.637401104
8,16288330.30426085
9,433215.0527435541
10,2900725.4632496834
11,-2584350.085844755
12,4346609.522211552
13,-9646731.032757878
14,6886698.920666814
15,2636971.3781044483
16,6554875.6637506485
17,8033075.642693043
18,5895130.544745922
19,4887026.951688647
20,-15956895.392229557
21,2593187.1204361916
22,-3986582.7101490498
23,13866187.574205756
24,-2336475.0845047235
25,-13551007.2965312
26,-9125744.250121951
27,-6941532.309283376
28,3307244.097699046
29,-12909137.178509355
30,26591058.904521942
31,-16670845.325500727
32,11261600.795506239
33,8660221.036509395
34,582856.9389777184
35,-7411675.141084194
36,12495706.492927432
37,-4598244.802425027
38,8542612.481191397
39,17816322.786581516
40,-765456.2462365627
41,-20065690.703915
42,-24127442.32524717
43,1011540.4847314358
44,-6894954.737340689
45,2887646.175035
46,-3851056.351145506
47,2189049.0828840733
48,7807699.70092845
49,12495582.589082003
50,2654931.541995406
51,-13948901.785684586
52,-3369297.98774755
53,12013232.01497364
54,9292364.242715478
55,-709695.3444356918
56,5651687.3465435505
57,16481365.586010814
58,-5755998.227245092
59,-4437513.600657463
60,3997123.3799499273
61,-33203547.043349862
