,0
0,1386678169.0340126
1,1395605521.7043571
2,1419048291.6769822
3,1427369112.2170277
4,1411073533.121089
5,1386154015.6093447
6,1384386441.3462906
7,1405355283.567565
8,1385540756.8885212
9,1381642404.5603304
10,1378010680.3423195
11,1386124372.401588
12,1392789953.592798
13,1392137351.9930294
14,1391795588.6473439
15,1397811444.5848596
16,1397966731.4178479
17,1396568923.2458634
18,1396569423.2458634
19,1396786723.6353571
20,1396058061.6159654
21,1395972097.7222304
22,1395972347.7222304
23,1396762496.5246658
24,1397511099.4674587
25,1401212535.1868737
26,1411966892.8263297
27,1411653600.474073
28,1411442364.6818695
29,1413389144.9138865
30,1406926371.1978672
31,1405745907.0550215
32,1405174117.6592655
33,1400829174.8566754
34,1402500769.5582051
35,1402286031.3615417
36,1402286031.3615417
37,1402286031.3615417
38,1402286031.3615417
39,1398104428.1742666
40,1398117486.1979632
41,1400388882.002701
42,1393259373.5414956
43,1393775922.7015126
44,1394015123.4943848
45,1395428691.065989
46,1398568669.7876663
47,1402952055.330782
48,1402236968.5096548
49,1401758004.2688386
50,1403363874.2378109
51,1411531357.4282477
52,1408558696.6116457
53,1408129787.8244975
54,1408948350.9357526
55,1405328864.7067447
56,1403787791.660746
57,1403505886.7654202
58,1406470237.6137905
59,1417131481.038128
60,1425558963.6022644
61,1424313905.843107
62,1430195983.4818218
