,0
0,1023623201.3249846
1,1007418615.0871162
2,1016454629.1805958
3,1041595944.650253
4,1038660810.2660275
5,1050133307.0963609
6,1046314746.708999
7,1049115011.6380825
8,1058406004.2570223
9,1061637234.7307276
10,1050425361.9622045
11,1049781605.9429051
12,1053674442.0416324
13,1053262624.4166352
14,1052780747.1203504
15,1046273583.231106
16,1038163089.0543126
17,1036043055.2812768
18,1026735309.1891137
19,1023859869.4415584
20,1028657335.8577528
21,1032322708.8458772
22,1037752153.7316778
23,1039196900.8369159
24,1032100376.8773721
25,1038383810.0679393
26,1043961847.314778
27,1047435046.2712988
28,1035354851.773557
29,1043458126.2795024
30,1039242573.560231
31,1023598439.4875201
32,1006369972.8153455
33,1006492928.567282
34,1004840324.8709549
35,994292773.0546535
36,1006731359.6817577
37,998866050.098475
38,1013626529.607078
39,1016985126.4271612
40,1018890474.7738038
41,1015321682.9002118
42,996300626.2894772
43,1001596649.198421
44,998935914.3288244
45,1013303335.0072979
46,1023206133.4234759
47,1029844283.0662472
48,1025209082.5994511
49,998764794.6909723
50,1018388954.5111258
51,1044504011.0970552
52,1043459524.6995726
53,1051290227.2100441
54,1050796904.3942772
55,1050421541.0357503
56,1050070798.9235529
57,1050070798.9235529
58,1046634719.9877512
59,1045737629.402465
60,1041276599.8982766
61,1038669251.9137652
62,1045559404.9758344
