,0
0,1000000000.0
1,998878639.1747725
2,1000571390.8978722
3,1003185830.3516483
4,1000131194.5371051
5,997559619.5917298
6,991301975.7019306
7,989098027.9344926
8,992769552.437816
9,964973718.2411091
10,977071834.0760846
11,981834156.9499655
12,967588899.7448366
13,954340926.3547034
14,957040476.0526307
15,948016079.2372766
16,995573588.3220017
17,1007611375.7802246
18,991418843.1296324
19,985123995.538844
20,986921674.9871285
21,1011635793.0370853
22,1012869549.5496341
23,1042435527.8171145
24,1034581085.9152999
25,1030963938.2328063
26,1014135063.1900095
27,997615490.5539602
28,1017117587.3391434
29,1004908900.5323681
30,974369432.873794
31,953698264.5686098
32,938484435.7023059
33,908353296.5145247
34,938978626.6735373
35,894442903.7221825
36,904023781.0934879
37,887417093.6275892
38,889355461.587202
39,851034915.4504336
40,863343319.1668818
41,896470879.7656693
42,895210000.0298324
43,890374795.2233282
44,909917113.2883445
45,926048552.947265
46,957751726.6169274
47,963673894.2646296
48,962495728.0462118
49,952814350.8254037
50,979554164.4207685
51,976485577.2507813
52,968793683.5430571
53,988725480.9110798
54,1009859819.6460832
55,1031743104.3812681
56,1035458659.3167167
57,1040706768.8017867
58,1038065262.6198039
59,1015045590.1686766
60,1011786534.0089467
61,1039227419.403867
62,1063880882.3638005
63,1070689689.3323339
64,1071579052.506522
65,1074785933.9656732
66,1038190771.5701538
67,1077875587.1691613
68,1084435028.559383
69,1079727478.364871
70,1084725080.3627033
71,1088964650.6662204
72,1097779566.2110069
73,1085014995.119703
74,1092413193.236746
75,1084400870.4281425
76,1084708737.9038236
77,1105957053.5154085
78,1094407527.0192032
79,1084694431.3043256
80,1056340879.3437726
81,1081935507.0524824
82,1090080911.3792176
83,1103318072.903093
84,1125332928.3540242
85,1150020085.0360181
86,1150724875.8942149
87,1142194995.1562517
88,1132647490.1683974
89,1138879546.7963789
90,1101779768.674611
91,1103067617.1864893
92,1088905596.4142108
93,1119921346.6684887
94,1126425618.9017804
95,1123249894.6944005
96,1105993833.8309689
97,1099608600.6387806
98,1078036683.3309813
99,1089516902.9410636
100,1113718634.5768375
101,1134548562.4222438
102,1153849668.114758
103,1151227249.837824
104,1156434398.3711445
105,1115400398.331263
106,1123055553.7570052
107,1125744723.132726
108,1105143791.5762563
109,1145538711.0506253
110,1144353546.0888329
111,1147744467.5619662
112,1144491129.8303826
113,1132960176.3397584
114,1115822661.2623758
115,1099987848.1428566
116,1102862930.557834
117,1103416188.2849603
118,1067705342.0379386
119,1075751363.3035476
120,1105867134.8883815
121,1124375387.2761784
122,1122200482.8733356
123,1117440062.9365094
124,1127798042.4683027
125,1121992203.1349506
126,1125527690.0287473
127,1130116922.196335
128,1125806667.9102578
129,1129766031.450055
130,1128542639.2320316
131,1128017104.118416
132,1096581553.344803
133,1104986717.7609043
134,1118693876.957368
135,1134422544.6213567
136,1148985414.1947906
137,1173296129.2720118
138,1177239493.4693844
139,1183579230.962166
140,1199282009.5190487
141,1192889248.2105641
142,1207025244.772453
143,1206284676.8962734
144,1204145329.8760967
145,1206036888.2503493
146,1218894787.326417
147,1232221130.4254975
148,1237179480.8485506
149,1219852452.7734284
150,1229999009.1585476
151,1231569161.3378036
152,1265791431.9466264
153,1275778847.4420974
154,1283181996.3019707
155,1285372351.9154994
156,1299927569.2451794
157,1298322002.1687946
158,1273934852.216643
159,1249935770.96974
160,1284679574.7683444
161,1290635622.9946623
162,1311840305.4303858
163,1315790431.3390453
164,1325157520.524046
165,1302326838.491233
166,1320498465.0396802
167,1302204705.3360379
168,1345776292.9184544
169,1365402801.2969854
170,1347649537.8749692
171,1334660058.039769
172,1352048801.1415179
173,1377293569.844644
174,1359529242.986979
175,1383605560.1195292
176,1361953538.9698696
177,1365363560.9759085
178,1386449215.8837063
179,1398724181.7795947
180,1408702358.7763226
181,1422087347.7390094
182,1398616452.1961348
183,1429086580.712221
184,1448363554.2287223
185,1451322735.1098292
186,1471934461.5756326
187,1470979248.8367462
188,1460524572.7795732
189,1430429812.4701958
190,1383852756.3479443
191,1376254516.1327672
192,1378486193.2099767
193,1365003103.2680502
194,1386106668.456716
195,1394371695.3065636
196,1379779635.7302742
197,1374357723.9310372
198,1389249082.782446
199,1395957995.0730455
200,1380220808.6181326
201,1393046690.0422559
202,1405671357.9972432
203,1411722655.9575448
204,1385043216.2497747
205,1386407779.9320688
206,1411639598.516973
207,1410049126.928838
208,1362200330.6346607
209,1321215738.3252678
210,1305897139.972568
211,1271274641.3162942
212,1249715407.7239242
213,1278051655.89123
214,1259155422.4010456
215,1281426984.8197584
216,1286560993.6652622
217,1285530073.662695
218,1311569247.4612317
219,1287363027.3339536
220,1280814143.0665226
221,1287940153.2681303
222,1267919164.1763031
223,1293077200.1270537
224,1305489183.8764832
225,1307460107.083978
226,1318459522.157633
227,1303875274.000357
228,1303930152.2447937
229,1301374261.9631405
230,1246132702.8902369
231,1253241016.3702843
232,1258383503.7426581
233,1282510046.5990152
234,1316446912.983095
235,1338286490.4825304
236,1335025936.9927795
237,1342657860.3465147
238,1349735953.1956043
239,1418321418.3299365
240,1373838212.2531967
241,1377982955.0293486
242,1350967706.4587927
243,1355275876.3263416
244,1345890890.7363238
245,1352257124.8072584
246,1345256217.4059577
247,1352080500.732219
248,1361988272.045299
249,1382104212.42939
250,1396126956.5881343
251,1383582114.6231644
252,1395188960.8900666
253,1407170739.0348306
254,1396326080.2589679
255,1388361330.2945416
256,1379117423.0961483
257,1364575254.5728185
258,1354281064.6121092
259,1367902688.6976416
260,1338228255.1158378
261,1340483297.5647073
262,1349429104.877543
263,1366894500.2427056
264,1361029796.9519823
265,1341552240.786651
266,1356366851.8837457
267,1332057114.670932
268,1361673751.2885463
269,1346038373.3381414
270,1351802448.1507828
271,1364692834.8648267
272,1340564900.0557003
273,1335827997.3362339
274,1294924863.5847485
275,1302650240.5858626
276,1329087342.701645
277,1297668901.2206218
278,1286178223.3467388
279,1297212515.345176
280,1303921700.1958466
281,1330422543.7244468
282,1317073855.4400332
283,1322160986.743899
284,1343545438.034839
285,1333588150.8986282
286,1318228944.5688872
287,1347728841.5897465
288,1363059585.089392
289,1362221256.5508294
290,1339485105.4267619
291,1347045485.8868396
292,1375607048.0428135
293,1382923707.9117208
294,1368437567.8961585
295,1404827543.0280697
296,1409825000.0477397
297,1402088632.0668492
298,1412666258.8059046
299,1390703199.781251
300,1401685247.688723
301,1397191334.7466657
302,1382735190.4116378
303,1428006569.6680803
304,1421185397.8377504
305,1425542416.4621766
306,1428215133.2953703
307,1448823210.8912745
308,1447787857.1752188
309,1468143221.0663824
310,1471699808.685685
311,1458930437.331759
312,1462758258.5781128
313,1480150465.3326592
314,1518196990.2989244
315,1507676142.7734444
316,1493357109.4292533
317,1478663007.1641796
318,1494892479.2205741
319,1521181510.6269436
320,1519809618.637826
321,1489673588.1575224
322,1498845842.9799862
323,1525630811.3182514
324,1503972304.0789497
325,1485467476.5340567
326,1473520891.5801919
327,1486328647.1819804
328,1528925994.6362536
329,1539171642.890692
330,1532581723.067683
331,1554477191.7074478
332,1563707928.9194186
333,1540265202.8441517
334,1541744172.6513443
335,1547038915.9878392
336,1551483618.7623909
337,1567034299.9112806
338,1529028607.2830038
339,1468383087.9798386
340,1521601737.7144961
341,1543380440.9273334
342,1560608785.8677742
343,1570155153.268637
344,1566912203.7041106
345,1565607609.532652
346,1526734487.0721831
347,1483896135.6638136
348,1437282991.695401
349,1434109006.2574584
350,1399581999.291697
351,1450705412.8100266
352,1443348365.2266812
353,1456203438.508927
354,1466063470.094867
355,1452303456.1486692
356,1473759903.9816597
357,1505181811.9497442
358,1478140014.3878777
359,1509120428.9818003
360,1488801732.067621
361,1498531018.4327812
362,1512374787.834385
363,1529964673.476461
364,1545491551.5910676
365,1567613972.2814445
366,1568981126.4596183
367,1586921941.144476
368,1618499822.9878604
369,1620499921.8896887
370,1629929910.9787457
371,1644814487.9599621
372,1672091183.365387
373,1695533496.676164
374,1684658104.6343718
375,1696682705.7262847
376,1719782342.702821
377,1672581430.2390916
378,1642108490.3222575
379,1652898736.2026668
380,1618991690.5213752
381,1639923638.7177033
382,1661977108.5433164
383,1664933923.7427742
384,1676493600.2352147
385,1717356085.2265666
386,1714091746.7218132
387,1769670286.3020194
388,1767714368.5512645
389,1706534347.2514176
390,1715081581.4848697
391,1691940333.4000163
392,1671626236.7743568
393,1678723996.7736409
394,1657257488.3891199
395,1656138479.650921
396,1650743684.6769047
397,1644499753.9468637
398,1675826283.3752775
399,1702377342.9523962
400,1675746406.9480555
401,1618539765.1703439
402,1640029738.9414594
403,1635257502.8375747
404,1635675651.5610187
405,1567163117.4113991
406,1536365445.4742649
