,0
0,-15772777.274557352
1,2044457.8443698883
2,-1601530.6788904667
3,-21700742.382122755
4,-54834868.331858635
5,-6353643.84300828
6,-27572300.07278943
7,-20690847.22534609
8,-48568892.03974724
9,21899641.42649579
10,9848255.494217634
11,18573646.511301994
12,20821394.94636011
13,-31722675.024575233
14,-60404733.77420521
15,15359386.067912579
16,-36074590.20289087
17,-43748995.536645174
18,-23423601.936941147
19,-39682941.13571763
20,-19451127.037472963
21,-52306623.509076595
22,-68225962.3728038
23,50123478.023730755
24,-42244595.16564369
25,97852705.32394278
26,64196828.11799431
27,-38265551.90498638
28,28400308.02285838
29,-4222231.315509081
30,23202818.53537655
31,-66845404.93056965
32,23202968.800878048
33,8591428.703140259
34,60240562.18863082
35,15716823.125406504
36,-16287224.662098885
37,17870082.898855686
38,-6073484.078065157
39,-21575431.55885172
40,14473836.144757748
41,1557512.774513483
42,20931913.53884983
43,-10305821.16676116
44,7608701.871523619
45,19486707.984514713
46,29409140.03763008
47,-15575136.66362381
48,2296583.0155124664
49,4070327.6375632286
50,7737555.031410456
51,-33149524.310905218
52,23811746.605023623
53,-431665.7740547657
54,16282552.736463308
55,-5258768.20485425
56,402700.12265610695
57,3123648.3405942917
58,-4587817.46271944
59,7592183.505194664
60,-8861193.734471321
61,26766014.09691286
