,0
0,8969470.327000022
1,-20883995.748999953
2,7829414.962000012
3,8501916.412999988
4,-543793.0400000811
5,5693472.992000103
6,-560323.5770000219
7,-13320463.276000023
8,25214670.027999878
9,-4658886.859999895
10,6903257.765000105
11,-12347308.995000124
12,9729133.578000069
13,-15848921.305000067
14,3220424.151000023
15,17781460.63800001
16,-7208784.974999905
17,1594511.476999998
18,8500891.720999956
19,2898851.8299999237
20,-16935735.870000005
21,8563168.199999928
22,-947886.7349998951
23,-276898.6749999523
24,5065457.0069999695
25,-18139840.60500002
26,-6021929.258000016
27,-2585340.300999999
28,-3667085.6180000305
29,-12084570.73999989
30,19998059.855999947
31,-11286894.228000045
32,15133020.303000093
33,4734840.919999957
34,19470399.005000114
35,-4156648.0480000973
36,16534497.063999891
37,-5868.329999923706
38,8647026.345999956
39,9512671.89199996
40,57883.296000003815
41,-22854357.997999907
42,-15424438.492000103
43,7336072.392000198
44,-14267376.597000122
45,2847635.495000124
46,-17929815.532000065
47,16627016.626999855
48,16472473.42500019
49,4204427.3680000305
50,8178586.732999802
51,-28681679.711999893
52,5942463.385999918
53,6867378.575999975
54,21669255.930000067
55,5651998.95600009
56,9594262.10500002
57,23508962.07499981
58,2008827.6660001278
59,-6541860.940000057
60,19462065.23300004
61,-35777341.20600009
