,0
0,1196018234.705
1,1204380796.0709999
2,1202556149.8249998
3,1215673633.549
4,1208735797.013
5,1214124292.7129998
6,1210963852.908
7,1211878297.524
8,1227197082.5049999
9,1225315107.112
10,1213531350.8509998
11,1223075106.3439999
12,1219691311.697
13,1212487099.9029999
14,1224828505.766
15,1223433239.8
16,1236762549.309
17,1255964690.687
18,1255395559.465
19,1250800017.8739998
20,1256095710.023
21,1249525125.222
22,1255959590.677
23,1250660281.306
24,1246056532.6039999
25,1238789222.592
26,1244602517.518
27,1232077030.0449998
28,1243448530.227
29,1256199915.5509999
30,1252546334.783
31,1239442112.628
32,1218153639.112
33,1219861157.891
34,1227234964.872
35,1219467128.4229999
36,1239071028.655
37,1240768778.9559999
38,1248028858.065
39,1244000074.402
40,1238450963.108
41,1232430479.595
42,1216901019.5149999
43,1231071230.297
44,1225007911.669
45,1269172863.593
46,1277499445.392
47,1292206211.608
48,1321785054.068
49,1316436625.863
50,1357127143.657
51,1420978036.6829998
52,1419556927.754
53,1420167120.0049999
54,1420831078.9060001
55,1420605870.8830004
56,1420520098.1190007
57,1420520098.1190007
58,1420317227.0260007
59,1419868377.563001
60,1420763414.7320008
61,1419845321.990001
62,1419843631.112001
