,0
0,1000000000.0
1,1000056351.9039999
2,1000206346.0100001
3,1000929022.422
4,1000032120.832
5,999045841.1140001
6,998291475.01
7,997907613.086
8,998884518.1599998
9,996057929.282
10,996734424.7659999
11,996990987.698
12,995714016.0789999
13,993808043.1839998
14,994565388.3599995
15,992389960.9209996
16,998712600.8609995
17,1000179320.0449996
18,998638997.2479995
19,998663484.5459995
20,1000008193.6809994
21,1004126087.8609995
22,1003594918.6039995
23,1008515874.5919995
24,1006179625.8229995
25,1005138187.4459993
26,1001963579.3969994
27,999126933.6309994
28,1002793243.2289995
29,998450056.3099995
30,992157220.7409995
31,989212359.6229995
32,989337904.7399995
33,983301237.2059996
34,990834698.9929998
35,983129195.6279999
36,985079715.1849998
37,980614558.1699996
38,981147033.2879995
39,972187478.0929996
40,975658339.0129995
41,981259598.8279995
42,985593009.9639996
43,983917829.0899996
44,989135119.9919999
45,994898683.4119997
46,1003933415.1739998
47,1004370102.0159997
48,1004415958.5999997
49,1003651076.2109995
50,1011650650.6299996
51,1009073552.6429999
52,1003825958.626
53,1013053252.73
54,1026018041.3880001
55,1033756344.9860001
56,1037167494.5739999
57,1038170714.3199997
58,1037352594.4929997
59,1025777625.5849996
60,1024493621.8389994
61,1035172676.2199993
62,1043158081.7969992
63,1045062391.4339992
64,1046799947.1829991
65,1045440309.7079991
66,1030342207.9389989
67,1041567595.4089988
68,1046242365.4409987
69,1047600743.9019988
70,1056899535.6879988
71,1063234471.1749988
72,1072765259.7849988
73,1077030567.027999
74,1077497484.698999
75,1073047311.4489989
76,1075297684.1079988
77,1069446230.2139988
78,1068095763.0429988
79,1065619179.5519989
80,1050749661.6129988
81,1062610830.1909988
82,1076773100.8689988
83,1092326510.7999988
84,1098905432.6439989
85,1111877420.310999
86,1114626315.1439989
87,1112073806.1569989
88,1105043959.4859989
89,1108013858.5419989
90,1084725180.0989988
91,1085611749.4329987
92,1079082685.0729988
93,1102888720.0519986
94,1106338791.7859988
95,1100183056.9349988
96,1080329333.5129988
97,1079861519.6799989
98,1068262592.8239987
99,1074957542.5889986
100,1089108116.7089987
101,1102354932.2229986
102,1112770445.5439987
103,1113592675.5499985
104,1116869643.8519986
105,1088926028.4009986
106,1088697693.0309985
107,1095638959.3799984
108,1081026824.1919985
109,1102987434.5869985
110,1110942858.3939986
111,1129904665.4859986
112,1124422308.6569986
113,1118495837.8759985
114,1104015014.8959985
115,1086594419.3789985
116,1098550963.4319985
117,1105148341.0959985
118,1072971867.2609985
119,1074653567.6829987
120,1096202569.9039984
121,1105895042.9489985
122,1105744458.3029983
123,1103968759.2369983
124,1111468067.4559984
125,1111812208.7179983
126,1110832428.5559983
127,1115734334.1499982
128,1110391720.6989982
129,1099475611.4289982
130,1113854818.683998
131,1115284687.848998
132,1102133744.8079982
133,1117981254.0619981
134,1122221352.947998
135,1140639608.0419981
136,1145342170.605998
137,1160091291.5829983
138,1173116604.5729983
139,1191200477.9729981
140,1192409156.8839982
141,1210912991.9089983
142,1212699789.9809983
143,1200442998.6469984
144,1178697782.8529985
145,1204662051.2539983
146,1238289208.2429984
147,1240742994.0789983
148,1260187991.2199984
149,1241928189.9549983
150,1254661143.1539984
151,1259275032.5439982
152,1240587076.8299983
153,1232349836.1089983
154,1207435142.4619982
155,1203331375.3419983
156,1219042939.0859983
157,1180313068.0999982
158,1181281114.5759983
159,1181750915.7379982
160,1210938201.7059984
161,1203769643.2139983
162,1222699231.1929984
163,1205304893.2679982
164,1219726130.5859983
165,1219402755.3849983
166,1222308322.2529984
167,1189316875.9809983
168,1203928280.8709984
169,1198252063.4209983
170,1211967295.9569983
171,1205100944.7589984
172,1201215285.2689984
173,1234200569.5789983
174,1250841941.9689984
175,1275115317.8189983
176,1276266977.2589984
177,1269349388.4539983
178,1303252734.3879983
179,1353071468.0759983
180,1359020297.6839983
181,1349387544.9159985
182,1361431943.9409983
183,1381711801.9809983
184,1383364174.9609983
185,1369255174.9509983
186,1358987005.3449984
187,1330710235.6109984
188,1327933329.9509983
189,1324978719.3429983
190,1324382528.6709983
191,1284168194.9949985
192,1273750003.6249983
193,1289075255.1449983
194,1304927032.2109983
195,1349026954.6309984
196,1338697229.3919983
197,1329126426.7559984
198,1375112580.6439984
199,1407766258.2369983
200,1402484862.5329983
201,1419205148.1429985
202,1418922185.4589984
203,1423981609.8489983
204,1398013564.1489983
205,1416129098.9689984
206,1448397680.2269983
207,1446028562.8869984
208,1394315719.8139985
209,1347104606.9499984
210,1344740384.0149984
211,1326928371.2199984
212,1320168090.3459983
213,1350440810.7739983
214,1333461032.9819984
215,1379194455.5279984
216,1390883915.3479984
217,1410072390.4159985
218,1410510031.4659984
219,1385493109.0339983
220,1404437107.2579985
221,1423354781.5399983
222,1425281197.2519984
223,1443005874.5549984
224,1459520002.4769983
225,1445342669.7669983
226,1440631783.4569983
227,1444973935.8509984
228,1464305690.6149983
229,1470765792.7569983
230,1412594085.4079983
231,1432337107.9839983
232,1459963595.2319984
233,1482636653.7519984
234,1489796488.7549984
235,1489181243.8459983
236,1484208280.9759984
237,1469624140.5929983
238,1456233297.2839983
239,1482309388.4519985
240,1505674819.9689984
241,1525817865.4009984
242,1526038426.1979983
243,1523521713.9289985
244,1503786502.4069984
245,1504212951.9649982
246,1493067673.4449983
247,1511995982.3219984
248,1536573767.3319983
249,1563232628.6819983
250,1565160973.1019983
251,1557794606.9819984
252,1571371866.1319983
253,1559642768.1909983
254,1553060273.5029984
255,1541798192.8469985
256,1524551500.8199983
257,1521725392.0319984
258,1537977702.8719983
259,1542837424.9829984
260,1494197636.8519983
261,1489906955.5579984
262,1494643584.8679984
263,1510024973.7419984
264,1509779634.0639985
265,1534848315.9079983
266,1526593413.3919983
267,1477112474.2589984
268,1470626297.3169985
269,1435327169.1779983
270,1404658712.7289984
271,1420316586.0639985
272,1381072336.3829985
273,1377745108.3489983
274,1385760766.1479983
275,1419732477.3779984
276,1413046368.0459983
277,1363612717.3389983
278,1346039285.5339983
279,1362245300.0959983
280,1362836621.4099984
281,1387309723.3929985
282,1375732152.2879984
283,1395587404.0889983
284,1408749429.0779984
285,1401462547.0959983
286,1378291869.9939983
287,1416406449.1939983
288,1425764916.7939985
289,1400893031.9059985
290,1380671203.7439983
291,1384742902.5669985
292,1394610617.7069983
293,1391446894.7069983
294,1404948346.7449985
295,1415408447.4369984
296,1448322420.9369984
297,1443588056.2119985
298,1435953758.3499985
299,1425185287.0239983
300,1430864630.6229985
301,1423123883.8259983
302,1414953665.5779984
303,1449406452.9029984
304,1430153456.1589985
305,1435817600.2449985
