,0
0,1299065113.3810027
1,1273468964.1960025
2,1275190528.3820026
3,1272138591.1820025
4,1261177402.8740025
5,1262823277.2740026
6,1255839592.2340026
7,1256361845.5880027
8,1257657364.9040027
9,1250480803.9080026
10,1260742598.4270027
11,1252796746.9410026
12,1250136832.9230025
13,1255389564.5640025
14,1248661988.8100026
15,1256255177.0400026
16,1252161170.1390026
17,1252565868.8260026
18,1252290664.3760026
19,1275662859.9160025
20,1272510510.2220025
21,1271648410.5330026
22,1255698625.4230025
23,1258087670.7510026
24,1258477705.7360027
25,1261067620.1310027
26,1269112566.2340026
27,1275298699.5790026
28,1274980122.2490027
29,1276506193.5640025
30,1276662499.9930027
31,1277946624.4110026
32,1286762606.1850026
33,1281695044.2330027
34,1278145034.6090026
35,1263592314.9480026
36,1253696668.2130027
37,1266759870.8390026
38,1273773929.7170026
39,1261799947.1800027
40,1258203111.2430027
41,1261638332.8270025
42,1269443638.1060026
43,1279386058.0860026
44,1277900459.1660028
45,1278681475.1640027
46,1275705126.2540026
47,1265316679.9470026
48,1287268154.6730027
49,1272983482.8280027
50,1283650382.9820027
51,1273577153.7500026
52,1281013000.5870028
53,1281305469.7540026
54,1268782828.7540026
55,1269194866.7940028
56,1263259476.0680027
57,1270913932.5880027
58,1266604004.8450027
59,1250659178.3650026
60,1230238146.0470028
61,1216573326.9170027
62,1222793271.9970026
