,0
0,9331002.11500001
1,20703743.950000048
2,-6962730.104000092
3,-3494506.292999983
4,2885638.4110000134
5,-11386044.36800003
6,-6109065.976999998
7,-7425387.931999922
8,4955610.072999954
9,3776226.726999998
10,6984346.207000017
11,-6058104.126999974
12,1659444.689999938
13,-16082104.375999928
14,-1860100.9900000095
15,2592044.9370000362
16,-13905219.798000097
17,-3103723.0059999228
18,789574.3799999952
19,7979987.277999997
20,12433031.305999994
21,13982128.774000049
22,-5570919.177000046
23,5995225.468000054
24,1141253.8879998922
25,1193946.148000002
26,-8300582.402999997
27,-3225997.4439998865
28,-4645440.09800005
29,15411836.378000021
30,4697551.192999959
31,-13225989.243999958
32,846898.9679999352
33,4360676.699000001
34,2955866.747000098
35,8006075.069999933
36,7764114.901000023
37,4840955.284999967
38,12699523.514999986
39,-39463.17699992657
40,3440790.503000021
41,-5080296.610000014
42,-8618652.795000076
43,-14131556.224999905
44,-3342436.336000085
45,1541565.9940000772
46,-440919.8630000353
47,9108726.00999999
48,10940353.667000055
49,7412420.313999891
50,-1659562.8429999352
51,10162683.829999924
52,-6009797.868999958
53,-8988204.22299993
54,-6010064.769999981
55,5834209.020999908
56,-14816843.191999912
57,682052.9389998913
58,-32787619.322999954
59,10155447.302999973
60,2722324.6349999905
61,3456764.886000037
