date,trade,sell,buy
20200218,27,10,17
20200219,27,10,17
20200220,27,10,17
20200221,27,10,17
20200224,27,10,17
20200225,27,10,17
20200226,27,10,17
20200227,27,10,17
20200228,27,10,17
20200302,27,10,17
20200303,27,10,17
20200304,27,10,17
20200305,27,10,17
20200306,27,10,17
20200309,27,10,17
20200310,26,9,17
20200311,25,8,17
20200312,25,8,17
20200313,25,8,17
20200316,25,8,17
20200317,25,8,17
20200318,24,7,17
20200319,24,7,17
20200320,24,7,17
20200323,24,7,17
20200324,24,7,17
20200325,24,7,17
20200326,24,7,17
20200327,23,6,17
20200330,23,6,17
20200331,23,6,17
20200401,23,6,17
20200402,23,6,17
20200403,23,6,17
20200406,23,6,17
20200407,23,6,17
20200408,22,5,17
20200409,22,5,17
20200410,22,5,17
20200413,22,5,17
20200414,22,5,17
20200416,22,5,17
20200417,22,5,17
20200420,22,5,17
20200421,22,5,17
20200422,22,5,17
20200423,22,5,17
20200424,22,5,17
20200427,22,5,17
20200428,21,4,17
20200429,21,4,17
20200504,21,4,17
20200506,21,4,17
20200507,21,4,17
20200508,21,4,17
20200511,21,4,17
20200512,21,4,17
20200513,21,4,17
20200514,21,4,17
20200515,21,4,17
20200518,21,4,17
20200519,21,4,17
