,0
0,128094988.26950857
1,129417720.69740391
2,129351799.26210473
3,129412132.12817153
4,129838372.23709345
5,129819820.92393911
6,129819820.92393911
7,129819820.92393911
8,129819820.92393911
9,129819820.92393911
10,129819820.92393911
11,129819820.92393911
12,129892093.72108117
13,129669948.87361175
14,129867721.62832896
15,129560504.9570484
16,129593966.50467987
17,130620469.50616787
18,129880153.26599562
19,129859348.91640408
20,129359960.35045733
21,129951141.26495732
22,131639234.42967999
23,131697156.76227756
24,129817165.05031857
25,126654169.45229179
26,128372288.91262637
27,126870349.91067247
28,126853517.02735548
29,127358263.16002639
30,126985547.76186736
31,126850154.29219992
32,127698527.0201023
33,127303977.10237616
34,127409031.42860657
35,130091971.19287418
36,131207028.95012616
37,131149043.81536512
38,131507162.28012791
39,131057084.6690982
40,129337091.68793258
41,129074387.15721059
42,128184575.73813167
43,126873862.69630179
44,125504636.19658667
45,126002128.21631639
46,127018888.93132523
47,125412551.34764054
48,125287139.94967832
49,125287139.94967832
50,125287139.94967832
51,125287139.94967832
52,125287139.94967832
53,125287139.94967832
54,125287139.94967832
55,125287139.94967832
56,125287139.94967832
57,125287139.94967832
58,125287139.94967832
59,125287139.94967832
60,125287139.94967832
61,125287139.94967832
62,125287139.94967832
