,0
0,588024.2669590265
1,878527.5807996839
2,268929.0924651623
3,1303408.6266976
4,1002128.4014953375
5,-618298.2107509673
6,-102633.29811257124
7,1576063.3031106591
8,502941.303209275
9,-976501.5268540978
10,1887904.6904819012
11,549798.7394531369
12,-5003.000143706799
13,-836932.1511494815
14,1730397.4306975007
15,450934.8403175473
16,-918467.1349188983
17,-646035.1006039977
18,-854868.3707267046
19,152830.11939287186
20,-2864880.502185166
21,2398783.41366145
22,19262.885255783796
23,-1003615.1198000014
24,972755.1122695208
25,750549.7737562656
26,-3695.468114256859
27,2268002.144903481
28,107870.43124064803
29,-1249750.5663843453
30,-1930153.394612223
31,-2112112.5578276515
32,564232.6305126548
33,-1570436.246361971
34,-2267119.900240898
35,-1117740.6281062067
36,2905792.8194520175
37,861406.2448067665
38,843624.5501540601
39,-744798.3532948494
40,-1465819.6141476333
41,-1464265.7546735257
42,-919341.8729698807
43,1889737.8464685231
44,-407252.8430379182
45,-598525.1850723773
46,-232434.1147299409
47,-65312.25227083266
48,521343.22582778335
49,-1234183.482967332
50,-2691.447941660881
51,-904656.2963826805
52,-488411.3930699229
53,-4357.932423248887
54,-4342.438433647156
55,-1129.7936666458845
56,5865928.227696687
57,-319322.4439023137
58,-1631.55295419693
59,1031042.3419274986
60,404566.56624770164
61,-613757.846922785
