,0
0,100000000.0
1,100110359.99486317
2,100237959.50782314
3,99364204.1921728
4,99139084.49691768
5,98528277.18739027
6,98490279.35487728
7,97308454.70726964
8,97869289.05778337
9,98088558.5344245
10,97372196.32378945
11,96044149.25785643
12,97073261.22045785
13,95088288.69755003
14,94101680.02322587
15,96763394.66630563
16,97898930.66581121
17,99464545.84585708
18,96098734.22951306
19,94814699.91248101
20,95367299.70704508
21,96855313.17989857
22,96157275.13310857
23,97299298.89733586
24,96727658.79544193
25,97038116.67062128
26,95095120.26020916
27,95994615.72930309
28,96393184.45774657
29,95419787.58989145
30,93770445.92800146
31,93523170.31123853
32,91255140.40680166
33,90855129.83371536
34,91080208.51140149
35,94378181.5612087
36,94242676.34329422
37,95693402.70170166
38,92503053.56350733
39,91018009.61263241
40,92035073.36163662
41,92708741.96197708
42,89250068.56446515
43,88177667.73905055
44,87949780.40132718
45,93282516.25320342
46,91133970.14645126
47,95387607.76297617
48,97655784.1352146
49,100899502.24822219
50,99662536.7672333
51,98703564.26858027
52,101816688.81480256
53,105408081.27427357
54,104719350.4908543
55,107069835.89750719
56,105822624.96222544
57,101140148.78476991
58,100191510.1901798
59,102463164.2201847
60,106076598.56778674
61,105999031.15180594
62,106570370.07761826
63,105808119.22218882
64,103625350.6233129
65,106495180.95434263
66,104509717.65352042
67,101901353.86673895
68,101257447.49874267
69,101428069.51415236
70,102191968.80602483
71,102616056.49535298
72,102199660.56719765
73,100726701.95697717
74,101570311.63501246
75,103052078.04312912
76,100792174.11295767
77,100784481.17118885
78,99263174.68827859
79,103020183.82301399
80,105207298.82255821
81,107475064.55350661
82,108279235.0912829
83,107912836.70429218
84,106630272.90600209
85,107294300.20019054
86,105299351.27196184
87,107049712.70064394
88,103609878.24027684
89,106028848.87505497
90,107028440.27092312
91,106700860.2345511
92,105878224.35856083
93,107504624.65634432
94,106234670.87933534
95,107904188.2858035
96,107918343.41559196
97,108165079.73866673
98,109789384.80863546
99,110540114.68550861
100,111518355.07199879
101,111723158.96114035
102,113797309.70920406
103,113799840.71099247
104,113310578.64839898
105,116290842.09018758
106,115783842.10940236
107,116664853.36424503
108,114359995.01490821
109,112409503.24459605
110,113461061.49721901
111,110854210.35085152
112,112575058.58058278
113,111840687.28933547
114,109014260.24339287
115,108982439.42816065
116,110892683.76957798
117,111234274.68132707
118,109954088.59170109
119,111484325.6461756
120,111418643.86675103
121,111082353.7517727
122,110338799.2661529
123,108506543.64744277
124,108110796.72528239
125,105816524.64850195
126,104637601.98331022
127,103798429.30779755
128,101638522.88325621
129,103599372.88365032
130,103967800.23819591
131,104270982.19040789
132,105360398.26276408
133,106901606.45869818
134,108240646.14336586
135,109399714.9979878
136,110728539.62939236
137,112934501.00586997
138,112251922.8897968
139,113029693.19192432
140,113876471.18468033
141,115890115.6118417
142,114523794.97374237
143,114609115.09539758
144,112811224.35344352
145,114863674.39506017
146,115086317.57002622
147,115933372.78189069
148,116777964.51812725
149,115775873.70734325
150,116080142.69318429
151,115497636.46305466
152,111958875.47256263
153,111711318.42281225
154,110364882.13298601
155,112519558.90496612
156,111238975.68958257
157,115185703.19605455
158,113996511.70318748
159,115632597.67814586
160,114559327.38672325
161,115373332.47776704
162,115190710.52259016
163,111805289.77409366
164,112584890.40358467
165,112593741.61792062
166,114370483.98683
167,115148440.98573722
168,114930879.15357113
169,116259311.76047231
170,115511175.52469113
171,113092948.9907728
172,113292869.59478629
173,114213335.83631675
174,116312623.12929451
175,115624749.90640049
176,115624547.8174034
177,118945540.28520817
178,115595101.5001818
179,113377228.46742585
180,114221792.68308553
181,114739206.4708428
182,114862382.43927947
183,112471149.20244485
184,115983410.75338478
185,115817350.71912475
186,117062535.0702833
187,117374090.24948412
188,119680878.5450834
189,120714051.60194108
190,121682332.58681174
191,123897847.02710183
192,125390564.47449684
193,124102176.16859977
194,125465816.77607875
195,127052687.36326125
196,126996266.64406236
197,126793802.55458432
198,127284055.69575222
199,125792233.04156409
200,123133608.28272738
201,121334598.92572781
202,122464728.56395361
203,120519662.8857864
204,122065850.20950428
205,119948691.97961411
206,121449543.35007736
207,122165517.86827609
208,124731372.0228844
209,125099468.25894067
210,124246204.93919626
211,124218309.84789906
212,125698647.40429245
213,124263093.5587964
214,124512138.32908247
215,120971747.30272469
216,119195780.43906598
217,118615954.98099928
218,119118258.17447305
219,119380338.67445196
220,116103331.39757825
221,118948803.54042819
222,121221441.21359694
223,122286129.59559755
224,125144378.47879961
225,125040948.3793249
226,125674678.47390936
227,125144613.26865716
228,123484975.33249386
229,121465398.4810589
230,124502088.03272466
231,124018586.42174481
232,123758658.34408867
233,125871113.51738936
234,125551526.01489751
235,124971955.93065749
236,126204020.14474337
237,128600054.06594612
238,131826244.86742231
239,131564244.60712552
240,133917124.14223674
241,134376654.24602988
242,133409915.34276415
243,134357241.8874096
244,132994459.26952432
245,133156084.11386669
246,132473477.40244997
247,133661023.23788705
248,132000443.8497243
249,130369230.38147086
250,132288388.6512791
251,134994534.8263751
252,132589756.62188485
253,131419798.81974262
254,131165470.65610807
255,132489034.62694855
256,128251480.97237612
257,126827322.18213408
258,124683304.18523286
259,124421817.53969647
260,126809686.60646954
261,124211294.3943772
262,123930614.46885522
263,125857835.87638828
264,124779058.07742357
265,124473704.27638151
266,120979378.99822277
267,120231705.80117269
268,120556923.9570488
269,121023341.66098216
270,123000694.2918621
271,122087112.9752431
272,122055244.01382829
273,125289783.4828985
274,125842122.88099605
275,123558791.72275609
276,126685678.44647992
277,126437785.58827184
278,124911769.36187439
279,123814539.67036219
280,123770989.07326406
281,124512686.49102727
282,125156989.65303233
283,127305543.76606032
284,126038282.1540864
285,129102078.00104366
286,131222152.98592512
287,131215625.91975807
288,130594314.72665812
289,131808185.32651204
290,133673972.39731637
291,133023820.58645156
292,132441275.72982804
293,135066697.08012238
294,133171969.30780874
295,133961351.00140168
296,133389372.15731838
297,133306788.15658842
298,133494491.56076707
299,135725621.66548583
300,135002135.68957317
301,135945999.2791013
302,135628770.99848637
303,138293834.76880866
304,138095640.553029
305,134748808.80091608
306,133880077.59324603
307,134063645.12112963
308,133525767.10965568
309,135095744.60773626
310,134492210.00260222
311,133103174.82324684
312,133507960.38432391
313,133756106.1658593
314,131248117.25776564
315,129618996.98143946
316,129811615.00847127
317,132102323.48479255
318,129494758.70513596
319,128698191.04742618
320,131196106.52203238
321,131973530.18122913
322,129235060.76626495
323,130499237.37340356
324,126090424.65690905
325,121384974.06724791
326,124087782.16939394
327,122003487.20911531
328,122193823.09459712
329,125567475.82635291
330,123821908.52928624
331,121426121.43059704
332,121998255.36561091
333,121516988.24688427
334,120193657.80426845
335,116857496.69235419
336,116040720.61803809
337,111794581.16368413
338,113878373.12809107
339,115112839.21160395
340,116473172.23124872
341,115622011.03588483
342,115045470.73676254
343,113940067.79259266
344,119053337.63375308
345,118041425.25772259
346,113956329.74016279
347,115029369.13721293
348,113744014.80033338
349,114730741.61677027
350,117220305.95482334
351,119542757.12645438
352,120278542.30925067
353,122510599.59225446
354,122307298.51743127
355,122247949.67217234
356,124195838.00507575
357,122907233.6623435
358,120780539.01923008
359,119971453.57747075
360,118265140.39940678
361,118002550.02282438
362,116473140.20783143
363,113273452.39031164
364,111770670.99817848
365,111965474.83034205
366,111857582.98135835
367,111500478.22093025
368,111061896.03214866
369,112994281.65154172
370,113552591.33083957
371,112499363.53309692
372,113238899.25903766
373,117059804.92045802
374,116009860.92473008
375,112398719.83157964
376,111001408.36095078
377,111562682.72436202
378,113493490.72924635
379,113958435.53269908
380,114288599.85319495
381,117071464.71014875
382,116078319.35843723
383,114345619.4121633
384,115038860.60301635
385,116700805.56694825
386,114226851.21861319
387,116582787.31005858
388,115217595.90760215
389,113988185.31859899
390,114236982.84699951
391,111586084.1738658
392,110269615.40823
393,110683177.84058252
394,109636714.2643138
395,109168646.46744555
396,110066382.57944204
397,111568483.62071271
398,109763395.15734679
399,108928040.14916992
400,107579590.25059086
401,105601149.13541332
402,106371545.80922978
403,106617307.493528
404,108312398.6466792
405,104871092.54397936
406,105754662.33665745
407,106732697.95429237
408,107093875.30226797
409,109069448.86596273
410,107935345.03437974
411,105750464.43351446
412,106335731.16243629
413,109467285.62230627
414,110055506.71067081
415,109840828.61587706
416,112638445.29549672
417,114177505.70980404
418,113730372.50032146
419,113511929.12467924
420,112010680.36828235
421,113540763.20947883
422,111708756.74953076
423,112254582.99047765
424,109470617.60186315
425,109987099.52139366
426,110269148.93463191
427,112855786.02353843
428,115213203.95570579
429,115385363.7951365
430,113671426.38244748
431,109153973.55024254
432,108712921.21134077
433,111000013.77255444
434,110658544.50150324
435,110244404.79833095
436,110249310.41105145
437,108292279.62520939
438,108181368.61019737
439,108717050.57503524
440,107643994.14014952
441,108082382.62363997
442,108222613.51552403
443,107377920.91526768
444,105440933.4238036
445,104176317.86038323
446,105112484.8256504
447,109143004.4992601
448,111119328.14175978
449,112116945.7099733
450,112192089.46410273
451,114065576.22116211
452,114997538.92081113
453,113413857.04522054
454,114339267.94835484
455,114695920.00699042
456,114699213.43833357
457,116775755.02792867
458,117167953.76489587
459,118605245.93984672
460,119111463.19978616
461,119402722.41059446
462,118340802.51468278
463,119104993.26340738
464,116570392.00158171
465,117017066.00875778
466,118992069.82419425
467,117878000.97751188
468,117792441.289963
469,117744158.50147358
470,118310112.53246056
471,118979002.55643411
472,118419580.48807243
473,119188698.62678005
474,119093215.24417023
475,118517940.37901638
476,118328566.58840819
477,118121152.34469824
478,117527722.7306664
479,120167424.39792678
480,119967326.21601065
481,119514626.48912624
482,120418953.38995308
483,119528652.87823236
484,120140363.13746352
485,119296269.17681998
486,121589352.89906992
487,121398253.89275771
488,121890486.12422916
489,122524039.87919886
490,121885479.85833897
491,121597644.06457122
492,122198913.77294257
493,123424645.3725266
494,124374345.29251431
495,124254789.33718391
496,124528502.37509777
497,122626496.77118282
498,120691753.3072216
499,120878918.07668911
500,121638844.07753322
501,121006111.03071336
502,121901244.62364827
503,120966947.67921373
504,119702959.39046851
505,120320643.29629901
506,122262354.19366387
507,123478264.76044379
508,125176152.66641854
509,125711721.60113542
510,125900927.79662526
511,126147365.84638505
512,125620418.3414013
513,126234944.17512412
514,126325112.40494692
515,127677874.95893395
516,127407444.70233992
517,127863644.92438136
518,128408652.66431195
519,125944737.23791488
520,126393102.07345326
521,124682462.75460844
522,126145999.90816736
523,127377623.0997421
524,128406302.84687994
525,124645112.7576488
526,125500379.40289047
527,125873843.38703659
528,123614270.4319726
529,124389284.35404277
530,125251965.05836871
531,123548417.18853968
532,120965270.62428811
533,112771219.24127188
534,100617824.14041358
535,105019897.61644033
536,103525774.79667385
537,107926703.95417386
538,112514639.27817164
539,110847755.152709
540,109595317.57814547
541,110812957.20622364
542,110061245.99107473
543,109772106.68095334
544,113274912.16093835
545,113404448.24367537
546,113288129.75604656
547,113657797.50977294
548,112840117.03312063
549,114185323.50781664
550,114474162.57088895
551,117267161.19922446
552,116627731.37833494
553,115287772.9481633
554,117245569.67050034
555,117847333.78009135
556,116466688.64641823
557,116113384.7739646
558,114802573.97819217
559,117438115.28212197
560,118513648.21400847
561,118328942.31141603
562,118620894.51958197
563,116655983.4108818
564,118451775.54701558
565,119766338.5245202
566,123267935.70999698
567,120657567.36477512
568,118381585.02756804
569,119007728.3530885
570,118305007.97755763
571,116836658.15970075
572,115953407.46594816
573,114531347.05637304
574,114527271.03270403
575,115339924.84645587
576,115128715.95738396
577,115449274.57209122
578,113404302.77610081
579,113712472.0758856
580,113098501.76066567
581,114624379.77523424
582,114334466.65886162
583,114040125.14086866
584,116726647.28829229
585,117399604.0364486
586,115572290.18875445
587,115177745.18627074
588,113939597.83283722
589,114637258.46805394
590,114920010.17504466
591,114779805.69304591
592,114888984.10440594
593,114480408.10766192
594,115407425.98093815
595,115342852.93650274
596,113456538.75209035
597,112939008.66846175
598,112473164.75130849
599,114041526.10391916
600,116079933.87301157
601,116187550.17222045
602,116936805.4744982
603,115513065.69541316
604,116474052.24769782
605,118351622.42163275
606,119021059.9169585
607,118623193.68085943
608,120097137.41232996
609,119860678.46534027
610,121345941.56702088
611,120760352.12243126
612,121667482.53719002
613,121362948.6127777
614,119799377.95156512
615,119891145.4898097
616,119943715.09745525
617,120260500.71515678
618,119290165.8581296
619,120608873.56304166
620,121396749.4060762
621,122942211.48728926
622,121854720.19659264
623,122750414.58749136
624,121506428.15780905
625,119744213.66487448
626,118761274.86622505
627,119569970.61964348
628,118382526.41214433
629,117054899.63842976
630,118047130.80661358
631,113920435.10893461
632,111783328.39294556
633,110290988.41462605
634,111499041.29603195
635,111394153.95450597
636,111007980.54288535
637,112823080.6397446
638,112999050.28741764
639,111933302.22470368
640,111956273.7662442
641,110160589.60441148
642,110000242.04450922
643,110299036.02810922
644,109378343.3892893
645,111505688.31164448
646,110825096.77186827
647,112029698.83410873
648,112219867.27081195
649,112755535.20259364
650,113554149.01829696
651,112372412.20073086
652,111295193.62930746
653,110316041.21598238
654,111841417.2765537
655,112900444.61937486
656,113228561.13511895
657,111549106.34826562
658,110777084.13314152
659,109396419.03194036
660,111671886.12283202
661,113621877.76519787
662,112288480.00867824
663,111782805.00904633
664,107969846.25130357
665,107367521.37376969
666,109375652.0668138
667,108332880.13629791
668,109006745.99111047
669,109525278.2511121
670,108764389.73050414
671,107906135.09725846
672,106042825.26691401
673,107684794.75680995
674,109168316.23291656
675,111060552.14761387
676,110288842.38191168
677,110941159.74770291
678,110788557.7003616
679,112613507.55804212
680,110336972.41450712
681,110415922.140811
682,110027319.79779737
683,109957979.01788232
684,112333038.30541365
685,111391514.62029922
686,110849674.81539756
687,112083887.68759902
688,115022553.19547063
689,114250644.94686985
690,112720862.6283087
691,109805571.94860543
692,111032469.72708315
693,110185109.60730249
694,109335072.33573331
695,109682091.19452484
696,107154593.02687775
697,107512175.92565095
698,107752031.39057863
699,106922528.60064207
700,106613884.30776976
701,105966843.20577078
702,104802266.86771543
703,104741243.7594415
704,103127697.19791676
705,101635148.62567134
706,101780383.96420969
707,103103886.57509346
708,105621047.50528266
709,105402865.97002682
710,106123801.02964097
711,106356314.094538
712,107753262.91210528
713,105980019.36465327
714,107317188.55869332
715,105775306.82998247
716,104568594.00138551
717,105873312.87360683
718,104878416.44199201
719,105304328.7176555
720,103885420.55938816
721,105055809.46130635
722,103866029.73993562
723,104042550.9833928
724,105647129.2922069
725,105752763.23379119
726,106601359.35874918
727,106516720.9812607
728,106761056.58743574
729,106399226.15304483
730,107269852.12860759
731,108496274.04941684
732,107661159.52040939
733,106386771.3261211
734,106519279.10222605
735,106730688.52279645
736,106131365.04796267
737,107409109.12894735
738,106082365.61452335
739,106314978.02021131
740,107578975.62633768
741,109296600.88400878
742,110710488.85817593
743,110774801.07112758
744,111491319.94748235
745,112439666.36821996
746,112330543.97067134
747,111775908.22613768
748,111346699.80038124
749,111335125.29334345
750,112081419.99361555
751,114726000.14034504
752,114027636.85996257
753,115012852.36976387
754,115304801.88998286
755,117010707.01374163
756,116253516.31539127
757,115639884.23972335
758,116625122.57901372
759,116792652.7040743
760,119005510.8084269
761,120009856.13997915
762,122482198.99179089
763,123001253.2101189
764,123114264.43729357
765,123907156.28394894
766,124213557.67877893
767,123950247.89739493
768,123441470.95998888
769,124052040.78521082
770,124245277.29315312
771,124434352.47540222
772,124954245.26427816
773,124612533.6991171
774,123643762.53132974
775,122662817.42299484
776,125447764.2700391
777,127739488.81329758
778,127313134.94391102
779,128344341.3407572
780,129243846.39843531
781,131377415.28368567
782,131355696.9396987
783,131096263.62079304
784,130963479.17930546
785,132062292.34851417
786,131597911.84948193
787,132396868.19115604
788,135017498.41322076
789,133896014.62754534
790,133022749.2476801
791,133740479.35657792
792,134320977.26674336
793,132963333.84279005
794,129049971.56542204
795,128354917.15351221
796,128411055.44372502
797,126118266.06637067
798,125908009.35100006
799,124886673.57553679
800,126316069.97836067
801,128960650.24405833
802,126553315.89293922
803,126801542.50357214
