,0
0,-1166592.6375808716
1,3493063.402199954
2,-159489.8158415556
3,439449.57520231605
4,-2689723.8704507947
5,3406355.9684384763
6,-544029.8126119971
7,747548.222463131
8,1536109.3640384376
9,-1056538.8829062283
10,-2316800.5079399645
11,618949.0070602596
12,-588330.478630811
13,2199641.7457818985
14,1587382.4742004275
15,-236024.65691453218
16,-1072306.6742131412
17,1542722.7216171324
18,3303312.412124634
19,517280.44014945626
20,3599913.9853330255
21,-1449169.9316590726
22,1874158.2805142999
23,1235801.2940285504
24,1718476.1865915656
25,1415660.6676303446
26,-64352.004295915365
27,-231546.73666608334
28,-215325.17256334424
29,716381.5287666023
30,-242315.71183887124
31,-1536265.3657764494
32,-5583008.96600318
33,6670643.172761649
34,1946857.3050622642
35,935909.6940948069
36,1386792.5475110412
37,-595756.7610255182
38,-437407.5277275443
39,157505.6514428854
40,-1974653.253238529
41,1942796.4236998856
42,-2393932.029071063
43,1575093.2015578747
44,-1503511.8003705442
45,-670130.4459361434
46,3781500.060079038
47,2020919.0454140604
48,1738649.2221874297
49,-3013195.159683168
50,1453941.840461433
51,-2407385.7243383825
52,3102208.16620031
53,-1181279.9483689368
54,3079940.643214822
55,-3534492.881940007
56,-98050.0191603899
57,617134.9232043624
58,3738581.4344765544
59,230992.48586800694
60,-270659.34732946754
61,-608150.4437637925
