,0
0,168215354.16431147
1,167961003.20567134
2,167542235.7030578
3,167889762.61172086
4,167647143.46138418
5,168710308.60818774
6,168779573.31972194
7,169106215.48382935
8,169063244.4968341
9,169928906.4027174
10,169744797.65314344
11,169583252.11627603
12,169260153.9194091
13,168988703.7980541
14,168910249.27765274
15,166473571.69177163
16,165165494.5314773
17,164272222.9797417
18,164536452.76198864
19,163753201.5293087
20,163492897.808582
21,164425977.63886672
22,163378898.3171263
23,164336644.98445737
24,163776039.77551815
25,163140506.38871524
26,163083024.17221507
27,162392334.55143896
28,162108936.73261315
29,162549667.41090748
30,163110884.48811755
31,161977094.21474838
32,161805169.90050572
33,159945020.38009894
34,158638930.28703493
35,158724548.85817507
36,160535447.6250256
37,160587515.81652337
38,161410249.19760787
39,162898608.20623812
40,163083527.2183342
41,162861123.3128097
42,161545285.01078725
43,162337801.30743775
44,162179888.41791072
45,161581446.72715256
46,163873764.22228575
47,164623426.68328166
48,163907657.57815972
49,163898631.9883637
50,163184301.08376253
51,162669900.45352829
52,165074869.465087
53,164823051.375378
54,167790593.10407674
55,167983065.5291633
56,168454978.9155234
57,168319454.6484753
58,168939169.12262177
59,168040319.09928414
60,167716147.67855036
61,167326559.89014193
62,168913250.43364388
