,0
0,100000000.0
1,100000325.4977915
2,100026029.66162328
3,99988482.4020202
4,99984151.14478682
5,99916904.46736793
6,99934137.21318361
7,99871760.3377338
8,99931111.81040077
9,99936607.2485182
10,99895038.97738028
11,99849071.56038736
12,99860572.46513332
13,99777096.67691138
14,99747075.13519374
15,99885405.66525628
16,99915898.1818647
17,100062748.20852724
18,99940688.35443386
19,99895284.62490405
20,99934962.24985057
21,100041283.33411615
22,99968526.78351337
23,100013859.13843828
24,99960001.19931729
25,100075467.16049318
26,99843085.01911463
27,99897960.13329548
28,99927251.26073958
29,99871693.19993556
30,99771721.66341089
31,99789956.44646627
32,99697279.96437395
33,99656334.30326982
34,99629034.44505052
35,99823729.39244562
36,99797404.0618595
37,99872266.44348513
38,99643724.11726342
39,99604320.67372045
40,99634559.4340265
41,99740924.70187624
42,99487294.43035987
43,99157139.36770862
44,99106677.34430064
45,99477998.11347884
46,99224890.93259609
47,99625611.52659658
48,99806420.92140959
49,100144360.01152754
50,100115726.72247542
51,100254037.39984532
52,100640834.58622734
53,100923770.52320512
54,100823250.95872174
55,100920082.30661231
56,100878676.24926442
57,100299848.51850642
58,100152612.51592547
59,100406044.80008878
60,101050286.62299488
61,101116395.59177832
62,101042569.42578882
63,100919755.6611903
64,100507250.91286625
65,100925995.54316641
66,100718943.18046038
67,100614159.92700219
68,100476643.02854319
69,100267194.71577552
70,100280163.07789016
71,100579240.21532254
72,100689958.73834327
73,100315109.37368412
74,100244545.43335369
75,100329057.80009508
76,100254752.94891234
77,100418524.29015817
78,100134564.40973817
79,100931273.49282998
80,101221210.23811716
81,102112587.76731113
82,102238194.243628
83,102346688.18689963
84,102014876.90596898
85,101878976.42435336
86,101324243.1497494
87,101877519.75439003
88,101246561.65810488
89,101636480.61557682
90,101924376.77291569
91,101876757.66258386
92,101749816.46027945
93,101845780.17156032
94,101761907.5201019
95,101966781.78572863
96,102136911.20759664
97,101945278.45220864
98,102373093.95024134
99,102390570.80023615
100,102457823.45166326
101,102356295.97404048
102,103046756.36202385
103,103231209.05525729
104,103048443.856296
105,103611493.49628404
106,103797393.1911748
107,103623635.89067036
108,102854179.68304221
109,102204332.13888556
110,102303769.66583516
111,102038732.17313701
112,102329901.80860674
113,102383470.31776385
114,101819391.62593676
115,101844425.7229707
116,102333681.49197362
117,102412982.5936876
118,102107044.50564322
119,102427207.60815345
120,102629956.64111489
121,102304334.47963363
122,102546485.74510631
123,102231876.0042274
124,101974065.17184313
125,101202728.76430306
126,100648097.78301813
127,100702262.70478801
128,100162914.97843938
129,100726436.18395181
130,100707178.0008444
131,101045840.06573337
132,101075757.15009908
133,101603517.19279018
134,101561842.44358324
135,101886561.96087521
136,102363056.17640868
137,102852086.1880624
138,102730835.55038477
139,102970609.621553
140,103350135.67973724
141,104012060.65876266
142,103926928.73638698
143,104060409.09059067
144,103606087.1985433
145,103900653.06973238
146,103781254.72068258
147,104477465.55453308
148,104381449.4321953
149,103941298.21622857
150,104295464.90076119
151,104453481.3760672
152,103288392.91575724
153,103238558.56751995
154,103112421.52271095
155,103728180.90852062
156,103207731.13172637
157,104302407.87504405
158,104076241.97417654
159,104506058.23824035
160,103852873.07063794
161,104007871.91577101
162,103781467.44433236
163,103203381.19917333
