,0
0,144012192.852292
1,143398952.5053424
2,141250410.66220608
3,139654167.49384972
4,140197181.2855506
5,145180618.00782076
6,142697224.11762863
7,142653761.85213712
8,142394996.91578513
9,144971996.29566854
10,143951764.76142985
11,143908121.74928108
12,145097369.22759914
13,144815815.05649582
14,142920970.1391215
15,142653520.17994136
16,142642448.5892441
17,140788579.624253
18,142938944.1027713
19,142907191.41953027
20,143310763.5777526
21,142401999.4146632
22,142422409.61704782
23,143744657.10663354
24,146829573.13685888
25,146100904.72178227
26,145529406.93872166
27,146208251.0977803
28,146158392.08166587
29,147484165.32292747
30,148120397.82680732
31,147873824.81178102
32,146275595.53119695
33,145358378.09786877
34,145412616.55297613
35,145944238.1290866
36,146220385.57400995
37,148706125.39826316
38,149857108.11474153
39,150835958.41545254
40,149911990.03159267
41,150331047.1382797
42,150330412.29578024
43,152295926.5711661
44,152207236.40800858
45,151161334.99327692
46,150278078.45645282
47,152114498.2807184
48,152102704.22724363
49,150561776.5780982
50,151196395.16754493
51,152043700.3405344
52,151788644.6763333
53,153952406.22726417
54,153015195.8115984
55,152678330.64148757
56,151981043.61217734
57,151980647.97115937
58,154237933.0666527
59,153347328.03547308
60,153046838.70293638
61,153719771.73093054
62,154501493.31835195
