,0
0,219442.636623621
1,492014.70752315223
2,258131.1051402539
3,884475.5765164793
4,1098863.7142995
5,-556886.859274596
6,538545.1878737807
7,1324067.1070737839
8,637935.702041775
9,-1450428.4425887764
10,2821597.9108851105
11,954038.8904950917
12,-3247.6143508404493
13,173357.99093967676
14,2282017.288670525
15,850596.3665183038
16,-874946.9853555709
17,-779877.8703546971
18,-1043943.9563445002
19,-760777.7714861184
20,-2115087.2175441086
21,2014155.150341913
22,92899.38687324524
23,-430760.4395299554
24,830856.1142589152
25,814298.6379732788
26,0.0
27,1104868.167484492
28,-18415.62608680129
29,-320349.41835288703
30,4665.01693405211
31,-2696999.8830759525
32,-489051.0409230441
33,-785790.6813553572
34,-432316.73813676834
35,-1972117.2574516982
36,1891931.849375084
37,1359302.527594328
38,-2918.002532482147
39,-158011.6513877809
40,-595548.0271717906
41,-994451.4239025712
42,-1038795.9337687492
43,2421936.564222425
44,-639348.9655790031
45,53338.44824975729
46,-154046.8507142365
47,268961.2699008584
48,659355.0692138672
49,-558966.897826016
50,-594051.823206082
51,-571242.4648770243
52,-467549.2873162925
53,0.0
54,0.0
55,0.0
56,4259306.872602463
57,980105.407664597
58,0.0
59,782977.1904534847
60,-245621.7500450611
61,-472403.60367304087
